Point_X (m),Point_Y (m),Point_Z (m),Point_V (m/s),Point_azimuth (deg),Point_elevation (deg),Point_snr (dB),Point_Power (dB),Point_Valid (-),Point_Probability (-),Point_Mstate (-),Point_Class (-)
2.0312531,-2.2849715,-0.37061659,-0.063595369,-48.360001,-6.9099998,18.33,27.88,1.0,0.0,0.0,0.0
2.0326021,-2.2868264,-0.36667773,0.0,-48.400002,-6.8200002,21.68,31.68,1.0,0.0,0.0,0.0
2.0328205,-2.7294652,-0.36725146,0.063595369,-48.360001,-6.8400002,18.06,28.06,1.0,0.0,0.0,0.0
2.3047733,-2.721523,-0.30701682,0.0,-49.82,-4.9099998,21.18,31.18,1.0,0.0,0.0,0.0
2.3177798,-3.1516056,-0.30916047,0.063595369,-49.580002,-4.9400001,17.7,27.7,1.0,0.0,0.0,0.0
2.5545208,-3.3216929,-0.31163761,0.0,-50.970001,-4.3899999,20.14,30.55,1.0,0.0,0.0,0.0
2.6758952,-3.6222012,-0.29826924,0.0,-51.139999,-4.0,20.16,30.16,1.0,0.0,0.0,0.0
3.458075,-3.6404757,-0.2849471,-0.063595369,-46.32,-3.25,16.34,26.75,1.0,0.0,0.0,0.0
3.4681087,-3.6505117,-0.31434688,0.0,-46.380001,-3.5699999,19.94,30.35,1.0,0.0,0.0,0.0
4.0263448,-3.9596243,-0.32303804,0.0,-42.189999,-3.4000001,18.74,28.74,1.0,0.0,0.0,0.0
4.3677125,-3.9598033,-0.43814889,-0.063595369,-42.189999,-4.25,40.99,52.45,1.0,87.0,0.0,0.0
4.3677859,-4.9178834,-0.43957627,0.0,-42.189999,-4.2600002,45.49,56.95,1.0,100.0,0.0,0.0
4.933363,-4.9142323,-0.22609808,0.063595369,-44.900002,-1.85,25.45,37.76,1.0,0.0,0.0,0.0
4.9367309,-4.9070907,-0.21974578,0.0,-44.860001,-1.8,29.84,42.15,1.0,55.0,0.0,0.0
4.941236,-3.0272365,-0.21810862,-0.063595369,-44.799999,-1.79,25.44,37.75,1.0,0.0,0.0,0.0
5.042192,-3.0282333,0.034490526,0.0,-30.969999,0.33000001,43.81,54.6,1.0,100.0,0.0,0.0
5.077116,-3.028471,0.014389692,-0.063595369,-30.809999,0.13,40.99,52.45,1.0,87.0,0.0,0.0
5.0773005,-3.0290596,0.014238421,0.0,-30.809999,0.13,45.49,56.95,1.0,100.0,0.0,0.0
5.0779471,-3.0338385,0.014570099,0.063595369,-30.809999,0.14,41.13,52.59,1.0,85.0,0.0,0.0
5.081912,-3.0288808,0.017452421,0.12719074,-30.83,0.16,26.23,37.37,1.0,0.0,0.0,0.0
5.0822926,-3.0643599,0.021374565,-0.12719074,-30.790001,0.2,25.34,36.8,1.0,0.0,0.0,0.0
5.1663508,-3.0634799,-0.013301658,0.063595369,-30.67,-0.12,33.44,43.86,1.0,0.0,0.0,0.0
5.1665063,-3.0628116,-0.013215408,0.0,-30.66,-0.12,37.72,48.13,1.0,67.0,0.0,0.0
5.1675506,-3.0719256,-0.015966794,-0.063595369,-30.65,-0.15000001,33.21,43.62,1.0,31.0,0.0,0.0
5.1799865,-3.065804,-0.025210254,0.12719074,-30.66,-0.23,19.17,29.58,1.0,0.0,0.0,0.0
5.1883678,-6.0075336,-0.040951945,-0.12719074,-30.57,-0.38,18.31,28.72,1.0,0.0,0.0,0.0
5.3000097,-6.0075336,-0.11963133,0.063595369,-48.580002,-0.85000002,33.34,44.48,1.0,50.0,0.0,0.0
5.3219361,-6.0265918,-0.10743032,0.0,-48.549999,-0.75999999,37.55,48.69,1.0,100.0,0.0,0.0
5.3335419,-6.0239315,-0.10568635,-0.063595369,-48.470001,-0.75,32.74,44.2,1.0,46.0,0.0,0.0
5.4101872,-4.866488,-0.82249284,0.0,-41.970001,-6.4400001,32.45,43.91,1.0,58.0,0.0,0.0
5.4104247,-4.8678994,-0.8247636,0.063595369,-41.970001,-6.46,28.02,39.48,1.0,0.0,0.0,0.0
5.4107385,-4.8690715,-0.8216356,-0.063595369,-41.98,-6.4400001,28.51,39.65,1.0,4.0,0.0,0.0
5.5535607,-2.9754236,-0.42077157,0.0,-28.18,-3.8199999,25.79,36.93,1.0,0.0,0.0,0.0
5.5604534,-2.9771755,-0.42780486,-0.063595369,-28.16,-3.8800001,21.61,33.07,1.0,0.0,0.0,0.0
5.8045983,-4.9501109,0.02283382,-0.063595369,-40.450001,0.17,35.28,47.83,1.0,52.0,0.0,0.0
5.8146257,-4.9484653,0.0014417742,0.0,-40.389999,0.0099999998,39.84,52.39,1.0,100.0,0.0,0.0
5.8310413,-4.9664712,0.0068962793,0.063595369,-40.419998,0.050000001,36.96,49.51,1.0,65.0,0.0,0.0
5.8312945,-6.6901159,0.55890173,0.063595369,-48.919998,3.5999999,27.08,39.12,1.0,0.0,0.0,0.0
5.8342195,-6.6903853,0.55564833,0.0,-48.91,3.5799999,31.48,43.52,1.0,49.0,0.0,0.0
5.8346028,-6.6866751,0.56175834,-0.063595369,-48.889999,3.6199999,27.27,39.31,1.0,0.0,0.0,0.0
5.8513575,-4.3297763,-0.80248737,0.0,-36.5,-6.29,32.45,43.91,1.0,58.0,0.0,0.0
6.0463405,-4.4636221,0.034539379,-0.063595369,-36.43,0.25999999,34.01,46.56,1.0,57.0,0.0,0.0
6.0483022,-4.4698558,0.026745619,0.0,-36.459999,0.2,38.73,50.77,1.0,100.0,0.0,0.0
6.0624466,-4.4388804,0.087318003,-0.12719074,-36.209999,0.66000003,19.6,32.16,1.0,0.0,0.0,0.0
6.073319,-4.4747248,0.031932935,0.063595369,-36.380001,0.23999999,34.41,46.45,1.0,31.0,0.0,0.0
6.1658182,-4.4803452,0.38751501,-0.12719074,-36.0,2.9100001,21.17,33.47,1.0,0.0,0.0,0.0
6.4023929,-4.0563059,0.60240287,0.31797683,-32.349998,4.54,25.03,36.79,1.0,0.0,0.0,0.0
6.435143,-4.0175714,0.5679059,0.38157222,-31.969999,4.2800002,22.61,34.08,1.0,0.0,0.0,0.0
6.4455175,-4.0928454,0.64680469,0.31797683,-32.41,4.8400002,31.32,43.36,1.0,51.0,0.0,0.0
6.4602022,-4.0085683,0.5920592,0.4451676,-31.809999,4.4499998,15.63,27.09,1.0,0.0,0.0,0.0
6.4992781,-4.0625648,0.59611779,0.38157222,-32.0,4.4400001,29.51,41.27,1.0,1.0,0.0,0.0
6.5195007,-4.2319651,0.51899266,0.50876296,-32.98,3.8199999,21.2,33.24,1.0,0.0,0.0,0.0
6.5198426,-4.237277,0.49967825,0.4451676,-33.02,3.6700001,26.76,38.53,1.0,0.0,0.0,0.0
6.5344667,-4.1526875,0.5580942,0.4451676,-32.43,4.1199999,26.12,37.88,1.0,0.0,0.0,0.0
6.5454812,-4.0808477,0.5584352,0.38157222,-31.940001,4.1399999,26.51,37.97,1.0,0.0,0.0,0.0
6.5640345,-4.2271495,0.50459629,0.50876296,-32.779999,3.6900001,23.59,35.36,1.0,0.0,0.0,0.0
6.5740237,-3.8209143,-0.15780826,0.19078611,-30.16,-1.1799999,28.3,40.34,1.0,45.0,0.0,0.0
6.5808072,-3.8190551,-0.27703848,0.12719074,-30.120001,-2.0799999,26.89,38.93,1.0,0.0,0.0,0.0
6.586524,-3.7977936,0.17266521,0.25438148,-29.959999,1.3,27.25,39.01,1.0,0.0,0.0,0.0
6.616075,-3.972403,-0.18344902,0.19078611,-30.98,-1.36,31.4,43.16,1.0,39.0,0.0,0.0
6.619061,-3.8830924,-0.18006937,0.19078611,-30.389999,-1.34,34.58,47.13,1.0,100.0,0.0,0.0
6.6387615,-3.8365445,0.16808121,0.25438148,-30.02,1.25,33.22,45.77,1.0,88.0,0.0,0.0
6.6682677,-3.8717606,0.16627195,0.25438148,-30.139999,1.23,29.78,41.25,1.0,17.0,0.0,0.0
6.7043772,-3.7436097,0.70803154,0.31797683,-29.17,5.2600002,26.88,38.34,1.0,0.0,0.0,0.0
6.9840488,9.2583246,-0.69119889,-0.063595369,52.970001,-3.4100001,16.6,28.65,1.0,0.0,0.0,0.0
7.0042634,9.2526064,-0.69536746,0.0,52.869999,-3.4200001,20.8,32.84,1.0,0.0,0.0,0.0
7.0083966,9.2358055,-0.63894904,0.063595369,52.799999,-3.1500001,16.87,29.18,1.0,0.0,0.0,0.0
7.0412421,-6.6986308,0.40290672,0.063595369,-43.57,2.3699999,21.25,34.04,1.0,0.0,0.0,0.0
7.0421295,-6.6911063,0.39858878,0.0,-43.529999,2.3399999,25.43,38.22,1.0,0.0,0.0,0.0
7.0465751,-6.6841178,0.40986696,-0.063595369,-43.48,2.4100001,21.33,33.88,1.0,0.0,0.0,0.0
7.6317964,-8.304945,0.77056521,0.063595369,-47.41,3.9000001,15.31,27.07,1.0,0.0,0.0,0.0
7.6435781,-8.3216753,0.74025792,0.0,-47.43,3.74,18.32,30.09,1.0,0.0,0.0,0.0
8.2738008,10.262999,-1.6711488,0.0,51.119999,-7.2199998,26.78,39.79,1.0,0.0,0.0,0.0
8.2747965,10.267507,-1.6880324,0.063595369,51.130001,-7.29,23.07,35.62,1.0,0.0,0.0,0.0
8.2753353,10.219337,0.91564196,-0.063595369,51.0,3.98,24.74,37.05,1.0,0.0,0.0,0.0
8.2753363,10.2651,-1.6562337,-0.063595369,51.119999,-7.1500001,21.78,35.21,1.0,0.0,0.0,0.0
8.2777195,10.220431,0.90878505,0.0,50.990002,3.95,29.27,41.58,1.0,20.0,0.0,0.0
10.678422,-9.0584536,-0.32787359,0.0,-40.299999,-1.34,21.51,34.52,1.0,0.0,0.0,0.0
10.729369,-5.9698668,-0.45343778,0.063595369,-29.09,-2.1099999,20.04,32.83,1.0,0.0,0.0,0.0
10.735518,-5.9624534,-0.43960902,0.0,-29.040001,-2.05,24.4,37.19,1.0,0.0,0.0,0.0
10.744085,-5.9579158,-0.45119017,-0.063595369,-29.0,-2.0999999,20.44,33.23,1.0,0.0,0.0,0.0
11.074623,-4.3342466,-0.48362279,-0.063595369,-21.370001,-2.3199999,22.55,34.59,1.0,0.0,0.0,0.0
11.077312,-4.3303213,-0.49935725,0.0,-21.35,-2.4000001,26.83,39.13,1.0,0.0,0.0,0.0
11.081624,-4.3113151,-0.50062978,0.063595369,-21.25,-2.4100001,22.89,34.93,1.0,0.0,0.0,0.0
11.155625,-5.9507694,-0.51644945,-0.063595369,-28.07,-2.3299999,21.82,34.6,1.0,0.0,0.0,0.0
11.160812,-5.9565444,-0.51658595,0.0,-28.08,-2.3299999,25.58,38.8,1.0,0.0,0.0,0.0
11.160814,-5.9628201,-0.53917271,0.063595369,-28.110001,-2.4300001,21.12,34.34,1.0,0.0,0.0,0.0
11.183477,-4.3274841,-0.48693177,-0.12719074,-21.15,-2.3199999,14.65,27.44,1.0,0.0,0.0,0.0
11.192332,-4.3486476,-0.51232779,0.0,-21.23,-2.4400001,34.46,47.25,1.0,97.0,0.0,0.0
11.192974,-4.3436909,-0.51088113,0.063595369,-21.200001,-2.4300001,30.62,42.93,1.0,41.0,0.0,0.0
11.194011,-4.3490882,-0.508066,-0.063595369,-21.23,-2.4200001,29.85,42.64,1.0,3.0,0.0,0.0
11.237563,-4.3680367,-0.51689303,0.0,-21.24,-2.45,33.29,45.59,1.0,68.0,0.0,0.0
11.238097,-4.3656983,-0.51165938,0.063595369,-21.219999,-2.4300001,29.19,41.23,1.0,0.0,0.0,0.0
11.242563,-4.3680677,-0.51403087,-0.063595369,-21.23,-2.4400001,28.56,41.11,1.0,0.0,0.0,0.0
11.293536,-4.3691149,-0.49347129,-0.12719074,-21.139999,-2.3299999,14.31,26.86,1.0,0.0,0.0,0.0
14.680311,-5.687211,-0.4448036,0.0,-21.17,-1.61,16.99,30.61,1.0,0.0,0.0,0.0
15.540556,-7.8541965,-0.55490875,0.0,-26.809999,-1.8200001,18.84,32.65,1.0,0.0,0.0,0.0
15.560382,-7.8192739,-0.52395052,-0.063595369,-26.68,-1.72,14.57,28.72,1.0,0.0,0.0,0.0
16.111734,10.202564,0.79338938,-0.063595369,32.34,2.3800001,21.19,34.81,1.0,0.0,0.0,0.0
16.121004,10.1884,0.783149,0.0,32.290001,2.3499999,25.74,39.16,1.0,0.0,0.0,0.0
16.130566,10.169883,0.77763766,0.063595369,32.23,2.3299999,21.46,34.68,1.0,0.0,0.0,0.0
17.128963,10.254202,-0.74011111,-0.063595369,30.9,-2.1199999,21.39,35.19,1.0,0.0,0.0,0.0
17.137056,10.2473,-0.73982477,0.0,30.870001,-2.1199999,26.05,39.47,1.0,0.0,0.0,0.0
17.140402,10.245545,-0.73648089,0.063595369,30.860001,-2.1099999,21.59,35.01,1.0,0.0,0.0,0.0
18.444546,9.1480131,-0.71219069,0.0,26.379999,-1.98,23.85,37.83,1.0,0.0,0.0,0.0
18.446743,9.1460218,-0.70641375,-0.063595369,26.370001,-1.96,19.4,33.38,1.0,0.0,0.0,0.0
18.454542,9.1270971,-0.72127742,0.063595369,26.309999,-2.0,19.45,33.43,1.0,0.0,0.0,0.0
18.861994,9.2633839,-0.76269913,0.0,26.15,-2.0699999,23.94,38.25,1.0,0.0,0.0,0.0
18.866642,9.2607088,-0.75797457,-0.063595369,26.139999,-2.0599999,19.78,33.93,1.0,0.0,0.0,0.0
18.870682,9.2536936,-0.75394982,0.063595369,26.120001,-2.05,19.56,33.87,1.0,0.0,0.0,0.0
19.015989,9.3006992,-0.7434566,-0.063595369,26.059999,-2.01,19.18,33.33,1.0,0.0,0.0,0.0
