X,Y,Z,Reflectivity
112.147,-5.787,10.252,14.0
111.541,-5.724,9.555,24.0
111.697,-5.702,8.927,22.0
109.504,-5.559,8.113,24.0
108.284,-5.469,7.403,9.0
108.783,-5.465,6.815,25.0
111.99,-5.609,10.148,25.0
111.529,-5.555,9.464,23.0
113.754,-5.635,8.999,14.0
112.323,-5.533,8.229,7.0
114.832,-5.626,7.755,21.0
112.496,-5.481,6.954,14.0
111.569,-5.419,10.015,24.0
116.344,-5.618,9.772,13.0
115.695,-5.555,9.052,20.0
118.519,-5.66,8.581,7.0
115.247,-5.472,7.683,17.0
113.098,-5.34,6.891,17.0
111.63,-5.253,9.92,20.0
116.56,-5.454,9.685,23.0
115.116,-5.355,8.903,22.0
114.82,-5.31,8.208,23.0
116.11,-5.338,7.633,20.0
115.99,-5.303,6.96,12.0
116.536,-5.308,10.246,9.0
116.728,-5.286,9.59,25.0
114.67,-5.164,8.76,24.0
114.667,-5.134,8.09,27.0
116.63,-5.191,7.557,20.0
115.076,-5.093,6.796,21.0
124.179,-5.473,10.797,20.0
115.628,-5.066,9.387,15.0
115.096,-5.013,8.68,24.0
114.747,-4.968,7.981,23.0
114.77,-4.939,7.322,20.0
114.721,-4.907,6.661,22.0
124.27,-5.294,10.68,20.0
115.115,-4.874,9.227,20.0
115.327,-4.853,8.578,25.0
114.805,-4.801,7.866,12.0
114.609,-4.763,7.193,25.0
114.367,-4.725,6.521,26.0
124.115,-5.104,10.534,27.0
114.974,-4.699,9.094,27.0
115.134,-4.677,8.442,22.0
115.751,-4.673,7.807,26.0
114.813,-4.607,7.084,21.0
114.44,-4.563,6.402,22.0
124.173,-4.927,10.403,25.0
115.318,-4.546,8.994,23.0
115.371,-4.519,8.332,18.0
115.651,-4.501,7.673,22.0
114.763,-4.438,6.952,21.0
114.724,-4.408,6.288,22.0
115.013,-4.397,9.505,26.0
115.039,-4.37,8.841,21.0
123.357,-4.655,8.767,14.0
115.762,-4.34,7.548,26.0
114.756,-4.275,6.82,19.0
114.372,-4.233,6.138,15.0
115.519,-4.252,9.412,26.0
114.834,-4.199,8.691,25.0
123.322,-4.479,8.619,18.0
116.692,-4.209,7.469,25.0
114.578,-4.106,6.673,25.0
114.289,-4.069,5.997,25.0
115.971,-4.106,9.309,27.0
115.797,-4.072,8.624,24.0
115.559,-4.037,7.937,9.0
114.416,-3.97,7.186,14.0
114.369,-3.942,6.523,21.0
114.296,-3.913,5.86,23.0
115.883,-3.942,9.158,15.0
115.949,-3.917,8.491,19.0
126.443,-4.242,8.528,6.0
114.605,-3.819,7.055,16.0
0.0,0.0,0.0,0.0
116.342,-3.824,5.818,10.0
126.052,-4.115,9.801,20.0
124.413,-4.033,8.952,14.0
117.792,-3.792,7.793,27.0
115.332,-3.685,6.95,29.0
114.6,-3.637,6.243,23.0
117.118,-3.691,5.705,17.0
125.867,-3.938,9.621,22.0
140.386,-4.361,9.915,7.0
125.419,-3.867,8.131,19.0
115.712,-3.541,6.819,24.0
116.553,-3.54,6.193,8.0
117.25,-3.535,5.552,33.0
126.056,-3.772,9.461,19.0
118.102,-3.508,8.179,7.0
123.944,-3.655,7.864,22.0
115.825,-3.39,6.667,28.0
141.154,-4.101,7.308,13.0
117.252,-3.381,5.393,18.0
140.382,-4.017,10.344,9.0
125.239,-3.556,8.5,21.0
115.899,-3.266,7.194,21.0
115.808,-3.238,6.504,20.0
124.054,-3.442,6.248,14.0
125.16,-3.445,5.579,5.0
0.0,0.0,0.0,0.0
124.888,-3.382,8.296,21.0
116.09,-3.12,7.037,14.0
124.402,-3.316,6.806,20.0
117.34,-3.102,5.74,24.0
117.365,-3.078,5.061,10.0
0.0,0.0,0.0,0.0
125.223,-3.229,8.134,16.0
124.085,-3.174,7.339,23.0
124.259,-3.152,6.614,19.0
140.853,-3.544,6.68,12.0
139.923,-3.493,5.827,14.0
0.0,0.0,0.0,0.0
124.947,-3.063,7.926,8.0
124.27,-3.022,7.161,25.0
141.635,-3.416,7.326,13.0
140.721,-3.365,6.461,12.0
143.358,-3.398,5.75,16.0
0.0,0.0,0.0,0.0
124.467,-2.897,7.705,23.0
124.221,-2.865,6.966,11.0
0.0,0.0,0.0,0.0
191.844,-4.35,8.51,12.0
140.078,-3.148,5.401,15.0
0.0,0.0,0.0,0.0
125.002,-2.757,7.542,19.0
0.0,0.0,0.0,0.0
192.64,-4.172,9.36,23.0
190.281,-4.085,8.14,15.0
190.013,-4.042,7.027,16.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
192.314,-3.936,9.036,12.0
190.284,-3.858,7.834,24.0
190.516,-3.827,6.736,21.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
191.685,-3.701,8.693,19.0
190.554,-3.643,7.533,16.0
162.616,-3.079,5.483,5.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
192.264,-3.492,8.396,16.0
191.24,-3.44,7.241,13.0
162.605,-2.895,5.211,30.0
189.992,-3.342,11.32,20.0
190.021,-3.308,10.212,23.0
190.019,-3.275,9.104,13.0
189.983,-3.24,7.978,16.0
191.514,-3.232,6.926,8.0
162.737,-2.718,4.938,14.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
193.377,-3.121,8.931,7.0
191.923,-3.064,7.725,16.0
191.188,-3.019,6.581,6.0
163.298,-2.552,4.673,33.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
193.173,-2.911,8.58,22.0
191.95,-2.861,7.39,23.0
162.576,-2.396,5.311,55.0
163.336,-2.381,4.388,31.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
193.09,-2.709,8.234,14.0
191.887,-2.661,7.045,19.0
162.679,-2.231,5.025,38.0
19.839,-0.269,0.497,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
186.264,-2.426,7.607,8.0
185.989,-2.394,6.493,13.0
19.798,-0.251,0.575,0.0
19.767,-0.248,0.459,8.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
185.849,-2.24,7.253,20.0
162.609,-1.936,5.383,25.0
19.763,-0.232,0.539,7.0
19.751,-0.229,0.423,11.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
184.923,-2.053,6.873,8.0
19.763,-0.216,0.617,7.0
19.753,-0.213,0.501,10.0
19.743,-0.21,0.386,8.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
19.773,-0.201,0.697,2.0
19.744,-0.198,0.579,9.0
19.745,-0.195,0.464,8.0
19.764,-0.192,0.349,2.0
186.707,-1.785,8.411,5.0
183.908,-1.733,7.212,19.0
19.758,-0.183,0.659,5.0
19.739,-0.18,0.541,8.0
19.76,-0.178,0.427,5.0
0.0,0.0,0.0,0.0
184.777,-1.607,7.97,20.0
19.751,-0.169,0.736,1.0
19.734,-0.166,0.62,8.0
19.757,-0.164,0.504,5.0
177.253,-1.449,3.49,20.0
169.423,-1.363,2.346,17.0
184.237,-1.448,7.59,20.0
19.763,-0.152,0.698,3.0
19.761,-0.15,0.582,5.0
19.769,-0.147,0.465,1.0
177.177,-1.303,3.139,13.0
19.681,-0.142,0.233,0.0
184.183,-1.299,7.224,19.0
19.697,-0.136,0.657,2.0
19.709,-0.134,0.542,5.0
19.674,-0.131,0.424,3.0
19.702,-0.129,0.31,2.0
19.735,-0.127,0.195,9.0
19.703,-0.123,0.733,6.0
19.655,-0.121,0.616,10.0
19.652,-0.118,0.502,10.0
19.666,-0.116,0.385,8.0
19.697,-0.114,0.27,7.0
19.719,-0.112,0.156,14.0
19.675,-0.109,0.693,11.0
19.653,-0.106,0.577,11.0
19.646,-0.104,0.462,9.0
19.66,-0.102,0.346,9.0
19.694,-0.1,0.231,13.0
19.709,-0.098,0.116,14.0
19.659,-0.095,0.653,13.0
19.646,-0.093,0.537,11.0
19.653,-0.091,0.423,9.0
19.653,-0.089,0.306,9.0
19.703,-0.087,0.192,14.0
19.713,-0.085,0.076,13.0
19.647,-0.082,0.612,13.0
19.643,-0.08,0.498,11.0
19.638,-0.078,0.383,9.0
19.649,-0.076,0.266,10.0
19.688,-0.074,0.152,16.0
19.706,-0.072,0.036,16.0
19.631,-0.069,0.572,13.0
19.635,-0.067,0.457,12.0
19.633,-0.065,0.342,10.0
19.644,-0.064,0.226,14.0
19.703,-0.062,0.111,16.0
19.711,-0.06,-0.003,16.0
19.643,-0.057,0.532,13.0
19.634,-0.056,0.416,11.0
19.635,-0.054,0.301,9.0
19.665,-0.052,0.185,11.0
19.7,-0.05,0.07,15.0
19.721,-0.049,-0.044,16.0
19.642,-0.046,0.491,13.0
19.621,-0.045,0.376,10.0
19.631,-0.043,0.261,10.0
19.684,-0.042,0.145,10.0
19.707,-0.04,0.03,15.0
19.743,-0.038,-0.085,9.0
19.631,-0.036,0.45,13.0
19.628,-0.035,0.335,11.0
19.641,-0.033,0.22,14.0
19.683,-0.031,0.103,13.0
19.716,-0.03,-0.011,14.0
19.747,-0.029,-0.126,11.0
19.622,-0.027,0.409,13.0
19.632,-0.025,0.294,12.0
19.661,-0.024,0.179,7.0
19.699,-0.022,0.062,12.0
19.732,-0.021,-0.052,9.0
19.777,-0.019,-0.168,1.0
19.622,-0.018,0.367,13.0
19.63,-0.016,0.253,13.0
19.695,-0.015,0.138,2.0
19.718,-0.014,0.021,10.0
19.758,-0.012,-0.093,2.0
0.0,0.0,0.0,0.0
19.629,-0.01,0.327,14.0
19.636,-0.008,0.212,14.0
19.768,-0.007,0.097,2.0
19.737,-0.006,-0.019,9.0
19.849,-0.005,-0.135,0.0
0.0,0.0,0.0,0.0
19.626,-0.002,0.285,14.0
19.777,-0.001,0.171,3.0
19.798,0.0,0.056,4.0
19.759,0.0,-0.061,2.0
19.75,0.001,-0.176,0.0
19.772,0.003,-0.292,1.0
19.637,0.004,0.244,16.0
19.76,0.005,0.129,2.0
19.745,0.006,0.014,8.0
19.762,0.007,-0.103,0.0
19.792,0.008,-0.219,1.0
19.783,0.009,-0.335,1.0
19.66,0.01,0.202,10.0
19.775,0.011,0.088,6.0
19.744,0.012,-0.027,46.0
19.772,0.013,-0.145,1.0
19.777,0.013,-0.261,2.0
19.782,0.014,-0.377,2.0
19.744,0.015,0.161,9.0
19.751,0.016,0.045,6.0
19.747,0.017,-0.069,4.0
19.752,0.017,-0.187,6.0
19.757,0.018,-0.303,16.0
19.77,0.019,-0.419,10.0
19.755,0.02,0.119,11.0
19.743,0.02,0.003,16.0
19.75,0.021,-0.112,13.0
19.734,0.022,-0.229,17.0
19.761,0.022,-0.345,9.0
19.777,0.023,-0.462,12.0
19.757,0.023,0.076,16.0
19.756,0.024,-0.038,150.0
19.749,0.025,-0.154,11.0
19.742,0.025,-0.271,9.0
19.758,0.026,-0.388,9.0
19.764,0.027,-0.503,10.0
19.759,0.026,0.034,15.0
19.748,0.027,-0.08,6.0
19.755,0.028,-0.196,15.0
19.756,0.028,-0.314,13.0
19.778,0.029,-0.43,8.0
19.769,0.029,-0.546,12.0
19.737,0.029,-0.007,31.0
19.757,0.029,-0.123,8.0
19.75,0.03,-0.238,10.0
19.76,0.03,-0.356,8.0
19.764,0.03,-0.472,12.0
19.777,0.031,-0.589,10.0
19.757,0.03,-0.05,64.0
19.763,0.031,-0.165,9.0
19.768,0.031,-0.281,13.0
19.766,0.031,-0.399,10.0
19.768,0.032,-0.515,12.0
19.789,0.032,-0.631,9.0
19.756,0.031,-0.092,9.0
19.751,0.031,-0.208,18.0
19.77,0.032,-0.324,12.0
19.774,0.032,-0.441,9.0
19.78,0.032,-0.558,13.0
19.809,0.032,-0.675,2.0
19.762,0.031,-0.134,12.0
19.757,0.031,-0.25,10.0
19.765,0.032,-0.366,9.0
19.771,0.032,-0.484,12.0
19.78,0.032,-0.6,10.0
19.784,0.032,-0.716,4.0
19.773,0.031,-0.177,9.0
19.76,0.031,-0.293,16.0
19.767,0.031,-0.408,10.0
19.764,0.031,-0.526,11.0
19.793,0.031,-0.643,6.0
19.77,0.031,-0.758,9.0
19.766,0.029,-0.219,13.0
19.764,0.029,-0.334,9.0
19.772,0.029,-0.45,8.0
19.758,0.029,-0.567,10.0
19.816,0.029,-0.685,0.0
19.485,0.028,-0.788,0.0
19.76,0.027,-0.26,10.0
19.762,0.027,-0.376,8.0
19.775,0.027,-0.492,9.0
19.768,0.027,-0.609,9.0
19.796,0.026,-0.726,6.0
18.553,0.024,-0.79,0.0
19.768,0.024,-0.302,14.0
19.773,0.024,-0.418,9.0
19.766,0.024,-0.533,14.0
19.795,0.023,-0.652,2.0
19.762,0.023,-0.767,3.0
17.797,0.02,-0.795,0.0
19.769,0.021,-0.344,12.0
19.775,0.02,-0.459,13.0
19.766,0.02,-0.575,14.0
19.906,0.019,-0.698,0.0
19.216,0.018,-0.786,0.0
17.024,0.016,-0.796,0.0
15.852,-0.117,-0.803,0.0
14.805,-0.111,-0.836,0.0
13.599,-0.103,-0.847,0.0
12.68,-0.098,-0.865,0.0
11.892,-0.093,-0.881,0.0
11.161,-0.088,-0.892,0.0
15.565,-0.127,-0.815,0.0
14.312,-0.119,-0.833,0.0
13.317,-0.112,-0.853,0.0
12.41,-0.106,-0.868,0.0
11.637,-0.1,-0.882,0.0
10.96,-0.096,-0.895,0.0
15.283,-0.138,-0.827,0.0
14.068,-0.128,-0.843,0.0
13.031,-0.12,-0.857,0.0
12.182,-0.114,-0.874,0.0
11.471,-0.109,-0.89,0.0
10.78,-0.103,-0.899,0.0
14.87,-0.146,-0.83,0.0
13.736,-0.137,-0.847,0.0
12.709,-0.128,-0.857,0.0
11.959,-0.122,-0.878,0.0
11.238,-0.116,-0.891,0.0
10.598,-0.111,-0.902,0.0
14.543,-0.156,-0.836,0.0
13.427,-0.146,-0.85,0.0
12.558,-0.138,-0.868,0.0
11.769,-0.13,-0.883,0.0
11.025,-0.124,-0.892,0.0
10.42,-0.118,-0.904,0.0
14.2,-0.165,-0.839,0.0
13.148,-0.154,-0.853,0.0
12.331,-0.146,-0.872,0.0
11.543,-0.139,-0.885,0.0
10.858,-0.132,-0.896,0.0
10.242,-0.126,-0.905,0.0
13.895,-0.174,-0.844,0.0
12.847,-0.163,-0.855,0.0
12.058,-0.155,-0.872,0.0
11.338,-0.147,-0.888,0.0
10.717,-0.14,-0.902,0.0
10.098,-0.134,-0.909,0.0
13.628,-0.184,-0.849,0.0
12.678,-0.173,-0.864,0.0
11.881,-0.164,-0.879,0.0
11.149,-0.155,-0.891,0.0
10.551,-0.149,-0.904,0.0
9.943,-0.141,-0.91,0.0
13.356,-0.193,-0.853,0.0
12.407,-0.182,-0.864,0.0
11.69,-0.173,-0.882,0.0
10.972,-0.164,-0.893,0.0
10.373,-0.156,-0.905,0.0
9.799,-0.149,-0.912,0.0
13.032,-0.202,-0.852,0.0
12.212,-0.191,-0.869,0.0
11.489,-0.181,-0.884,0.0
10.826,-0.173,-0.897,0.0
10.207,-0.164,-0.906,0.0
9.664,-0.157,-0.914,0.0
12.83,-0.212,-0.857,0.0
12.02,-0.2,-0.873,0.0
11.299,-0.19,-0.886,0.0
10.664,-0.181,-0.9,0.0
10.082,-0.173,-0.909,0.0
9.56,-0.165,-0.918,0.0
12.639,-0.222,-0.863,0.0
11.878,-0.211,-0.88,0.0
11.154,-0.2,-0.891,0.0
10.52,-0.19,-0.903,0.0
9.944,-0.181,-0.911,0.0
9.414,-0.173,-0.918,0.0
12.421,-0.232,-0.866,0.0
11.702,-0.22,-0.883,0.0
10.987,-0.209,-0.893,0.0
10.352,-0.198,-0.903,0.0
9.8,-0.189,-0.912,0.0
9.247,-0.18,-0.914,0.0
12.279,-0.242,-0.872,0.0
11.507,-0.229,-0.884,0.0
10.847,-0.218,-0.896,0.0
10.242,-0.207,-0.907,0.0
9.699,-0.198,-0.915,0.0
9.196,-0.189,-0.922,0.0
12.077,-0.252,-0.874,0.0
11.323,-0.238,-0.885,0.0
10.708,-0.227,-0.899,0.0
10.111,-0.216,-0.909,0.0
9.573,-0.206,-0.916,0.0
9.091,-0.197,-0.923,0.0
11.887,-0.261,-0.876,0.0
11.168,-0.247,-0.887,0.0
10.552,-0.236,-0.9,0.0
9.981,-0.225,-0.91,0.0
9.467,-0.215,-0.918,0.0
8.943,-0.205,-0.919,0.0
11.746,-0.272,-0.88,0.0
11.034,-0.257,-0.891,0.0
10.424,-0.245,-0.902,0.0
9.859,-0.233,-0.911,0.0
9.364,-0.223,-0.92,0.0
8.854,-0.213,-0.921,0.0
11.609,-0.282,-0.884,0.0
10.908,-0.267,-0.894,0.0
10.32,-0.254,-0.905,0.0
9.742,-0.242,-0.912,0.0
9.279,-0.232,-0.922,0.0
8.778,-0.221,-0.924,0.0
11.483,-0.292,-0.888,0.0
10.788,-0.277,-0.896,0.0
10.221,-0.264,-0.908,0.0
9.651,-0.251,-0.915,0.0
9.145,-0.24,-0.92,0.0
8.707,-0.23,-0.926,0.0
11.309,-0.302,-0.887,0.0
10.671,-0.287,-0.899,0.0
10.101,-0.273,-0.909,0.0
9.563,-0.26,-0.917,0.0
9.079,-0.249,-0.923,0.0
8.615,-0.238,-0.926,0.0
11.149,-0.311,-0.887,0.0
10.549,-0.296,-0.9,0.0
9.994,-0.282,-0.91,0.0
9.469,-0.27,-0.918,0.0
8.949,-0.257,-0.92,0.0
8.54,-0.247,-0.927,0.0
11.04,-0.321,-0.89,0.0
10.477,-0.307,-0.905,0.0
9.907,-0.292,-0.913,0.0
9.39,-0.279,-0.921,0.0
8.885,-0.266,-0.922,0.0
8.491,-0.256,-0.931,0.0
10.921,-0.331,-0.891,0.0
10.329,-0.315,-0.902,0.0
9.792,-0.301,-0.912,0.0
9.303,-0.288,-0.921,0.0
8.816,-0.275,-0.924,0.0
8.424,-0.264,-0.932,0.0
10.833,-0.342,-0.895,0.0
10.255,-0.326,-0.906,0.0
9.703,-0.31,-0.913,0.0
9.187,-0.296,-0.919,0.0
8.772,-0.284,-0.928,0.0
8.363,-0.273,-0.933,0.0
10.731,-0.353,-0.896,0.0
10.148,-0.336,-0.906,0.0
9.607,-0.32,-0.913,0.0
9.139,-0.306,-0.922,0.0
8.696,-0.293,-0.928,0.0
8.304,-0.282,-0.934,0.0
10.65,-0.363,-0.899,0.0
10.057,-0.345,-0.907,0.0
9.57,-0.331,-0.918,0.0
9.082,-0.316,-0.924,0.0
8.65,-0.303,-0.93,0.0
8.25,-0.29,-0.935,0.0
10.557,-0.374,-0.9,0.0
10.004,-0.356,-0.91,0.0
9.473,-0.339,-0.916,0.0
9.016,-0.325,-0.925,0.0
8.598,-0.312,-0.932,0.0
8.208,-0.3,-0.937,0.0
10.472,-0.384,-0.901,0.0
9.945,-0.367,-0.913,0.0
9.41,-0.349,-0.918,0.0
8.96,-0.335,-0.926,0.0
8.538,-0.321,-0.932,0.0
8.143,-0.308,-0.936,0.0
10.414,-0.396,-0.904,0.0
9.872,-0.377,-0.914,0.0
9.354,-0.36,-0.92,0.0
8.902,-0.344,-0.927,0.0
8.456,-0.329,-0.929,0.0
8.092,-0.317,-0.936,0.0
10.331,-0.406,-0.904,0.0
9.791,-0.387,-0.913,0.0
9.301,-0.37,-0.921,0.0
8.833,-0.353,-0.926,0.0
8.435,-0.339,-0.933,0.0
8.064,-0.326,-0.938,0.0
10.26,-0.417,-0.905,0.0
9.744,-0.398,-0.915,0.0
9.255,-0.38,-0.922,0.0
8.784,-0.363,-0.927,0.0
8.394,-0.349,-0.934,0.0
8.015,-0.335,-0.938,0.0
10.209,-0.428,-0.907,0.0
9.672,-0.408,-0.915,0.0
9.186,-0.389,-0.921,0.0
8.733,-0.372,-0.927,0.0
8.344,-0.358,-0.933,0.0
7.971,-0.343,-0.938,0.0
