X,Y,Z,Reflectivity
110.703,8.076,5.279,18.0
66.612,4.876,2.807,1.0
66.534,4.887,2.434,6.0
31.714,2.337,0.981,160.0
31.731,2.346,0.806,150.0
31.677,2.351,0.629,51.0
109.379,8.178,5.221,6.0
66.403,4.98,2.801,12.0
31.689,2.384,1.16,169.0
31.665,2.39,0.98,31.0
31.67,2.398,0.805,62.0
31.626,2.403,0.628,40.0
107.818,8.253,5.147,17.0
118.186,9.075,4.985,16.0
31.673,2.44,1.159,181.0
31.635,2.445,0.979,32.0
31.654,2.454,0.803,80.0
31.62,2.459,0.627,21.0
106.22,8.321,5.068,29.0
118.19,9.287,4.98,7.0
31.647,2.494,1.157,183.0
31.623,2.499,0.977,37.0
31.656,2.51,0.802,64.0
31.616,2.514,0.625,40.0
74.623,5.977,3.555,20.0
74.568,5.989,3.136,9.0
31.63,2.548,1.154,182.0
31.61,2.554,0.974,44.0
31.64,2.563,0.798,55.0
31.639,2.571,0.622,39.0
74.538,6.1,3.543,31.0
74.517,6.115,3.125,15.0
31.685,2.607,1.152,153.0
31.636,2.61,0.97,24.0
31.635,2.618,0.794,59.0
31.634,2.626,0.617,39.0
74.639,6.238,3.536,9.0
118.144,9.901,4.937,5.0
34.326,2.884,1.242,1.0
31.638,2.665,0.965,23.0
31.683,2.677,0.79,150.0
31.649,2.681,0.612,34.0
103.211,8.803,4.872,18.0
34.264,2.93,1.425,5.0
120.618,10.341,4.343,38.0
31.645,2.72,0.959,35.0
31.696,2.732,0.783,151.0
31.686,2.738,0.606,36.0
103.199,8.976,4.848,17.0
120.618,10.518,4.991,6.0
120.621,10.545,4.315,51.0
31.685,2.777,0.952,21.0
31.729,2.788,0.776,26.0
32.004,2.819,0.604,39.0
103.199,9.149,4.821,16.0
120.635,10.72,4.959,9.0
120.656,10.747,4.284,29.0
31.709,2.831,0.944,5.0
31.725,2.84,0.767,26.0
120.677,10.829,2.244,16.0
103.236,9.323,4.792,13.0
114.895,10.399,4.688,21.0
114.861,10.419,4.042,26.0
13.867,1.261,0.408,1.0
13.867,1.264,0.331,4.0
13.871,1.267,0.253,6.0
13.868,1.274,0.639,3.0
13.848,1.275,0.56,5.0
13.847,1.278,0.482,11.0
13.831,1.28,0.402,21.0
13.839,1.283,0.325,26.0
13.832,1.286,0.247,21.0
13.829,1.293,0.632,22.0
13.826,1.295,0.554,24.0
13.838,1.299,0.477,35.0
13.826,1.301,0.397,34.0
13.817,1.303,0.319,33.0
13.821,1.306,0.242,29.0
13.813,1.313,0.626,35.0
13.815,1.315,0.548,38.0
13.816,1.318,0.47,39.0
13.811,1.32,0.391,37.0
13.798,1.322,0.313,34.0
13.801,1.325,0.235,34.0
13.797,1.333,0.619,36.0
13.81,1.336,0.542,89.0
13.801,1.338,0.464,52.0
13.804,1.341,0.384,40.0
13.787,1.342,0.306,36.0
13.788,1.345,0.229,35.0
13.784,1.352,0.612,38.0
13.793,1.356,0.534,118.0
13.792,1.358,0.456,127.0
13.788,1.36,0.377,57.0
13.78,1.362,0.299,44.0
13.773,1.364,0.222,37.0
13.772,1.371,0.604,38.0
13.783,1.375,0.527,150.0
13.791,1.378,0.449,142.0
13.779,1.379,0.37,78.0
13.773,1.381,0.292,48.0
13.765,1.383,0.214,37.0
13.764,1.391,0.597,38.0
13.779,1.394,0.519,150.0
13.785,1.397,0.442,150.0
13.78,1.399,0.362,55.0
13.765,1.4,0.284,64.0
13.761,1.403,0.206,37.0
13.765,1.41,0.589,39.0
13.777,1.414,0.511,150.0
13.778,1.416,0.434,150.0
13.768,1.417,0.354,71.0
13.771,1.42,0.276,45.0
13.761,1.422,0.198,36.0
13.77,1.43,0.581,45.0
13.776,1.433,0.503,150.0
13.783,1.436,0.425,150.0
13.768,1.436,0.346,51.0
13.765,1.439,0.268,37.0
13.777,1.442,0.19,35.0
13.77,1.449,0.572,74.0
13.785,1.452,0.495,150.0
13.775,1.454,0.416,137.0
13.771,1.455,0.337,40.0
13.772,1.458,0.259,37.0
13.769,1.46,0.181,34.0
