X,Y,Z,Reflectivity
8.781,0.469,-0.797,2.0
8.82,0.469,-0.85,1.0
8.86,0.47,-0.903,0.0
8.855,0.468,-0.953,0.0
8.675,0.457,-0.983,0.0
7.798,0.409,-0.927,0.0
8.951,0.466,-0.81,2.0
8.975,0.466,-0.862,0.0
8.995,0.465,-0.914,0.0
8.931,0.46,-0.959,0.0
8.7,0.447,-0.983,0.0
7.814,0.4,-0.926,0.0
9.111,0.463,-0.822,2.0
9.125,0.462,-0.874,0.0
9.127,0.46,-0.925,0.0
8.972,0.451,-0.96,0.0
8.237,0.412,-0.927,0.0
7.854,0.391,-0.928,0.0
9.244,0.457,-0.83,2.0
9.357,0.461,-0.892,0.0
9.247,0.454,-0.933,0.0
8.858,0.433,-0.944,0.0
8.212,0.4,-0.921,0.0
7.864,0.381,-0.926,0.0
9.46,0.456,-0.846,0.0
9.476,0.454,-0.9,0.0
9.431,0.45,-0.948,0.0
8.684,0.413,-0.922,0.0
8.225,0.39,-0.919,0.0
7.887,0.372,-0.925,0.0
9.64,0.452,-0.857,0.0
9.629,0.449,-0.91,0.0
9.611,0.446,-0.961,0.0
8.623,0.399,-0.911,0.0
8.244,0.38,-0.917,0.0
7.922,0.363,-0.925,0.0
9.866,0.449,-0.873,0.0
9.834,0.446,-0.924,0.0
9.649,0.435,-0.96,0.0
8.623,0.387,-0.907,0.0
8.278,0.37,-0.916,0.0
7.921,0.353,-0.921,0.0
10.053,0.444,-0.884,0.0
10.024,0.441,-0.936,0.0
9.566,0.419,-0.946,0.0
8.67,0.378,-0.907,0.0
8.289,0.36,-0.913,0.0
7.996,0.345,-0.925,0.0
10.198,0.437,-0.89,3.0
10.208,0.436,-0.947,0.0
9.212,0.391,-0.906,0.0
8.724,0.369,-0.907,0.0
8.379,0.352,-0.917,0.0
8.046,0.337,-0.925,0.0
10.223,0.425,-0.886,6.0
10.363,0.429,-0.955,0.0
9.183,0.378,-0.897,0.0
8.764,0.359,-0.905,0.0
8.384,0.341,-0.912,0.0
8.072,0.327,-0.923,0.0
10.256,0.413,-0.882,5.0
10.359,0.415,-0.947,0.0
9.332,0.372,-0.905,0.0
8.809,0.349,-0.903,0.0
8.405,0.331,-0.908,0.0
8.115,0.318,-0.922,0.0
10.427,0.406,-0.889,1.0
9.913,0.384,-0.899,0.0
9.339,0.36,-0.898,1.0
8.871,0.34,-0.903,0.0
8.527,0.325,-0.915,0.0
8.124,0.308,-0.916,0.0
10.445,0.393,-0.882,0.0
9.825,0.368,-0.884,0.0
9.342,0.348,-0.891,2.0
8.923,0.33,-0.901,0.0
8.507,0.313,-0.906,0.0
8.148,0.298,-0.913,0.0
10.554,0.384,-0.883,0.0
9.922,0.358,-0.884,0.0
9.358,0.336,-0.885,1.0
8.966,0.32,-0.898,0.0
8.63,0.306,-0.912,0.0
8.181,0.289,-0.909,0.0
10.846,0.38,-0.898,0.0
9.977,0.348,-0.88,0.0
9.413,0.326,-0.882,0.0
9.049,0.312,-0.898,0.0
8.665,0.296,-0.908,0.0
8.267,0.281,-0.911,0.0
10.545,0.356,-0.864,0.0
10.058,0.338,-0.878,0.0
9.564,0.319,-0.887,0.0
9.103,0.302,-0.895,0.0
8.726,0.287,-0.906,0.0
8.355,0.273,-0.913,0.0
10.131,0.327,-0.875,0.0
9.638,0.309,-0.885,0.0
9.118,0.291,-0.888,0.0
8.8,0.279,-0.905,0.0
8.418,0.265,-0.912,0.0
10.764,0.336,-0.861,0.0
10.221,0.317,-0.873,0.0
9.745,0.3,-0.885,0.0
9.232,0.283,-0.89,0.0
8.911,0.271,-0.907,0.0
8.489,0.256,-0.911,0.0
10.898,0.327,-0.86,0.0
10.339,0.308,-0.872,0.0
9.824,0.291,-0.882,0.0
9.378,0.276,-0.894,0.0
8.99,0.262,-0.906,0.0
8.501,0.246,-0.903,0.0
11.021,0.317,-0.858,0.0
10.406,0.297,-0.867,2.0
9.925,0.281,-0.88,0.0
9.442,0.266,-0.89,0.0
9.007,0.252,-0.898,1.0
8.553,0.237,-0.899,0.0
11.151,0.307,-0.856,0.0
10.426,0.285,-0.857,3.0
10.022,0.272,-0.878,0.0
9.541,0.257,-0.888,0.0
9.067,0.242,-0.893,0.0
8.711,0.231,-0.905,0.0
11.237,0.296,-0.85,0.0
10.553,0.276,-0.855,1.0
10.118,0.262,-0.874,0.0
9.641,0.248,-0.886,0.0
9.186,0.234,-0.894,0.0
8.798,0.223,-0.904,0.0
11.419,0.287,-0.85,0.0
10.785,0.269,-0.861,0.0
10.275,0.254,-0.875,0.0
9.757,0.239,-0.885,0.0
9.318,0.227,-0.895,0.0
8.893,0.214,-0.903,0.0
11.597,0.278,-0.849,0.0
10.93,0.26,-0.859,0.0
10.344,0.244,-0.868,4.0
9.856,0.23,-0.881,0.0
9.403,0.218,-0.892,0.0
8.968,0.206,-0.899,0.0
11.759,0.268,-0.846,0.0
11.064,0.25,-0.855,0.0
10.405,0.233,-0.86,5.0
9.966,0.221,-0.878,0.0
9.509,0.209,-0.889,0.0
9.059,0.197,-0.896,0.0
11.923,0.258,-0.842,0.0
11.216,0.241,-0.852,0.0
10.487,0.223,-0.853,2.0
10.103,0.213,-0.877,0.0
9.623,0.201,-0.887,0.0
9.163,0.189,-0.894,0.0
12.095,0.248,-0.838,0.0
11.41,0.232,-0.851,0.0
10.749,0.216,-0.86,0.0
10.249,0.204,-0.876,0.0
9.737,0.192,-0.884,0.0
9.288,0.181,-0.893,0.0
12.271,0.238,-0.833,0.0
11.574,0.223,-0.848,0.0
10.921,0.208,-0.858,0.0
