X,Y,Z,Reflectivity
91.072,-10.479,5.834,19.0
86.032,-9.882,5.043,9.0
98.57,-11.302,5.243,32.0
99.311,-11.368,4.732,65.0
115.482,-13.197,4.876,47.0
115.9,-13.223,4.266,69.0
91.037,-10.399,5.91,10.0
101.057,-11.522,6.009,29.0
98.522,-11.213,5.322,30.0
99.294,-11.281,4.814,57.0
107.708,-12.215,4.637,24.0
116.094,-13.143,4.368,21.0
81.712,-9.262,5.372,7.0
101.149,-11.443,6.098,24.0
104.65,-11.817,5.738,16.0
99.269,-11.189,4.893,55.0
105.788,-11.902,4.639,15.0
107.607,-12.085,4.134,21.0
81.768,-9.194,5.44,3.0
101.226,-11.359,6.183,9.0
98.421,-11.023,5.474,45.0
99.225,-11.091,4.968,52.0
105.794,-11.803,4.721,68.0
106.394,-11.849,4.168,58.0
101.311,-11.296,6.818,10.0
98.253,-10.932,6.075,48.0
108.326,-12.028,6.106,20.0
99.271,-11.001,5.044,64.0
148.949,-16.473,6.757,13.0
106.393,-11.744,4.247,37.0
101.313,-11.196,6.893,12.0
98.224,-10.832,6.145,34.0
125.743,-13.837,7.18,9.0
99.297,-10.904,5.118,71.0
105.58,-11.57,4.865,10.0
124.232,-13.586,5.048,11.0
97.705,-10.697,6.717,15.0
98.506,-10.76,6.233,10.0
86.058,-9.38,4.974,4.0
99.229,-10.792,5.183,60.0
105.414,-11.439,4.931,20.0
107.85,-11.68,4.455,21.0
86.241,-9.35,5.988,11.0
81.491,-8.815,5.211,8.0
100.286,-10.823,5.864,36.0
99.196,-10.682,5.247,49.0
108.184,-11.624,5.131,18.0
107.905,-11.568,4.528,47.0
86.223,-9.255,6.043,12.0
98.007,-10.495,6.33,13.0
85.993,-9.186,5.082,12.0
99.188,-10.57,5.31,44.0
100.175,-10.652,4.813,2.0
107.936,-11.45,4.597,51.0
86.229,-9.158,6.096,7.0
81.552,-8.64,5.318,5.0
99.268,-10.491,5.928,29.0
99.135,-10.451,5.366,52.0
115.391,-12.136,5.614,18.0
107.35,-11.265,4.634,27.0
82.837,-8.703,5.904,6.0
89.417,-9.369,5.882,2.0
86.201,-9.01,5.196,9.0
99.122,-10.335,5.421,37.0
108.283,-11.262,5.328,35.0
107.129,-11.114,4.684,83.0
82.544,-8.574,5.929,18.0
96.269,-9.972,6.385,1.0
86.15,-8.9,5.24,9.0
99.23,-10.226,5.48,20.0
107.163,-11.015,5.329,39.0
106.65,-10.935,4.719,47.0
68.102,-6.99,4.928,4.0
99.272,-10.161,6.636,8.0
86.191,-8.798,5.286,9.0
99.284,-10.108,5.533,59.0
116.073,-11.787,5.83,35.0
106.698,-10.806,4.772,40.0
84.31,-8.548,6.142,3.0
105.034,-10.619,7.071,5.0
99.428,-10.025,6.144,38.0
99.207,-9.975,5.575,45.0
122.204,-12.254,6.194,26.0
106.735,-10.675,4.822,39.0
0.0,0.0,0.0,0.0
84.046,-8.39,5.695,23.0
99.511,-9.905,6.193,14.0
99.15,-9.84,5.614,26.0
106.655,-10.556,5.452,25.0
106.621,-10.524,4.862,20.0
97.538,-9.636,7.189,9.0
109.894,-10.824,7.493,11.0
99.014,-9.724,6.203,24.0
106.895,-10.468,6.094,13.0
107.971,-10.543,5.561,46.0
106.631,-10.382,4.904,9.0
84.607,-8.246,6.268,7.0
81.092,-7.879,5.558,1.0
99.223,-9.611,6.251,16.0
106.925,-10.326,6.135,25.0
115.569,-11.128,5.992,24.0
147.776,-14.187,6.846,18.0
84.655,-8.134,6.301,8.0
98.466,-9.431,6.783,17.0
86.614,-8.27,5.486,8.0
124.085,-11.811,7.16,20.0
115.478,-10.959,6.025,32.0
122.808,-11.619,5.728,27.0
99.895,-9.458,7.466,7.0
98.568,-9.302,6.819,15.0
99.255,-9.338,6.315,12.0
108.033,-10.131,6.265,62.0
106.23,-9.929,5.572,53.0
122.725,-11.436,5.757,14.0
98.9,-9.222,7.418,9.0
98.235,-9.131,6.822,10.0
99.404,-9.21,6.35,10.0
105.49,-9.741,6.143,10.0
122.556,-11.28,6.457,9.0
147.192,-13.504,6.94,19.0
84.743,-7.781,6.376,6.0
84.455,-7.727,5.883,2.0
106.083,-9.674,6.8,25.0
115.28,-10.478,6.737,18.0
108.48,-9.828,5.737,8.0
146.988,-13.272,6.959,8.0
84.755,-7.659,6.392,14.0
98.076,-8.831,6.85,10.0
106.083,-9.519,6.819,6.0
122.187,-10.927,7.161,8.0
108.473,-9.668,5.754,5.0
148.524,-13.193,7.054,4.0
