X,Y,Z,Reflectivity
21.956,-2.283,-0.628,1.0
20.111,-2.089,-0.682,3.0
17.974,-1.865,-0.705,0.0
16.286,-1.689,-0.727,2.0
15.304,-1.585,-0.764,0.0
14.219,-1.472,-0.785,0.0
22.764,-2.354,-0.621,5.0
20.35,-2.102,-0.664,19.0
18.418,-1.9,-0.698,0.0
16.343,-1.685,-0.708,1.0
15.583,-1.605,-0.758,1.0
14.482,-1.49,-0.781,0.0
23.246,-2.389,-0.604,12.0
20.539,-2.108,-0.643,11.0
18.857,-1.933,-0.69,1.0
16.692,-1.709,-0.701,0.0
15.919,-1.628,-0.753,1.0
14.71,-1.503,-0.774,1.0
23.701,-2.42,-0.586,19.0
21.175,-2.159,-0.635,1.0
19.263,-1.961,-0.68,0.0
17.615,-1.792,-0.717,0.0
16.222,-1.648,-0.746,2.0
15.016,-1.524,-0.771,0.0
24.148,-2.448,-0.565,11.0
21.844,-2.211,-0.627,1.0
19.953,-2.017,-0.678,1.0
17.974,-1.814,-0.708,0.0
16.279,-1.641,-0.728,2.0
15.27,-1.538,-0.764,1.0
25.117,-2.527,-0.556,1.0
22.48,-2.258,-0.616,1.0
20.471,-2.053,-0.67,3.0
18.351,-1.838,-0.699,0.0
16.349,-1.635,-0.71,3.0
15.595,-1.558,-0.76,1.0
25.924,-2.587,-0.541,1.0
23.136,-2.305,-0.605,1.0
20.656,-2.055,-0.649,4.0
18.777,-1.865,-0.692,1.0
16.472,-1.634,-0.694,2.0
15.922,-1.577,-0.756,1.0
26.714,-2.643,-0.523,1.0
23.937,-2.364,-0.595,3.0
21.178,-2.088,-0.639,1.0
19.179,-1.888,-0.682,0.0
17.374,-1.708,-0.71,1.0
16.246,-1.594,-0.75,4.0
27.536,-2.7,-0.504,1.0
24.501,-2.398,-0.578,2.0
21.834,-2.133,-0.631,1.0
19.679,-1.919,-0.675,0.0
17.932,-1.746,-0.71,0.0
16.288,-1.583,-0.732,10.0
28.428,-2.76,-0.485,1.0
25.168,-2.439,-0.562,1.0
22.335,-2.161,-0.617,1.0
20.182,-1.949,-0.667,1.0
18.297,-1.763,-0.702,0.0
16.339,-1.572,-0.713,9.0
29.332,-2.819,-0.463,1.0
25.792,-2.474,-0.544,1.0
23.017,-2.203,-0.608,1.0
20.647,-1.972,-0.657,1.0
18.717,-1.785,-0.695,1.0
16.414,-1.562,-0.696,5.0
30.215,-2.873,-0.44,1.0
26.535,-2.518,-0.527,1.0
23.555,-2.23,-0.593,1.0
21.157,-1.999,-0.647,1.0
19.129,-1.804,-0.686,1.0
16.804,-1.581,-0.692,1.0
31.521,-2.964,-0.421,1.0
27.377,-2.569,-0.511,1.0
24.256,-2.271,-0.581,1.0
21.608,-2.018,-0.635,1.0
19.604,-1.827,-0.68,0.0
17.838,-1.659,-0.714,0.0
32.734,-3.042,-0.398,0.0
28.204,-2.615,-0.492,1.0
24.976,-2.31,-0.568,1.0
22.167,-2.046,-0.624,1.0
20.057,-1.847,-0.671,0.0
18.2,-1.672,-0.706,0.0
0.0,0.0,0.0,0.0
29.119,-2.666,-0.473,1.0
25.614,-2.339,-0.552,1.0
22.74,-2.072,-0.613,1.0
20.476,-1.861,-0.661,1.0
18.569,-1.683,-0.698,1.0
36.477,-3.304,-0.356,0.0
30.586,-2.763,-0.461,3.0
26.239,-2.364,-0.535,1.0
23.302,-2.095,-0.601,1.0
20.934,-1.877,-0.652,1.0
18.972,-1.697,-0.692,1.0
38.535,-3.444,-0.332,0.0
31.093,-2.771,-0.433,4.0
26.971,-2.397,-0.519,1.0
23.835,-2.113,-0.588,1.0
21.408,-1.893,-0.642,1.0
19.398,-1.71,-0.685,1.0
40.164,-3.538,-0.3,0.0
32.151,-2.824,-0.411,1.0
27.699,-2.426,-0.501,1.0
24.652,-2.153,-0.58,1.0
21.925,-1.91,-0.632,1.0
19.803,-1.72,-0.676,0.0
41.969,-3.642,-0.267,0.0
33.142,-2.868,-0.387,1.0
28.58,-2.466,-0.486,1.0
25.236,-2.171,-0.566,1.0
22.374,-1.919,-0.621,1.0
20.196,-1.727,-0.668,0.0
0.0,0.0,0.0,0.0
34.918,-2.974,-0.369,1.0
29.299,-2.488,-0.466,1.0
25.761,-2.181,-0.549,1.0
22.908,-1.933,-0.61,1.0
20.617,-1.735,-0.659,0.0
50.319,-4.23,-0.209,0.0
36.919,-3.094,-0.35,0.0
29.979,-2.504,-0.444,1.0
26.257,-2.186,-0.532,1.0
23.408,-1.943,-0.598,1.0
21.066,-1.743,-0.651,1.0
50.412,-4.166,-0.156,2.0
38.366,-3.16,-0.323,0.0
30.948,-2.541,-0.426,1.0
26.885,-2.2,-0.516,1.0
23.938,-1.952,-0.587,1.0
21.463,-1.745,-0.641,1.0
50.464,-4.098,-0.104,6.0
39.897,-3.229,-0.295,0.0
32.263,-2.602,-0.411,1.0
27.671,-2.224,-0.503,1.0
24.63,-1.972,-0.579,1.0
21.908,-1.748,-0.632,1.0
50.593,-4.033,-0.053,1.0
41.743,-3.316,-0.267,0.0
33.337,-2.638,-0.391,1.0
28.367,-2.237,-0.487,1.0
25.161,-1.977,-0.566,1.0
22.379,-1.752,-0.623,1.0
0.0,0.0,0.0,0.0
43.181,-3.364,-0.233,0.0
34.901,-2.709,-0.375,0.0
29.087,-2.249,-0.47,1.0
25.735,-1.982,-0.554,1.0
22.8,-1.749,-0.613,1.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
36.155,-2.748,-0.353,0.0
29.402,-2.226,-0.447,1.0
26.18,-1.974,-0.538,1.0
23.311,-1.751,-0.604,1.0
62.067,-4.657,0.115,0.0
50.437,-3.769,-0.175,1.0
37.656,-2.802,-0.332,0.0
30.308,-2.246,-0.433,1.0
26.694,-1.97,-0.524,2.0
23.703,-1.742,-0.592,1.0
0.0,0.0,0.0,0.0
50.455,-3.688,-0.129,1.0
39.982,-2.91,-0.317,0.0
30.931,-2.242,-0.414,2.0
27.149,-1.959,-0.508,1.0
24.259,-1.743,-0.584,1.0
0.0,0.0,0.0,0.0
50.482,-3.607,-0.085,3.0
40.106,-2.853,-0.282,0.0
32.235,-2.283,-0.403,1.0
27.796,-1.959,-0.496,1.0
24.813,-1.742,-0.576,1.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
33.072,-2.285,-0.385,1.0
28.427,-1.955,-0.483,1.0
25.204,-1.726,-0.564,1.0
0.0,0.0,0.0,0.0
62.034,-4.221,0.0,2.0
44.786,-3.032,-0.24,0.0
34.317,-2.312,-0.371,1.0
29.044,-1.948,-0.47,1.0
25.55,-1.705,-0.551,2.0
0.0,0.0,0.0,0.0
62.172,-4.122,0.049,6.0
0.0,0.0,0.0,0.0
34.87,-2.289,-0.35,0.0
29.521,-1.928,-0.455,1.0
26.055,-1.693,-0.542,1.0
0.0,0.0,0.0,0.0
62.396,-4.026,0.098,4.0
50.365,-3.233,-0.191,0.0
37.57,-2.399,-0.348,1.0
30.016,-1.907,-0.44,1.0
26.526,-1.676,-0.531,2.0
0.0,0.0,0.0,0.0
62.63,-3.929,0.145,1.0
50.43,-3.146,-0.154,3.0
37.723,-2.341,-0.322,0.0
30.699,-1.895,-0.427,1.0
26.863,-1.649,-0.519,2.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
50.461,-3.057,-0.119,8.0
39.762,-2.395,-0.312,0.0
31.28,-1.873,-0.414,1.0
27.3,-1.626,-0.508,2.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
50.513,-2.966,-0.085,4.0
0.0,0.0,0.0,0.0
31.944,-1.854,-0.401,1.0
27.772,-1.602,-0.499,1.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
58.336,-3.315,-0.06,5.0
0.0,0.0,0.0,0.0
32.504,-1.824,-0.387,1.0
28.152,-1.57,-0.488,1.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
59.529,-3.27,-0.025,7.0
0.0,0.0,0.0,0.0
33.117,-1.796,-0.375,1.0
28.375,-1.529,-0.475,2.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
59.536,-3.156,0.009,5.0
0.0,0.0,0.0,0.0
33.915,-1.773,-0.365,0.0
28.841,-1.498,-0.466,8.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
59.822,-3.054,0.041,3.0
0.0,0.0,0.0,0.0
34.693,-1.746,-0.355,0.0
29.09,-1.454,-0.455,8.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
60.013,-2.946,0.072,1.0
50.405,-2.456,-0.217,1.0
0.0,0.0,0.0,0.0
29.353,-1.409,-0.444,8.0
