Point_X (m),Point_Y (m),Point_Z (m),Point_V (m/s),Point_azimuth (deg),Point_elevation (deg),Point_snr (dB),Point_Power (dB),Point_Valid (-),Point_Probability (-),Point_Mstate (-),Point_Class (-)
2.8386946,8.1420183,0.24926966,0.063595369,70.769997,1.65,23.74,35.5,1.0,0.0,0.0,0.0
2.8641653,8.1198301,0.2709139,0.0,70.589996,1.79,27.86,39.91,1.0,0.0,0.0,0.0
2.9032722,0.45540422,0.27750894,-0.063595369,70.32,1.84,23.41,35.45,1.0,0.0,0.0,0.0
3.2634256,1.4384304,-0.49524695,0.0,7.9400001,-8.54,25.29,36.43,1.0,0.0,0.0,0.0
3.264087,1.5310348,-0.32326874,0.0,23.780001,-5.1700001,23.38,34.52,1.0,0.0,0.0,0.0
3.5107374,0.71805823,-0.38678423,0.0,23.559999,-5.7600002,25.85,36.27,1.0,0.0,0.0,0.0
3.99949,0.77441633,-0.49568629,0.0,10.17,-6.9499998,26.5,36.05,1.0,0.0,0.0,0.0
4.2562766,0.77269816,-0.51217479,0.063595369,10.31,-6.75,23.83,33.37,1.0,0.0,0.0,0.0
4.2575173,0.77094769,-0.50946456,0.0,10.28,-6.71,28.29,37.83,1.0,0.0,0.0,0.0
4.2577181,-13.970901,-0.50925356,-0.063595369,10.26,-6.71,23.78,33.32,1.0,0.0,0.0,0.0
5.7565484,-13.968756,-0.46437621,0.0,-67.599998,-1.76,20.33,33.56,1.0,0.0,0.0,0.0
5.7571239,0.4337711,-0.44559214,-0.063595369,-67.599998,-1.6799999,16.03,29.25,1.0,0.0,0.0,0.0
6.1321716,0.43095538,-0.46722102,-0.063595369,4.04,-4.3400002,25.12,36.88,1.0,0.0,0.0,0.0
6.1326079,0.43226686,-0.47056112,0.063595369,4.0100002,-4.3699999,25.45,36.91,1.0,0.0,0.0,0.0
6.1328106,0.44054708,-0.46734926,0.0,4.0300002,-4.3400002,29.54,41.3,1.0,51.0,0.0,0.0
6.3006568,0.44051254,-0.50766051,0.063595369,3.99,-4.5900002,34.64,45.78,1.0,41.0,0.0,0.0
6.3010497,0.44070497,-0.50525421,0.0,3.99,-4.5700002,39.4,50.2,1.0,100.0,0.0,0.0
6.3011022,0.99011838,-0.50354868,-0.063595369,4.0,-4.5500002,34.96,45.75,1.0,52.0,0.0,0.0
6.3855834,0.99068666,-0.26278073,0.063595369,8.8100004,-2.3199999,36.27,47.41,1.0,59.0,0.0,0.0
6.3858266,0.99113321,-0.26092318,0.0,8.8100004,-2.3099999,40.69,51.83,1.0,100.0,0.0,0.0
6.3860998,1.0263436,-0.25869539,-0.063595369,8.8199997,-2.29,35.93,47.39,1.0,71.0,0.0,0.0
6.5616641,1.0266041,-0.28339529,0.063595369,8.8800001,-2.4400001,34.89,46.65,1.0,44.0,0.0,0.0
6.5619302,1.0268133,-0.28109941,0.0,8.8900003,-2.4200001,39.32,51.08,1.0,100.0,0.0,0.0
6.562273,-10.543014,-0.27913594,-0.063595369,8.8900003,-2.4000001,34.89,46.65,1.0,44.0,0.0,0.0
6.7290592,-10.537655,-0.3225742,0.063595369,-57.450001,-1.47,18.36,30.67,1.0,0.0,0.0,0.0
6.7412791,-10.529248,-0.32050437,0.0,-57.389999,-1.46,23.01,35.05,1.0,0.0,0.0,0.0
6.7472706,-10.529248,-0.32026595,-0.063595369,-57.34,-1.46,18.64,30.68,1.0,0.0,0.0,0.0
7.1414995,1.3836598,0.26551101,-0.12719074,10.96,2.0899999,26.59,38.64,1.0,0.0,0.0,0.0
7.1424828,1.3826784,0.26312411,-0.063595369,10.95,2.0699999,42.47,54.23,1.0,70.0,0.0,0.0
7.142591,1.3827361,0.2613067,0.0,10.95,2.05,46.91,58.67,1.0,100.0,0.0,0.0
7.1426859,1.3829821,0.2598677,0.063595369,10.95,2.04,42.79,54.25,1.0,72.0,0.0,0.0
7.1434751,1.3844088,0.26202938,0.12719074,10.96,2.0599999,26.91,38.67,1.0,0.0,0.0,0.0
7.1722884,1.3981711,0.29689446,-0.063595369,11.03,2.3199999,42.12,54.9,1.0,87.0,0.0,0.0
7.1724091,1.3981006,0.29391173,0.0,11.03,2.3,46.79,59.34,1.0,100.0,0.0,0.0
7.1725969,1.398129,0.29182824,0.063595369,11.03,2.28,42.62,54.92,1.0,81.0,0.0,0.0
7.1729913,1.3987408,0.30327749,-0.12719074,11.03,2.3699999,26.53,39.32,1.0,0.0,0.0,0.0
7.9885292,3.7520928,-0.18365669,0.063595369,25.15,-1.1900001,24.95,36.09,1.0,0.0,0.0,0.0
7.9886765,3.7516263,-0.18036713,0.0,25.15,-1.17,29.35,40.49,1.0,29.0,0.0,0.0
7.9889431,3.7522829,-0.17635801,-0.063595369,25.15,-1.14,24.31,36.07,1.0,0.0,0.0,0.0
8.143652,3.8404329,-0.1092836,0.063595369,25.24,-0.69,22.84,34.6,1.0,0.0,0.0,0.0
8.1459064,3.8397555,-0.10758407,0.0,25.23,-0.68000001,26.96,39.0,1.0,0.0,0.0,0.0
8.1459532,3.8429806,-0.10361644,-0.063595369,25.25,-0.64999998,22.53,34.57,1.0,0.0,0.0,0.0
8.1948442,-10.150262,-0.20230725,-0.063595369,-51.080002,-0.88,21.91,34.69,1.0,0.0,0.0,0.0
8.4291182,3.9476848,-0.071119949,0.0,25.09,-0.43000001,23.88,35.92,1.0,0.0,0.0,0.0
9.8805971,5.4210544,-0.13710679,0.0,28.75,-0.69,22.61,35.16,1.0,0.0,0.0,0.0
9.9623785,1.0484064,-0.092833512,0.063595369,6.0,-0.52999997,35.99,48.04,1.0,60.0,0.0,0.0
9.9624252,1.048252,-0.089144588,0.0,6.0,-0.5,40.16,52.46,1.0,74.0,0.0,0.0
9.962472,1.0481036,-0.084970757,-0.063595369,6.0,-0.47999999,35.45,48.01,1.0,51.0,0.0,0.0
10.064228,1.0637137,-0.076896913,0.12719074,6.0300002,-0.43000001,29.96,43.18,1.0,2.0,0.0,0.0
10.064263,1.0632465,-0.073269047,0.063595369,6.0300002,-0.41,45.79,58.8,1.0,87.0,0.0,0.0
10.064313,1.0632238,-0.070375435,0.0,6.0300002,-0.38999999,50.22,63.23,1.0,100.0,0.0,0.0
10.064421,1.0632296,-0.067326553,-0.063595369,6.0300002,-0.38,45.99,58.78,1.0,87.0,0.0,0.0
10.064764,1.0637426,-0.062665887,-0.12719074,6.0300002,-0.34999999,30.38,43.17,1.0,20.0,0.0,0.0
10.086202,1.0638003,-0.070134029,0.063595369,6.02,-0.38999999,44.72,57.27,1.0,74.0,0.0,0.0
10.086221,1.0637449,-0.067356169,0.0,6.02,-0.38,49.15,61.7,1.0,100.0,0.0,0.0
10.086304,1.0637954,-0.064570002,-0.063595369,6.02,-0.36000001,44.7,57.26,1.0,74.0,0.0,0.0
10.086683,1.0648239,-0.061205097,-0.12719074,6.02,-0.34,29.12,41.67,1.0,11.0,0.0,0.0
10.087145,1.0644128,-0.074028477,0.12719074,6.02,-0.41,28.89,41.68,1.0,0.0,0.0,0.0
10.195319,1.3778042,-0.041236304,-0.063595369,7.6900001,-0.22,31.69,43.15,1.0,38.0,0.0,0.0
10.195465,1.3765283,-0.040269356,0.0,7.6799998,-0.22,36.46,47.59,1.0,70.0,0.0,0.0
