Point_X (m),Point_Y (m),Point_Z (m),Point_V (m/s),Point_azimuth (deg),Point_elevation (deg),Point_snr (dB),Point_Power (dB),Point_Valid (-),Point_Probability (-),Point_Mstate (-),Point_Class (-)
79.625816,-2.0033033,1.1157165,0.12719074,-1.4400001,0.80000001,26.15,43.14,1.0,0.0,0.0,0.0
79.625854,-1.9943662,1.1116496,0.063595369,-1.4299999,0.79000002,41.84,58.74,1.0,72.0,0.0,0.0
79.625992,-2.0241854,1.5125805,0.91822267,-1.45,1.08,13.14,26.76,1.0,0.0,0.0,0.0
79.63369,31.896761,3.8973141,0.063595369,21.82,2.5999999,27.09,43.91,1.0,0.0,0.0,0.0
79.652771,-1.9466717,1.4131234,0.95393056,-1.4,1.01,8.8,26.8,1.0,0.0,0.0,0.0
79.65876,32.216667,4.6594625,0.0,22.02,3.0999999,36.45,53.26,1.0,100.0,0.0,0.0
79.687248,33.033047,3.491292,0.063595369,22.51,2.3099999,16.88,33.7,1.0,0.0,0.0,0.0
79.707123,33.001915,3.3010249,0.0,22.49,2.1900001,21.14,37.95,1.0,0.0,0.0,0.0
79.70961,-1.8942233,1.661057,0.22955567,-1.36,1.1900001,38.99,56.06,1.0,55.0,0.0,0.0
79.709732,-1.8993145,1.6621089,0.0,-1.36,1.1900001,43.33,60.41,1.0,100.0,0.0,0.0
79.710114,-1.9028604,1.6652081,-0.22955567,-1.36,1.1900001,38.87,56.03,1.0,74.0,0.0,0.0
79.710655,-1.8779529,1.6618496,0.45911133,-1.34,1.1900001,23.61,40.77,1.0,0.0,0.0,0.0
79.715591,-1.9036462,1.6777061,-0.45911133,-1.36,1.2,23.81,40.8,1.0,34.0,0.0,0.0
79.721275,32.973106,3.2573216,-0.063595369,22.469999,2.1600001,16.74,33.46,1.0,0.0,0.0,0.0
79.737885,20.877029,1.8520122,-0.063595369,14.67,1.28,21.77,38.93,1.0,0.0,0.0,0.0
79.747078,30.24157,4.4019284,-0.063595369,20.76,2.95,29.56,45.79,1.0,0.0,0.0,0.0
79.752846,30.230175,4.3780489,0.0,20.75,2.9300001,33.69,50.23,1.0,39.0,0.0,0.0
79.757446,30.218121,4.3715796,0.063595369,20.75,2.9300001,29.2,45.83,1.0,0.0,0.0,0.0
79.75885,20.821394,1.7624897,0.063595369,14.63,1.22,21.82,39.06,1.0,0.0,0.0,0.0
79.760353,29.089376,3.951328,0.063595369,20.030001,2.6600001,17.92,34.45,1.0,0.0,0.0,0.0
79.770363,29.073538,3.8983209,0.0,20.02,2.6199999,22.26,38.79,1.0,0.0,0.0,0.0
79.773735,29.062004,3.9051912,-0.063595369,20.01,2.6300001,17.68,34.3,1.0,0.0,0.0,0.0
79.783607,-2.0165696,1.657559,0.0,-1.4400001,1.1799999,25.13,42.98,1.0,0.0,0.0,0.0
79.78495,-1.9834486,1.635466,-0.063595369,-1.42,1.17,20.67,38.52,1.0,0.0,0.0,0.0
79.787895,-1.997944,1.7948114,0.91822267,-1.4299999,1.28,10.6,24.03,1.0,0.0,0.0,0.0
79.889374,38.460052,4.4994464,0.063595369,25.700001,2.9000001,24.2,40.54,1.0,13.0,0.0,0.0
79.922272,34.034462,2.9207587,0.063595369,23.059999,1.92,18.54,35.44,1.0,0.0,0.0,0.0
79.940392,33.995136,2.9285762,0.0,23.030001,1.9299999,23.01,39.82,1.0,0.0,0.0,0.0
79.951569,33.962276,3.01565,-0.063595369,23.01,1.98,18.63,35.44,1.0,0.0,0.0,0.0
79.964272,35.077709,5.4622235,0.0,23.68,3.5699999,22.97,39.2,1.0,0.0,0.0,0.0
79.966614,35.045433,5.6438856,-0.063595369,23.66,3.6900001,18.52,34.85,1.0,0.0,0.0,0.0
79.975464,30.011574,4.2438617,-0.063595369,20.559999,2.8399999,29.43,45.34,1.0,0.0,0.0,0.0
79.975929,30.013063,4.2085915,0.063595369,20.559999,2.8199999,29.23,45.36,1.0,0.0,0.0,0.0
79.977989,30.008427,4.2183976,0.0,20.559999,2.8199999,33.64,49.77,1.0,54.0,0.0,0.0
80.002403,37.616222,4.911406,-0.063595369,25.18,3.1700001,16.74,32.54,1.0,0.0,0.0,0.0
80.01284,35.116009,4.3743281,0.063595369,23.690001,2.8599999,18.58,34.81,1.0,0.0,0.0,0.0
80.017731,37.583385,4.9442773,0.0,25.15,3.2,21.24,36.92,1.0,0.0,0.0,0.0
80.025238,37.577396,4.8705568,0.063595369,25.15,3.1500001,17.08,32.65,1.0,0.0,0.0,0.0
80.029068,29.077662,4.3195972,0.063595369,19.959999,2.9000001,21.72,38.53,1.0,0.0,0.0,0.0
