X,Y,Z,Reflectivity
20.019,-1.017,0.228,18.0
19.99,-1.022,0.119,18.0
19.986,-1.03,0.01,21.0
19.984,-1.036,-0.1,25.0
20.019,-1.046,-0.209,17.0
20.083,-1.056,-0.319,0.0
20.007,-1.055,0.235,29.0
19.982,-1.061,0.126,24.0
19.98,-1.068,0.017,25.0
20.013,-1.077,-0.092,21.0
42.491,-2.303,-0.428,0.0
35.008,-1.91,-0.543,0.0
20.001,-1.094,0.243,25.0
20.001,-1.102,0.135,26.0
20.001,-1.109,0.026,19.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
19.978,-1.132,0.252,25.0
20.128,-1.148,0.144,8.0
20.002,-1.148,0.035,0.0
20.001,-1.155,-0.075,3.0
20.013,-1.163,-0.183,150.0
19.993,-1.169,-0.292,74.0
19.946,-1.169,0.261,23.0
19.999,-1.179,0.153,150.0
19.989,-1.186,0.045,150.0
19.989,-1.192,-0.065,151.0
19.972,-1.198,-0.173,151.0
19.982,-1.206,-0.282,150.0
19.949,-1.207,0.271,26.0
19.99,-1.216,0.163,151.0
20.003,-1.224,0.055,23.0
20.01,-1.231,-0.054,23.0
20.034,-1.24,-0.163,26.0
20.077,-1.25,-0.272,20.0
19.955,-1.245,0.282,28.0
19.99,-1.254,0.174,26.0
19.984,-1.26,0.066,24.0
19.987,-1.267,-0.043,23.0
20.0,-1.275,-0.152,30.0
20.024,-1.284,-0.26,29.0
19.963,-1.282,0.294,28.0
19.968,-1.289,0.185,27.0
19.983,-1.297,0.078,22.0
19.969,-1.303,-0.032,16.0
19.997,-1.312,-0.14,28.0
20.014,-1.32,-0.248,27.0
19.953,-1.318,0.306,14.0
19.99,-1.327,0.198,19.0
19.994,-1.334,0.09,17.0
19.985,-1.34,-0.019,9.0
19.997,-1.348,-0.127,19.0
20.032,-1.358,-0.236,17.0
119.416,-8.108,1.907,53.0
119.302,-8.139,1.26,16.0
95.464,-6.544,0.492,3.0
20.036,-1.38,-0.006,1.0
