X,Y,Z,Reflectivity
41.162,1.004,2.769,5.0
72.045,1.773,4.464,14.0
78.822,1.957,4.466,15.0
78.856,1.976,4.042,8.0
78.876,1.993,3.626,17.0
78.857,2.009,3.206,22.0
41.191,1.058,2.834,19.0
70.802,1.834,4.495,14.0
78.71,2.056,4.579,19.0
78.784,2.075,4.157,31.0
78.794,2.093,3.739,36.0
78.815,2.11,3.322,34.0
41.017,1.107,2.882,21.0
70.836,1.927,4.601,8.0
72.105,1.978,4.3,34.0
78.826,2.179,4.274,19.0
78.843,2.197,3.855,25.0
78.869,2.215,3.438,21.0
40.919,1.158,2.935,22.0
65.365,1.865,4.341,25.0
70.891,2.039,4.329,11.0
72.848,2.111,4.053,8.0
79.54,2.323,4.003,7.0
65.537,1.928,2.949,5.0
41.109,1.219,3.007,6.0
65.383,1.953,4.433,6.0
65.517,1.972,4.093,2.0
72.136,2.187,4.113,23.0
72.763,2.222,3.761,8.0
65.437,2.013,3.034,4.0
66.608,2.065,4.964,15.0
78.122,2.439,5.403,9.0
65.536,2.061,4.182,29.0
72.066,2.283,4.206,11.0
72.489,2.313,3.844,10.0
72.512,2.331,3.459,24.0
40.89,1.324,3.102,29.0
66.569,2.17,4.692,26.0
79.831,2.621,5.2,6.0
71.411,2.361,4.262,9.0
72.228,2.404,3.924,25.0
72.327,2.424,3.543,25.0
40.733,1.375,3.143,45.0
40.776,1.386,2.927,18.0
66.531,2.277,4.419,26.0
65.687,2.262,4.004,17.0
72.18,2.503,4.012,21.0
72.261,2.522,3.63,27.0
40.581,1.427,3.182,42.0
40.745,1.442,2.975,37.0
45.27,1.612,3.062,12.0
65.748,2.357,4.088,11.0
66.364,2.394,3.77,23.0
66.333,2.409,3.413,25.0
40.507,1.482,3.226,41.0
40.646,1.496,3.017,41.0
40.899,1.514,2.816,39.0
44.907,1.673,2.846,15.0
65.85,2.47,3.82,36.0
0.0,0.0,0.0,0.0
40.517,1.54,3.275,38.0
40.702,1.556,3.07,26.0
40.761,1.568,2.854,43.0
44.909,1.738,2.898,44.0
64.983,2.53,3.844,32.0
72.765,2.85,3.912,9.0
40.402,1.594,3.312,39.0
40.524,1.609,3.103,46.0
40.854,1.631,2.907,38.0
45.025,1.808,2.956,6.0
44.8,1.809,2.7,32.0
65.824,2.674,3.612,39.0
40.385,1.652,3.355,39.0
40.41,1.662,3.138,43.0
40.721,1.685,2.942,34.0
41.093,1.71,2.742,20.0
44.8,1.875,2.747,10.0
65.823,2.77,3.682,33.0
40.496,1.716,3.408,36.0
40.359,1.72,3.177,39.0
40.585,1.739,2.974,42.0
41.181,1.774,2.791,44.0
41.235,1.786,2.572,32.0
52.94,2.306,3.015,4.0
40.774,1.789,3.473,35.0
40.367,1.78,3.218,37.0
40.429,1.792,3.004,52.0
40.962,1.825,2.817,16.0
41.067,1.84,2.602,39.0
59.495,2.68,3.447,9.0
40.679,1.845,3.505,25.0
40.331,1.839,3.255,40.0
40.386,1.85,3.04,41.0
40.773,1.878,2.843,41.0
41.014,1.899,2.637,40.0
42.0,1.954,2.473,24.0
40.354,1.892,3.515,36.0
40.657,1.915,3.32,19.0
40.324,1.909,3.073,47.0
40.789,1.94,2.882,40.0
40.985,1.959,2.673,40.0
41.034,1.971,2.453,34.0
40.329,1.95,3.549,41.0
40.511,1.969,3.344,35.0
40.448,1.975,3.118,38.0
40.675,1.995,2.909,41.0
40.887,2.015,2.701,44.0
41.071,2.033,2.49,39.0
40.347,2.012,3.586,42.0
40.436,2.026,3.372,37.0
40.422,2.035,3.15,29.0
40.646,2.055,2.941,43.0
40.793,2.072,2.729,44.0
