X,Y,Z,Reflectivity
66.288,7.771,3.85,12.0
66.291,7.776,3.47,48.0
66.288,7.78,3.09,60.0
66.3,7.787,2.705,66.0
66.295,7.792,2.326,67.0
66.301,7.798,1.948,62.0
66.272,7.82,3.789,28.0
66.293,7.827,3.409,62.0
66.3,7.832,3.03,57.0
66.297,7.836,2.645,45.0
66.326,7.845,2.267,39.0
66.35,7.853,1.889,24.0
66.296,7.871,3.728,25.0
66.313,7.877,3.349,35.0
66.388,7.89,2.973,23.0
66.459,7.903,2.589,21.0
66.473,7.91,2.209,16.0
66.413,7.908,1.827,13.0
54.56,6.515,3.016,14.0
66.433,7.936,3.292,16.0
66.346,7.93,2.908,16.0
66.289,7.927,2.519,17.0
66.214,7.923,2.137,15.0
66.132,7.918,1.757,16.0
66.25,7.954,3.598,15.0
66.17,7.948,3.214,14.0
66.127,7.946,2.833,14.0
66.061,7.942,2.445,16.0
65.992,7.937,2.066,16.0
65.911,7.932,1.686,16.0
66.043,7.969,3.521,12.0
65.955,7.961,3.138,13.0
65.878,7.955,2.757,14.0
65.802,7.949,2.37,15.0
65.756,7.947,1.992,14.0
65.699,7.945,1.614,14.0
65.82,7.979,3.443,15.0
65.721,7.97,3.061,13.0
65.685,7.968,2.682,14.0
65.611,7.962,2.297,17.0
65.527,7.955,1.919,15.0
65.472,7.952,1.542,16.0
65.613,7.988,3.364,14.0
65.549,7.982,2.985,10.0
65.473,7.975,2.606,16.0
65.386,7.967,2.222,14.0
65.339,7.965,1.846,16.0
65.281,7.961,1.471,14.0
65.421,7.996,3.286,13.0
65.361,7.99,2.909,9.0
65.295,7.984,2.531,14.0
65.223,7.977,2.148,16.0
65.166,7.973,1.772,16.0
65.094,7.967,1.398,16.0
65.237,8.001,3.208,13.0
65.152,7.992,2.83,11.0
65.106,7.988,2.455,16.0
65.063,7.985,2.073,15.0
65.008,7.98,1.698,16.0
64.952,7.976,1.325,16.0
65.078,8.007,3.13,14.0
65.034,8.002,2.755,14.0
65.004,8.0,2.38,17.0
64.925,7.992,1.998,16.0
64.862,7.986,1.624,17.0
64.81,7.982,1.252,15.0
64.966,8.015,3.054,13.0
64.913,8.009,2.678,16.0
64.851,8.002,2.304,15.0
64.786,7.996,1.924,17.0
64.745,7.992,1.551,15.0
64.704,7.99,1.179,17.0
64.834,8.018,2.976,11.0
64.819,8.016,2.604,14.0
64.736,8.007,2.228,11.0
64.672,8.0,1.849,18.0
64.641,7.997,1.477,16.0
64.595,7.993,1.105,18.0
64.731,8.021,2.9,10.0
64.694,8.017,2.526,13.0
64.638,8.01,2.153,12.0
64.596,8.005,1.774,19.0
64.548,8.0,1.403,17.0
64.503,7.996,1.032,17.0
64.644,8.024,2.823,11.0
64.598,8.018,2.449,12.0
64.556,8.012,2.077,16.0
64.512,8.007,1.699,18.0
64.475,8.003,1.329,19.0
64.442,8.0,0.959,19.0
64.597,8.028,2.747,12.0
64.527,8.018,2.374,12.0
64.523,8.018,2.003,15.0
64.476,8.012,1.624,20.0
64.42,8.005,1.254,18.0
64.394,8.002,0.884,17.0
64.535,8.027,2.67,14.0
64.498,8.022,2.298,13.0
64.473,8.018,1.927,17.0
64.417,8.01,1.549,20.0
64.39,8.007,1.18,17.0
64.365,8.004,0.81,18.0
64.507,8.028,2.595,15.0
64.459,8.021,2.223,15.0
64.45,8.018,1.853,18.0
64.401,8.012,1.474,20.0
64.379,8.008,1.105,17.0
64.339,8.003,0.736,17.0
64.493,8.028,2.52,12.0
64.471,8.023,2.148,18.0
64.444,8.018,1.778,18.0
64.413,8.013,1.401,20.0
64.39,8.01,1.031,17.0
64.337,8.003,0.662,17.0
64.496,8.026,2.445,13.0
64.466,8.02,2.074,17.0
64.462,8.018,1.705,19.0
64.43,8.013,1.327,19.0
64.39,8.006,0.957,18.0
64.36,8.002,0.587,17.0
64.512,8.023,2.372,11.0
64.497,8.019,2.0,16.0
64.473,8.014,1.63,20.0
64.435,8.007,1.252,19.0
64.412,8.003,0.882,20.0
64.405,8.001,0.513,18.0
64.547,8.02,2.297,11.0
64.542,8.016,1.926,14.0
64.502,8.009,1.555,18.0
64.49,8.005,1.178,17.0
64.464,8.0,0.808,20.0
64.458,7.998,0.438,20.0
64.589,8.014,2.224,10.0
64.599,8.012,1.853,15.0
64.572,8.006,1.482,17.0
64.537,7.999,1.105,17.0
64.533,7.997,0.735,17.0
64.493,7.99,0.364,19.0
64.699,8.014,2.152,12.0
64.674,8.007,1.781,17.0
64.64,8.0,1.408,17.0
64.601,7.992,1.031,17.0
64.599,7.99,0.66,18.0
64.589,7.986,0.29,18.0
64.791,8.008,2.08,15.0
64.761,8.001,1.708,16.0
64.76,7.997,1.336,17.0
64.701,7.987,0.956,18.0
64.692,7.983,0.586,16.0
64.699,7.981,0.215,14.0
64.899,8.002,2.007,15.0
64.865,7.993,1.634,15.0
64.864,7.989,1.262,17.0
64.837,7.982,0.884,16.0
64.809,7.976,0.512,17.0
64.783,7.97,0.14,10.0
65.004,7.991,1.934,16.0
65.002,7.987,1.562,14.0
64.973,7.979,1.188,16.0
64.981,7.976,0.81,17.0
64.963,7.97,0.438,17.0
64.93,7.964,0.065,10.0
65.173,7.986,1.865,16.0
65.14,7.977,1.491,16.0
65.116,7.97,1.116,14.0
65.123,7.967,0.737,18.0
65.122,7.963,0.364,19.0
65.091,7.956,-0.008,11.0
65.325,7.976,1.794,15.0
65.322,7.97,1.42,14.0
65.304,7.963,1.044,15.0
65.28,7.956,0.664,16.0
65.281,7.952,0.29,20.0
65.24,7.943,-0.083,6.0
65.483,7.963,1.723,15.0
65.502,7.96,1.348,16.0
65.483,7.953,0.973,17.0
65.482,7.948,0.591,17.0
65.486,7.944,0.216,18.0
45.682,5.538,-0.11,2.0
65.691,7.953,1.654,16.0
65.693,7.948,1.277,16.0
65.671,7.939,0.901,14.0
65.697,7.937,0.518,17.0
65.696,7.932,0.142,8.0
45.475,5.488,-0.161,11.0
65.925,7.943,1.584,16.0
65.916,7.935,1.206,15.0
65.929,7.931,0.829,15.0
65.935,7.926,0.445,17.0
65.901,7.917,0.067,7.0
45.381,5.448,-0.212,4.0
66.141,7.928,1.515,16.0
66.16,7.923,1.137,17.0
66.15,7.916,0.758,15.0
66.168,7.912,0.372,16.0
66.162,7.906,-0.005,10.0
40.815,4.874,-0.236,16.0
66.372,7.911,1.446,16.0
66.399,7.907,1.066,15.0
66.428,7.903,0.687,14.0
66.418,7.896,0.3,12.0
66.422,7.891,-0.078,7.0
40.345,4.789,-0.278,16.0
66.392,7.866,1.373,24.0
66.384,7.857,0.993,27.0
66.423,7.855,0.615,25.0
66.405,7.846,0.228,21.0
66.338,7.832,-0.151,7.0
39.796,4.695,-0.318,36.0
66.319,7.806,1.299,111.0
66.32,7.799,0.919,91.0
66.326,7.792,0.541,60.0
66.34,7.787,0.156,52.0
45.511,5.338,-0.153,14.0
39.416,4.619,-0.358,29.0
66.328,7.754,1.228,100.0
66.344,7.749,0.849,52.0
66.349,7.741,0.47,58.0
66.34,7.733,0.085,60.0
42.815,4.986,-0.189,14.0
39.065,4.546,-0.396,14.0
66.573,7.727,1.162,13.0
66.756,7.74,0.784,12.0
66.541,7.707,0.401,9.0
66.668,7.714,0.015,7.0
0.0,0.0,0.0,0.0
38.722,4.472,-0.433,10.0
81.258,9.359,1.333,9.0
81.258,9.349,0.869,9.0
81.273,9.34,0.405,10.0
67.207,7.716,-0.054,5.0
40.508,4.646,-0.263,15.0
38.699,4.434,-0.473,8.0
81.654,9.329,1.255,11.0
81.65,9.318,0.789,10.0
0.0,0.0,0.0,0.0
67.037,7.633,-0.122,10.0
40.101,4.561,-0.301,24.0
38.728,4.401,-0.512,8.0
81.976,9.287,1.177,11.0
81.985,9.276,0.71,11.0
80.571,9.105,0.238,12.0
45.638,5.152,-0.129,3.0
39.478,4.451,-0.337,30.0
38.731,4.362,-0.551,7.0
82.401,9.252,1.101,11.0
82.386,9.238,0.631,11.0
80.846,9.054,0.159,15.0
45.453,5.084,-0.174,6.0
39.248,4.384,-0.374,14.0
38.812,4.331,-0.591,0.0
82.841,9.213,1.025,11.0
80.795,8.974,0.539,10.0
80.966,8.981,0.079,10.0
42.686,4.729,-0.205,17.0
38.955,4.31,-0.409,12.0
32.851,3.63,-0.532,0.0
83.287,9.172,0.95,9.0
79.956,8.792,0.457,8.0
80.93,8.887,0.002,8.0
40.75,4.469,-0.234,16.0
38.861,4.256,-0.445,8.0
31.932,3.492,-0.547,1.0
83.774,9.129,0.876,5.0
83.774,9.116,0.399,5.0
70.175,7.625,-0.064,4.0
40.354,4.378,-0.27,16.0
38.895,4.215,-0.482,8.0
31.901,3.452,-0.576,2.0
84.253,9.084,0.805,14.0
84.265,9.071,0.325,12.0
52.062,5.596,-0.094,3.0
39.966,4.289,-0.304,22.0
38.926,4.172,-0.517,7.0
30.864,3.303,-0.586,1.0
84.161,8.971,0.727,150.0
84.168,8.957,0.248,49.0
45.64,4.849,-0.124,4.0
39.554,4.196,-0.336,21.0
38.993,4.13,-0.553,2.0
29.952,3.168,-0.595,1.0
84.235,8.872,0.653,15.0
84.264,8.861,0.175,14.0
45.516,4.778,-0.163,3.0
39.341,4.123,-0.368,15.0
39.064,4.088,-0.587,0.0
29.122,3.043,-0.603,0.0
85.867,8.935,0.593,11.0
80.72,8.385,0.1,4.0
43.346,4.495,-0.192,17.0
39.139,4.052,-0.399,9.0
33.297,3.442,-0.528,1.0
28.623,2.954,-0.616,0.0
86.434,8.88,0.527,11.0
86.416,8.863,0.036,4.0
0.0,0.0,0.0,0.0
39.123,3.998,-0.43,8.0
33.463,3.414,-0.558,1.0
27.777,2.829,-0.62,0.0
87.026,8.823,0.46,9.0
45.909,4.645,-0.016,2.0
0.0,0.0,0.0,0.0
39.17,3.949,-0.462,8.0
31.361,3.156,-0.547,0.0
27.158,2.728,-0.628,0.0
87.631,8.763,0.395,11.0
45.68,4.559,-0.051,8.0
40.413,4.025,-0.274,16.0
39.211,3.898,-0.492,7.0
31.125,3.088,-0.567,0.0
26.863,2.661,-0.641,0.0
88.357,8.709,0.333,11.0
45.592,4.484,-0.086,19.0
40.101,3.937,-0.302,15.0
39.262,3.847,-0.521,4.0
30.768,3.009,-0.583,0.0
26.185,2.556,-0.644,0.0
88.96,8.638,0.271,9.0
44.773,4.338,-0.116,20.0
39.915,3.86,-0.329,15.0
39.285,3.791,-0.549,0.0
30.343,2.922,-0.596,0.0
25.877,2.487,-0.654,0.0
88.596,8.472,0.209,12.0
44.395,4.235,-0.145,20.0
39.723,3.782,-0.354,15.0
34.946,3.32,-0.513,1.0
29.66,2.812,-0.602,0.0
25.496,2.411,-0.662,0.0
73.455,6.911,0.124,4.0
43.903,4.121,-0.173,18.0
39.555,3.705,-0.378,8.0
35.289,3.298,-0.54,2.0
28.872,2.693,-0.605,0.0
25.001,2.326,-0.665,0.0
45.628,4.223,0.048,1.0
43.395,4.006,-0.198,18.0
39.576,3.645,-0.403,7.0
32.986,3.032,-0.525,0.0
28.533,2.616,-0.615,0.0
24.68,2.258,-0.671,0.0
