X,Y,Z,Reflectivity
44.72,2.548,5.625,11.0
41.651,2.38,5.002,16.0
41.785,2.394,4.78,42.0
40.871,2.348,4.44,36.0
58.88,3.392,6.063,7.0
45.034,2.601,4.383,19.0
44.733,2.602,5.62,6.0
41.527,2.422,4.98,37.0
41.801,2.444,4.775,34.0
40.882,2.396,4.434,26.0
58.854,3.458,6.049,5.0
44.961,2.648,4.367,19.0
44.787,2.657,5.617,9.0
41.539,2.47,4.973,37.0
41.86,2.495,4.773,37.0
40.964,2.447,4.434,20.0
40.836,2.446,4.188,4.0
44.694,2.684,4.331,41.0
44.834,2.711,5.612,9.0
41.724,2.529,4.984,36.0
41.646,2.53,4.738,41.0
46.649,2.84,5.037,7.0
52.394,3.198,5.359,3.0
45.132,2.761,4.361,19.0
44.855,2.763,5.602,22.0
41.749,2.577,4.975,21.0
52.243,3.232,5.927,8.0
52.273,3.241,5.628,14.0
52.288,3.25,5.332,29.0
52.328,3.259,5.039,6.0
41.472,2.601,5.166,29.0
41.741,2.623,4.96,37.0
52.182,3.286,5.903,16.0
52.242,3.296,5.606,15.0
52.285,3.306,5.313,21.0
52.316,3.315,5.019,8.0
41.691,2.66,5.177,29.0
41.524,2.655,4.918,37.0
46.797,2.997,5.275,4.0
52.261,3.353,5.588,13.0
52.321,3.364,5.296,18.0
45.645,2.941,4.361,12.0
41.547,2.695,5.142,43.0
41.566,2.701,4.906,37.0
46.767,3.045,5.252,5.0
46.602,3.04,4.963,15.0
42.935,2.806,4.327,17.0
45.546,2.982,4.331,13.0
41.806,2.755,5.155,36.0
41.505,2.74,4.88,41.0
62.454,4.131,6.985,10.0
46.569,3.086,4.937,8.0
42.216,2.803,4.234,41.0
45.154,3.003,4.272,7.0
41.559,2.782,5.104,20.0
41.648,2.792,4.875,29.0
62.419,4.192,6.949,16.0
46.53,3.131,4.909,11.0
42.196,2.844,4.21,24.0
42.002,2.836,3.952,12.0
41.464,2.818,5.069,31.0
41.541,2.827,4.84,42.0
42.004,2.863,4.653,6.0
46.478,3.173,4.878,11.0
41.99,2.871,4.166,34.0
42.051,2.88,3.933,24.0
41.482,2.859,5.048,33.0
