X,Y,Z,Reflectivity
112.06,-1.444,4.665,18.0
190.547,-2.475,6.95,21.0
209.679,-2.744,6.567,10.0
113.191,-1.491,2.949,8.0
210.533,-2.793,4.402,8.0
204.266,-2.729,3.217,11.0
81.371,-1.099,3.553,4.0
106.518,-1.448,4.1,11.0
210.714,-2.884,7.025,11.0
112.907,-1.554,3.168,6.0
206.396,-2.859,4.727,17.0
194.639,-2.712,3.454,8.0
81.282,-1.145,3.711,14.0
112.155,-1.588,4.541,19.0
190.637,-2.716,6.736,19.0
209.933,-3.006,6.311,6.0
113.139,-1.628,2.817,7.0
194.789,-2.819,3.846,5.0
81.181,-1.187,3.869,19.0
96.421,-1.417,4.097,9.0
106.46,-1.572,3.975,10.0
209.676,-3.112,6.727,6.0
112.724,-1.68,3.034,13.0
205.974,-3.084,4.481,15.0
81.793,-1.237,4.064,17.0
95.757,-1.454,4.263,18.0
106.453,-1.624,4.189,17.0
112.721,-1.726,3.842,13.0
112.958,-1.736,3.266,2.0
0.0,0.0,0.0,0.0
81.7,-1.273,4.223,25.0
81.18,-1.27,3.777,27.0
106.515,-1.672,4.405,15.0
112.761,-1.777,4.071,11.0
112.854,-1.784,3.49,5.0
112.623,-1.786,2.904,18.0
81.676,-1.308,4.388,15.0
81.125,-1.303,3.938,26.0
95.41,-1.537,4.139,18.0
106.358,-1.718,4.054,18.0
112.841,-1.829,3.721,9.0
112.742,-1.832,3.133,14.0
61.126,-1.002,3.407,19.0
81.832,-1.345,4.139,15.0
81.601,-1.344,3.704,10.0
106.609,-1.761,4.279,8.0
112.776,-1.868,3.944,22.0
113.209,-1.879,3.375,8.0
61.147,-1.024,3.532,24.0
81.687,-1.371,4.296,31.0
85.419,-1.436,4.05,8.0
95.62,-1.61,4.03,12.0
112.724,-1.902,4.17,11.0
112.767,-1.907,3.589,14.0
61.094,-1.042,3.653,15.0
73.651,-1.258,4.022,9.0
81.89,-1.401,4.047,24.0
95.291,-1.632,4.207,8.0
106.667,-1.83,4.159,9.0
112.724,-1.937,3.813,24.0
60.994,-1.056,3.768,12.0
61.138,-1.06,3.46,29.0
81.791,-1.42,4.205,15.0
81.789,-1.421,3.774,13.0
112.515,-1.957,4.61,9.0
112.789,-1.963,4.037,18.0
50.259,-0.882,3.205,29.0
61.104,-1.073,3.58,23.0
81.575,-1.433,4.357,13.0
81.414,-1.432,3.918,11.0
95.992,-1.689,4.123,12.0
106.658,-1.877,4.03,11.0
0.0,0.0,0.0,0.0
60.869,-1.08,3.688,27.0
73.225,-1.3,4.057,19.0
81.957,-1.455,4.108,14.0
81.699,-1.451,3.673,20.0
106.69,-1.895,4.246,21.0
50.251,-0.9,3.407,4.0
50.271,-0.899,3.146,20.0
61.176,-1.095,3.511,22.0
81.756,-1.463,4.261,26.0
81.694,-1.461,3.836,15.0
106.619,-1.906,4.453,9.0
48.556,-0.875,3.388,28.0
0.0,0.0,0.0,0.0
60.978,-1.097,3.62,10.0
0.0,0.0,0.0,0.0
81.361,-1.462,3.979,12.0
81.651,-1.466,3.571,9.0
48.672,-0.881,3.492,5.0
48.622,-0.879,3.236,18.0
0.0,0.0,0.0,0.0
61.192,-1.103,3.431,23.0
81.916,-1.476,4.168,22.0
81.655,-1.47,3.731,31.0
0.0,0.0,0.0,0.0
48.5,-0.878,3.322,28.0
50.299,-0.909,3.183,25.0
61.177,-1.104,3.548,18.0
81.632,-1.471,4.312,12.0
81.402,-1.465,3.877,12.0
43.047,-0.78,3.257,22.0
48.615,-0.88,3.425,21.0
0.0,0.0,0.0,0.0
60.894,-1.098,3.651,9.0
73.365,-1.32,4.018,15.0
81.825,-1.47,4.056,13.0
42.925,-0.777,3.332,44.0
45.276,-0.818,3.278,24.0
48.544,-0.874,3.262,19.0
50.284,-0.904,3.112,13.0
61.169,-1.097,3.468,21.0
81.773,-1.463,4.21,22.0
42.843,-0.772,3.408,40.0
43.308,-0.778,3.219,18.0
48.541,-0.87,3.354,22.0
0.0,0.0,0.0,0.0
61.035,-1.088,3.575,24.0
81.515,-1.449,4.351,10.0
42.782,-0.766,3.484,43.0
42.925,-0.766,3.271,45.0
48.594,-0.865,3.45,29.0
48.593,-0.862,3.191,22.0
60.897,-1.077,3.682,29.0
73.215,-1.291,4.045,15.0
42.883,-0.762,3.573,43.0
42.853,-0.758,3.346,44.0
46.186,-0.814,3.366,4.0
0.0,0.0,0.0,0.0
50.315,-0.881,3.136,21.0
61.135,-1.066,3.492,26.0
42.786,-0.752,3.646,45.0
42.772,-0.749,3.42,41.0
43.429,-0.757,3.246,31.0
48.529,-0.843,3.368,30.0
0.0,0.0,0.0,0.0
61.089,-1.053,3.603,19.0
42.127,-0.731,3.668,53.0
42.718,-0.738,3.495,46.0
43.017,-0.74,3.295,49.0
48.601,-0.832,3.463,18.0
48.639,-0.829,3.211,30.0
60.968,-1.035,3.707,7.0
42.035,-0.718,3.737,41.0
42.894,-0.73,3.588,39.0
42.758,-0.724,3.353,45.0
43.278,-0.729,3.162,31.0
48.476,-0.812,3.288,28.0
50.284,-0.838,3.149,25.0
42.017,-0.706,3.813,41.0
42.363,-0.708,3.621,54.0
42.723,-0.71,3.428,49.0
43.01,-0.711,3.221,39.0
48.499,-0.797,3.378,32.0
0.0,0.0,0.0,0.0
42.104,-0.693,3.897,36.0
42.033,-0.688,3.669,42.0
42.799,-0.696,3.51,39.0
42.915,-0.694,3.29,28.0
48.61,-0.782,3.471,17.0
48.545,-0.776,3.212,35.0
42.135,-0.678,3.974,18.0
41.964,-0.671,3.736,44.0
42.745,-0.68,3.58,37.0
42.709,-0.675,3.348,42.0
42.863,-0.673,3.135,33.0
48.492,-0.756,3.292,36.0
41.953,-0.659,4.031,37.0
41.971,-0.654,3.811,46.0
42.148,-0.652,3.604,36.0
42.596,-0.655,3.414,31.0
42.753,-0.653,3.201,38.0
48.49,-0.735,3.376,34.0
41.857,-0.639,4.093,33.0
41.933,-0.636,3.879,44.0
41.919,-0.63,3.656,49.0
42.812,-0.639,3.504,41.0
42.793,-0.634,3.277,44.0
48.531,-0.713,3.461,8.0
41.824,-0.619,4.162,40.0
41.908,-0.615,3.948,46.0
42.009,-0.612,3.735,38.0
42.727,-0.617,3.569,39.0
42.311,-0.606,3.31,43.0
42.628,-0.605,3.111,41.0
41.812,-0.598,4.231,31.0
41.849,-0.593,4.013,36.0
