Point_X (m),Point_Y (m),Point_Z (m),Point_V (m/s),Point_azimuth (deg),Point_elevation (deg),Point_snr (dB),Point_Power (dB),Point_Valid (-),Point_Probability (-),Point_Mstate (-),Point_Class (-)
2.1162128,2.2203994,-0.28697041,0.063595369,46.369999,-5.3400002,26.75,36.29,1.0,0.0,0.0,0.0
2.1180785,2.4636035,-0.28556138,0.0,46.360001,-5.3099999,31.17,40.2,1.0,3.0,0.0,0.0
2.3057323,2.1619325,-0.28333434,0.0,46.889999,-4.79,31.97,40.42,1.0,44.0,0.0,0.0
2.5826769,2.150897,-0.27141133,-0.063595369,39.93,-4.5999999,28.79,37.82,1.0,0.0,0.0,0.0
2.5895891,2.1607082,-0.2846106,0.063595369,39.709999,-4.8299999,27.06,36.09,1.0,0.0,0.0,0.0
2.5921369,2.3084791,-0.27961889,0.0,39.810001,-4.73,31.97,40.42,1.0,44.0,0.0,0.0
2.7411473,2.3137553,-0.26419449,-0.063595369,40.099998,-4.21,28.54,38.96,1.0,23.0,0.0,0.0
2.7539113,2.314822,-0.27024665,0.0,40.029999,-4.29,32.29,42.29,1.0,54.0,0.0,0.0
2.7600279,2.3464024,-0.27613673,0.063595369,39.98,-4.3800001,28.41,37.95,1.0,0.0,0.0,0.0
3.5920427,-6.7376604,-0.2788727,0.063595369,33.150002,-3.71,25.0,35.79,1.0,0.0,0.0,0.0
4.0194664,-6.9324327,-0.35482004,0.063595369,-59.18,-2.5799999,22.9,34.36,1.0,0.0,0.0,0.0
4.0891175,-6.8543139,-0.4295806,0.0,-59.459999,-3.05,38.37,50.41,1.0,92.0,0.0,0.0
4.0901713,-6.8568635,-0.42576748,0.063595369,-59.169998,-3.05,33.63,45.67,1.0,0.0,0.0,0.0
4.0914521,-6.9317498,-0.42471129,0.0,-59.169998,-3.04,38.31,50.35,1.0,88.0,0.0,0.0
4.0930028,-6.8557382,-0.42867583,0.063595369,-59.43,-3.04,33.9,45.66,1.0,0.0,0.0,0.0
4.0960045,1.9909601,-0.4241187,-0.063595369,-59.139999,-3.03,33.75,46.05,1.0,24.0,0.0,0.0
4.4872251,2.0124414,-0.24285756,0.0,23.92,-2.8299999,27.2,37.99,1.0,0.0,0.0,0.0
4.4903989,1.96884,-0.19242379,-0.063595369,24.139999,-2.23,22.33,33.79,1.0,0.0,0.0,0.0
4.5177608,-6.5876937,-0.24398836,0.063595369,23.540001,-2.8299999,23.68,34.47,1.0,0.0,0.0,0.0
4.6274395,-6.5849419,-0.41795889,0.063595369,-54.91,-2.97,33.9,45.66,1.0,0.0,0.0,0.0
4.6293068,-6.5862737,-0.41484502,0.0,-54.889999,-2.95,38.37,50.41,1.0,92.0,0.0,0.0
4.6327195,-6.4771204,-0.41730362,-0.063595369,-54.869999,-2.96,34.51,46.27,1.0,4.0,0.0,0.0
5.5970764,-6.4772267,-0.16810457,-0.063595369,-49.16,-1.12,30.31,42.07,1.0,24.0,0.0,0.0
5.5976887,-6.4747925,-0.1235109,0.063595369,-49.16,-0.81999999,29.39,41.44,1.0,11.0,0.0,0.0
