Point_X (m),Point_Y (m),Point_Z (m),Point_V (m/s),Point_azimuth (deg),Point_elevation (deg),Point_snr (dB),Point_Power (dB),Point_Valid (-),Point_Probability (-),Point_Mstate (-),Point_Class (-)
1.3740587,-3.4586489,0.075790301,-1.0811213,-68.330002,1.16,17.37,30.15,1.0,0.0,0.0,0.0
1.5872856,-2.6393251,-0.001787283,-1.6534796,-59.040001,-0.029999999,19.9,31.04,1.0,0.0,0.0,0.0
1.5919403,-2.6411445,-0.0060681375,-1.5898843,-58.900002,-0.11,24.04,35.18,1.0,0.0,0.0,0.0
1.5940515,-2.7174878,-0.013909681,-1.5262889,-58.880001,-0.25,20.48,31.62,1.0,0.0,0.0,0.0
1.6384286,-2.7460833,-0.018805649,-1.5898843,-58.91,-0.33000001,33.87,44.66,1.0,0.0,0.0,0.0
1.6403381,-2.7339053,0.0078810584,-1.6534796,-59.139999,0.14,30.26,41.4,1.0,0.0,0.0,0.0
1.6538229,-2.7606955,-0.04928799,-1.5262889,-58.82,-0.88,30.92,41.71,1.0,0.0,0.0,0.0
1.666352,-2.7829869,-0.053048655,-1.5898843,-58.880001,-0.94,30.56,42.32,1.0,0.0,0.0,0.0
1.6715763,-2.5742521,-0.086534321,-1.5262889,-59.0,-1.52,27.97,40.76,1.0,0.0,0.0,0.0
1.7260778,-2.5487728,0.051863983,-1.7806704,-56.150002,0.94999999,16.58,28.04,1.0,0.0,0.0,0.0
1.7631898,-2.6899221,0.05133304,-1.717075,-55.32,0.94,17.75,28.89,1.0,0.0,0.0,0.0
1.8111881,-2.7063558,0.067152068,-1.7806704,-56.040001,1.1799999,32.4,43.54,1.0,45.0,0.0,0.0
1.8261795,-2.6709971,0.077936642,-1.7806704,-55.98,1.36,34.32,45.12,1.0,70.0,0.0,0.0
1.8365726,-2.6951108,0.078499518,-1.717075,-55.48,1.38,33.06,44.2,1.0,43.0,0.0,0.0
1.8444238,-3.1729617,0.084239148,-1.717075,-55.610001,1.47,34.57,45.71,1.0,70.0,0.0,0.0
1.8541987,-2.6817868,-0.004847019,-1.5262889,-59.689999,-0.07,13.92,30.74,1.0,0.0,0.0,0.0
1.8582306,-2.6697414,0.07869976,-1.8442657,-55.279999,1.38,26.63,37.43,1.0,0.0,0.0,0.0
1.8704802,-3.146946,0.03481213,-1.6534796,-54.98,0.61000001,29.13,40.59,1.0,0.0,0.0,0.0
1.8850304,-2.7965896,0.14210501,-1.5898843,-59.07,2.21,16.03,32.15,1.0,0.0,0.0,0.0
1.8880225,-2.7253461,0.1013838,-1.717075,-55.970001,1.72,24.23,35.99,1.0,0.0,0.0,0.0
1.9020714,-2.7828238,0.090914421,-1.8442657,-55.080002,1.5599999,30.12,40.54,1.0,16.0,0.0,0.0
1.9063998,-3.0946646,0.095490992,-1.7806704,-55.580002,1.62,23.14,34.9,1.0,0.0,0.0,0.0
1.9436344,-2.5792956,0.11951102,-1.6534796,-57.860001,1.87,15.34,30.53,1.0,0.0,0.0,0.0
2.0168109,-2.5777471,-0.16527534,-2.0350518,-51.970001,-2.8800001,20.11,31.58,1.0,0.0,0.0,0.0
2.0372953,-2.5775156,-0.15487038,-1.9714564,-51.669998,-2.6900001,25.79,36.93,1.0,0.0,0.0,0.0
2.0555465,-2.7405937,-0.14067532,-1.9078611,-51.419998,-2.4400001,24.97,36.11,1.0,0.0,0.0,0.0
2.0618954,-2.7405937,-0.13451351,-1.8442657,-53.040001,-2.24,24.23,35.69,1.0,0.0,0.0,0.0
2.0625887,-3.01934,0.0060290485,-1.7806704,-55.66,0.090000004,13.05,27.96,1.0,0.0,0.0,0.0
2.0907798,-2.6523964,-0.14571394,-1.9078611,-51.75,-2.47,31.73,42.52,1.0,13.0,0.0,0.0
2.0919659,-2.7411304,-0.15151244,-1.9078611,-52.639999,-2.51,28.15,39.29,1.0,18.0,0.0,0.0
2.0923951,-2.5619292,-0.13780119,-2.0986471,-50.759998,-2.3800001,17.77,29.23,1.0,0.0,0.0,0.0
