Point_X (m),Point_Y (m),Point_Z (m),Point_V (m/s),Point_azimuth (deg),Point_elevation (deg),Point_snr (dB),Point_Power (dB),Point_Valid (-),Point_Probability (-),Point_Mstate (-),Point_Class (-)
2.1080515,2.2154701,-0.28868318,0.0,46.419998,-5.3899999,29.95,40.74,1.0,11.0,0.0,0.0
2.111357,2.4557168,-0.28472152,0.063595369,46.259998,-5.3200002,24.99,36.45,1.0,0.0,0.0,0.0
2.3025374,2.4593878,-0.28922775,-0.063595369,46.84,-4.9099998,26.12,36.54,1.0,0.0,0.0,0.0
2.3037965,2.1652887,-0.28638938,0.0,46.869999,-4.8499999,29.16,39.95,1.0,0.0,0.0,0.0
2.579114,2.1612482,-0.27490273,-0.063595369,40.009998,-4.6599998,26.12,36.54,1.0,0.0,0.0,0.0
2.5863941,2.3182299,-0.27866983,0.0,39.880001,-4.7199998,29.16,39.95,1.0,0.0,0.0,0.0
2.7494397,2.3178039,-0.26343888,-0.063595369,40.130001,-4.1799998,29.53,39.08,1.0,0.0,0.0,0.0
2.7567768,2.3147287,-0.26602453,0.0,40.049999,-4.2199998,32.52,42.52,1.0,2.0,0.0,0.0
2.7572351,2.3153272,-0.27073503,0.063595369,40.009998,-4.3000002,27.5,37.92,1.0,0.0,0.0,0.0
3.5831339,-6.7594829,0.43577337,0.0,32.860001,5.8299999,29.77,40.18,1.0,0.0,0.0,0.0
3.9872959,-6.8808174,-0.43378243,0.063595369,-59.459999,-3.1600001,23.02,35.06,1.0,0.0,0.0,0.0
4.0056639,-6.9491725,-0.51531899,0.12719074,-59.790001,-3.7,20.33,32.88,1.0,0.0,0.0,0.0
4.0529122,-6.87749,-0.47118089,0.063595369,-59.740002,-3.3499999,35.44,47.49,1.0,58.0,0.0,0.0
4.0602288,-6.8742623,-0.47122756,0.063595369,-59.439999,-3.3699999,34.84,47.14,1.0,49.0,0.0,0.0
4.0672688,-6.8744969,-0.46659204,0.0,-59.380001,-3.3399999,39.39,51.7,1.0,100.0,0.0,0.0
4.0695853,-6.9387522,-0.47244298,-0.063595369,-59.369999,-3.3800001,35.25,47.55,1.0,44.0,0.0,0.0
4.0698037,-6.9337902,-0.46707067,0.0,-59.599998,-3.3199999,40.28,52.04,1.0,100.0,0.0,0.0
4.0822058,-6.9437304,-0.47215196,-0.063595369,-59.509998,-3.3499999,36.32,48.08,1.0,39.0,0.0,0.0
4.1006041,2.0018702,-0.53189045,-0.12719074,-59.43,-3.77,23.41,35.17,1.0,0.0,0.0,0.0
4.2945328,2.0021005,-0.24055208,0.0,24.99,-2.9000001,30.81,41.6,1.0,37.0,0.0,0.0
4.2987852,2.0010145,-0.22803704,-0.063595369,24.969999,-2.75,26.46,37.6,1.0,0.0,0.0,0.0
4.3036389,1.9831486,-0.24703223,0.063595369,24.93,-2.97,26.16,37.3,1.0,0.0,0.0,0.0
4.4807501,1.9936789,-0.27734154,0.0,23.870001,-3.23,28.33,37.87,1.0,0.0,0.0,0.0
4.4819756,1.9912945,-0.25195864,0.063595369,23.98,-2.9400001,23.92,33.92,1.0,0.0,0.0,0.0
4.4912615,-6.6010523,-0.31795201,-0.063595369,23.91,-3.7,24.6,34.14,1.0,0.0,0.0,0.0
4.6285934,-6.5765886,-0.43817395,0.12719074,-54.959999,-3.1099999,21.06,33.36,1.0,0.0,0.0,0.0
4.6384397,-6.5765886,-0.44511792,-0.063595369,-54.799999,-3.1600001,36.32,48.08,1.0,39.0,0.0,0.0
4.6424088,-6.5712957,-0.44027355,0.0,-54.759998,-3.1300001,40.28,52.04,1.0,100.0,0.0,0.0
4.6432009,-6.5715032,-0.44174552,0.063595369,-54.75,-3.1400001,35.44,47.49,1.0,58.0,0.0,0.0
5.3376231,-6.2821851,-0.40137339,0.0,-49.639999,-2.78,35.25,46.71,1.0,53.0,0.0,0.0
5.5787539,-6.4276133,-0.84057528,-0.12719074,-49.040001,-5.6399999,17.21,29.25,1.0,0.0,0.0,0.0
5.6013508,-6.436985,-0.31962743,-0.063595369,-48.970001,-2.1400001,29.95,41.99,1.0,27.0,0.0,0.0
5.6033993,-6.4492006,-0.18802464,0.063595369,-49.009998,-1.26,30.21,41.97,1.0,26.0,0.0,0.0
5.6067348,-6.4431176,-0.22293638,0.0,-48.970001,-1.49,34.33,46.37,1.0,100.0,0.0,0.0
5.7943549,-6.5538216,-0.14005733,0.063595369,-48.509998,-0.91000003,25.72,38.51,1.0,0.0,0.0,0.0
5.7987986,2.7026989,-0.29309881,0.0,24.98,-2.6199999,29.67,40.08,1.0,55.0,0.0,0.0
5.8034763,-6.5428939,-0.13407007,0.0,-48.419998,-0.87,30.1,42.88,1.0,20.0,0.0,0.0
5.808682,-6.5529833,-0.12799022,-0.063595369,-48.439999,-0.82999998,25.8,38.59,1.0,0.0,0.0,0.0
6.5833297,-6.2191005,-1.0942615,0.0,-43.369999,-6.8800001,28.83,41.13,1.0,0.0,0.0,0.0
6.6412487,-6.2626128,0.050790574,-0.063595369,-43.310001,0.31,24.94,37.5,1.0,0.0,0.0,0.0
8.3604622,4.4927893,0.64519072,-0.12719074,28.25,3.8800001,21.58,33.88,1.0,0.0,0.0,0.0
8.4385738,4.6954513,0.75627053,0.0,29.09,4.4699998,41.29,54.51,1.0,100.0,0.0,0.0
8.4486122,4.3668804,0.62408239,0.12719074,27.33,3.75,21.17,34.18,1.0,0.0,0.0,0.0
8.4711685,4.6334596,0.50819957,-0.19078611,28.67,3.01,25.1,37.89,1.0,0.0,0.0,0.0
8.4789581,4.5773058,0.60242563,-0.12719074,28.360001,3.5699999,29.42,42.43,1.0,21.0,0.0,0.0
8.5027246,4.9102931,0.65614688,0.063595369,30.0,3.8199999,39.87,53.49,1.0,61.0,0.0,0.0
8.5153732,4.6685262,0.48326379,-0.19078611,28.73,2.8399999,25.31,38.93,1.0,0.0,0.0,0.0
8.5362434,4.6893349,0.51168299,-0.12719074,28.780001,3.0,28.72,42.34,1.0,16.0,0.0,0.0
8.5494719,4.9106369,0.63470399,0.0,29.870001,3.6800001,42.58,56.2,1.0,100.0,0.0,0.0
8.5623426,4.4264841,0.62149078,0.12719074,27.33,3.6800001,31.0,44.22,1.0,0.0,0.0,0.0
8.5727415,4.9996409,0.36873311,0.12719074,30.25,2.1199999,28.29,41.3,1.0,39.0,0.0,0.0
8.5818272,4.8518138,0.58531237,-0.063595369,29.48,3.3900001,37.98,51.6,1.0,59.0,0.0,0.0
8.5880527,4.9816647,0.36052853,-0.12719074,30.110001,2.0699999,26.37,39.6,1.0,0.0,0.0,0.0
8.6091766,4.3571076,0.70895857,0.063595369,26.84,4.1999998,39.18,52.61,1.0,62.0,0.0,0.0
8.6322374,4.2328138,1.0268793,0.19078611,26.120001,6.0900002,23.23,36.24,1.0,0.0,0.0,0.0
8.6401892,5.0312414,0.35546777,0.063595369,30.209999,2.03,41.86,54.88,1.0,74.0,0.0,0.0
8.6583996,4.446557,0.58751738,0.12719074,27.18,3.45,30.77,43.99,1.0,23.0,0.0,0.0
8.6615028,5.0430079,0.35463908,0.0,30.200001,2.02,45.95,58.96,1.0,100.0,0.0,0.0
8.6652393,5.043735,0.35268292,-0.063595369,30.200001,2.01,41.21,54.43,1.0,74.0,0.0,0.0
8.7057352,4.1994128,1.0446197,0.19078611,25.75,6.1599998,23.9,36.91,1.0,0.0,0.0,0.0
8.7244101,5.1660738,0.18173176,0.12719074,30.629999,1.02,24.34,37.35,1.0,0.0,0.0,0.0
8.7372379,5.139214,0.18496087,0.063595369,30.459999,1.04,38.41,51.2,1.0,74.0,0.0,0.0
8.7428427,5.1391926,0.1839713,0.0,30.440001,1.03,43.01,55.56,1.0,100.0,0.0,0.0
8.7442188,4.2549214,1.092124,0.25438148,25.940001,6.4000001,22.89,35.44,1.0,0.0,0.0,0.0
8.745822,5.1410761,0.18288466,-0.063595369,30.440001,1.03,38.2,51.21,1.0,70.0,0.0,0.0
8.7554035,5.1299329,0.19499828,-0.12719074,30.360001,1.1,23.1,36.11,1.0,0.0,0.0,0.0
8.7828665,5.5349336,-0.46353489,0.12719074,32.209999,-2.55,20.12,32.42,1.0,0.0,0.0,0.0
8.8957987,3.385715,0.073363446,0.0,20.83,0.44,31.98,44.77,1.0,21.0,0.0,0.0
9.0039148,6.7821732,0.18104106,0.12719074,36.98,0.92000002,20.39,32.94,1.0,0.0,0.0,0.0
9.0058899,6.8097658,0.2089612,-0.063595369,37.09,1.0599999,34.74,47.75,1.0,43.0,0.0,0.0
9.0097713,6.8049531,0.2088629,0.0,37.060001,1.05,39.35,52.36,1.0,100.0,0.0,0.0
9.010005,6.799458,0.20334797,0.063595369,37.040001,1.03,35.46,48.01,1.0,75.0,0.0,0.0
9.0479002,3.4377239,0.1191613,-0.063595369,20.799999,0.69999999,37.28,50.29,1.0,65.0,0.0,0.0
9.0613165,6.8947091,0.20318851,0.063595369,37.259998,1.02,36.09,47.55,1.0,38.0,0.0,0.0
9.0613441,6.9138579,0.19717272,0.12719074,37.34,0.99000001,20.46,32.22,1.0,0.0,0.0,0.0
9.0616779,6.8945875,0.2058769,0.0,37.259998,1.03,39.93,51.97,1.0,100.0,0.0,0.0
9.0632954,6.8954477,0.20652844,-0.063595369,37.259998,1.03,35.39,47.44,1.0,47.0,0.0,0.0
9.0702524,5.6560693,-0.47870129,0.12719074,31.940001,-2.5599999,18.47,30.51,1.0,0.0,0.0,0.0
9.0775642,4.530664,0.15626232,-0.063595369,26.52,0.88,38.2,51.21,1.0,70.0,0.0,0.0
9.101903,6.9068079,0.18908377,-0.12719074,37.189999,0.94,20.56,32.86,1.0,0.0,0.0,0.0
9.2053699,3.4782808,-0.023223566,0.063595369,20.690001,-0.13,39.87,53.49,1.0,61.0,0.0,0.0
9.235281,3.498498,0.022852665,-0.063595369,20.74,0.13,37.98,51.6,1.0,59.0,0.0,0.0
9.2391863,3.4997311,0.0017261857,0.0,20.74,0.0099999998,42.58,56.2,1.0,100.0,0.0,0.0
9.3162613,6.9477777,0.32239908,-0.063595369,36.709999,1.58,29.76,41.8,1.0,0.0,0.0,0.0
9.3235435,6.933856,0.30061942,0.0,36.630001,1.48,34.8,46.26,1.0,0.0,0.0,0.0
9.3362417,6.9188466,0.29283568,0.063595369,36.540001,1.4400001,30.5,41.96,1.0,0.0,0.0,0.0
9.4663305,5.6891208,0.031536214,0.12719074,31.0,0.16,16.93,29.48,1.0,0.0,0.0,0.0
9.4730377,5.7350984,0.19906116,0.0,31.190001,1.02,35.45,47.75,1.0,60.0,0.0,0.0
9.4878368,5.7085876,0.17765895,0.063595369,31.030001,0.91000003,31.28,43.59,1.0,25.0,0.0,0.0
9.6287441,7.2921681,-0.0057957806,0.0,37.130001,-0.02,35.12,47.91,1.0,59.0,0.0,0.0
9.6298485,7.291265,-0.0060242359,-0.063595369,37.130001,-0.02,30.97,43.52,1.0,21.0,0.0,0.0
9.6301899,7.2875886,0.00064011867,0.063595369,37.110001,0.0,30.73,43.52,1.0,0.0,0.0,0.0
9.6435585,5.8193288,0.089150749,-0.12719074,31.1,0.44999999,19.45,32.46,1.0,0.0,0.0,0.0
9.6804228,5.7781649,0.057992343,0.12719074,30.83,0.28999999,20.39,32.94,1.0,0.0,0.0,0.0
9.6878738,5.8010077,0.12665839,-0.063595369,30.91,0.63999999,34.74,47.75,1.0,43.0,0.0,0.0
9.6915121,5.7894454,0.10533416,0.063595369,30.85,0.52999997,35.46,48.01,1.0,75.0,0.0,0.0
9.6928082,5.793282,0.11981265,0.0,30.860001,0.60000002,39.35,52.36,1.0,100.0,0.0,0.0
9.7601652,5.8667893,0.075531237,0.063595369,31.0,0.38,36.09,47.55,1.0,38.0,0.0,0.0
9.7626114,5.8631029,0.084831692,0.0,30.98,0.41999999,39.93,51.97,1.0,100.0,0.0,0.0
10.261938,-5.2030778,-0.48017234,-0.31797683,-26.879999,-2.3800001,19.94,32.95,1.0,0.0,0.0,0.0
10.358804,-6.6520219,-0.24502616,-0.12719074,-32.700001,-1.14,21.59,34.14,1.0,0.0,0.0,0.0
10.36997,-6.673274,-0.40566802,0.12719074,-32.759998,-1.88,21.13,33.68,1.0,0.0,0.0,0.0
10.391745,-6.6519699,-0.34313738,0.063595369,-32.619999,-1.59,36.31,48.86,1.0,43.0,0.0,0.0
