Point_X (m),Point_Y (m),Point_Z (m),Point_V (m/s),Point_azimuth (deg),Point_elevation (deg),Point_snr (dB),Point_Power (dB),Point_Valid (-),Point_Probability (-),Point_Mstate (-),Point_Class (-)
2.1154795,2.2068913,-0.27958763,-0.063595369,46.209999,-5.2199998,24.76,35.9,1.0,0.0,0.0,0.0
2.1162138,2.2121172,-0.28196257,0.0,46.209999,-5.2600002,28.97,40.11,1.0,4.0,0.0,0.0
2.1220319,2.4567707,-0.27760613,0.063595369,46.189999,-5.1700001,25.14,36.28,1.0,0.0,0.0,0.0
2.3127451,2.4611073,-0.25177941,0.063595369,46.720001,-4.2600002,25.48,35.89,1.0,0.0,0.0,0.0
2.3142183,2.1595957,-0.25435215,0.0,46.759998,-4.3000002,29.38,39.79,1.0,0.0,0.0,0.0
2.597573,2.3128948,-0.25711495,0.0,39.73,-4.3499999,29.38,39.79,1.0,0.0,0.0,0.0
2.7616928,2.3166234,-0.25079352,-0.063595369,39.939999,-3.98,28.15,38.56,1.0,0.0,0.0,0.0
2.7628777,2.3177378,-0.25700733,0.0,39.970001,-4.0700002,31.8,42.22,1.0,0.0,0.0,0.0
2.769803,-6.7466826,-0.26055774,0.063595369,39.919998,-4.1199999,27.75,38.16,1.0,0.0,0.0,0.0
4.0186734,-6.7326236,-0.35773197,0.0,-59.209999,-2.5999999,26.41,38.72,1.0,0.0,0.0,0.0
4.0450854,-6.8295774,-0.2653926,0.063595369,-59.0,-1.9299999,22.76,34.52,1.0,0.0,0.0,0.0
4.0564156,-6.9340339,-0.40823999,0.12719074,-59.290001,-2.9400001,19.75,31.79,1.0,0.0,0.0,0.0
4.06496,-6.934217,-0.46658012,0.063595369,-59.610001,-3.3199999,34.57,46.87,1.0,58.0,0.0,0.0
4.0669217,-6.9347835,-0.46085188,0.0,-59.599998,-3.28,38.94,51.25,1.0,100.0,0.0,0.0
4.0671725,-6.8664012,-0.45460108,-0.063595369,-59.599998,-3.23,34.27,46.58,1.0,45.0,0.0,0.0
4.0678587,-6.8713932,-0.44489402,-0.063595369,-59.349998,-3.1900001,34.27,46.58,1.0,21.0,0.0,0.0
4.0706654,-6.8717871,-0.45288801,0.0,-59.349998,-3.24,38.97,51.01,1.0,99.0,0.0,0.0
4.0714927,1.9803742,-0.45531186,0.063595369,-59.349998,-3.26,34.48,46.52,1.0,41.0,0.0,0.0
4.4936433,1.9707408,-0.27142853,0.0,23.780001,-3.1600001,27.42,38.56,1.0,0.0,0.0,0.0
4.4963722,1.9223825,-0.25922969,-0.063595369,23.66,-3.02,23.17,34.31,1.0,0.0,0.0,0.0
5.2272196,-6.4896393,-0.53695107,0.063595369,20.190001,-5.5,25.21,36.0,1.0,0.0,0.0,0.0
5.5861645,-6.4731894,-0.12823474,0.063595369,-49.27,-0.85000002,26.82,40.44,1.0,12.0,0.0,0.0
5.58811,-6.4750199,-0.10652508,-0.063595369,-49.189999,-0.70999998,26.93,40.73,1.0,0.0,0.0,0.0
5.5894289,2.6896985,-0.12710471,0.0,-49.189999,-0.85000002,31.25,44.86,1.0,81.0,0.0,0.0
5.782877,2.6896217,-0.27275306,0.0,24.940001,-2.4400001,29.26,40.4,1.0,0.0,0.0,0.0
5.7877851,-6.190629,-0.25672078,0.063595369,24.92,-2.3,24.53,36.29,1.0,0.0,0.0,0.0
