Point_X (m),Point_Y (m),Point_Z (m),Point_V (m/s),Point_azimuth (deg),Point_elevation (deg),Point_snr (dB),Point_Power (dB),Point_Valid (-),Point_Probability (-),Point_Mstate (-),Point_Class (-)
2.5570617,2.1307538,-0.27888983,-0.063595369,39.799999,-4.7800002,27.02,37.02,1.0,0.0,0.0,0.0
2.5830977,2.1607156,-0.27789575,0.0,39.849998,-4.7199998,30.62,40.62,1.0,0.0,0.0,0.0
2.5855274,2.295686,-0.27918211,0.063595369,39.880001,-4.73,26.28,36.28,1.0,0.0,0.0,0.0
2.7421861,2.3058116,-0.27288228,-0.063595369,39.93,-4.3600001,28.79,38.33,1.0,0.0,0.0,0.0
2.7468963,2.3094842,-0.26922607,0.0,40.009998,-4.29,33.49,42.52,1.0,0.0,0.0,0.0
2.7501509,-6.7574267,-0.26319134,0.063595369,40.02,-4.1900001,29.21,38.24,1.0,0.0,0.0,0.0
3.9925275,-6.8740549,-0.4302879,0.0,-59.419998,-3.1300001,26.72,39.03,1.0,0.0,0.0,0.0
4.0523968,-6.8699937,-0.47299141,0.12719074,-59.470001,-3.3900001,20.81,32.85,1.0,0.0,0.0,0.0
4.0725961,-6.8707809,-0.47505605,0.063595369,-59.34,-3.4000001,34.75,47.05,1.0,4.0,0.0,0.0
4.0730505,-6.8696356,-0.48015535,-0.063595369,-59.34,-3.4400001,34.29,46.84,1.0,28.0,0.0,0.0
4.0742998,-6.9325814,-0.47648042,0.0,-59.32,-3.4100001,38.79,51.35,1.0,94.0,0.0,0.0
4.0820603,-6.9293675,-0.48398972,-0.063595369,-59.5,-3.4400001,34.76,47.31,1.0,37.0,0.0,0.0
4.0839453,-6.9274597,-0.47952667,0.0,-59.48,-3.4100001,38.91,51.7,1.0,100.0,0.0,0.0
4.0871382,-6.9382138,-0.4747605,0.063595369,-59.450001,-3.3699999,34.6,47.39,1.0,54.0,0.0,0.0
4.1050138,1.9892628,-0.45365205,0.12719074,-59.380001,-3.22,20.91,33.7,1.0,0.0,0.0,0.0
4.498826,1.982895,-0.26926556,0.0,23.85,-3.1300001,27.37,38.83,1.0,0.0,0.0,0.0
4.5087509,-6.5733986,-0.30169573,0.063595369,23.73,-3.5,23.27,35.03,1.0,0.0,0.0,0.0
4.6387262,-6.5730143,-0.43867528,0.063595369,-54.790001,-3.1199999,34.6,47.39,1.0,54.0,0.0,0.0
4.6392689,-6.57335,-0.444258,0.0,-54.779999,-3.1600001,38.91,51.7,1.0,100.0,0.0,0.0
4.6419654,-6.590837,-0.44875225,-0.063595369,-54.77,-3.1900001,34.76,47.31,1.0,37.0,0.0,0.0
4.6459594,-6.4582672,-0.41435033,0.12719074,-54.810001,-2.9400001,20.91,33.7,1.0,0.0,0.0,0.0
5.6117907,-6.5369868,-0.17284375,0.063595369,-49.009998,-1.15,29.45,42.0,1.0,8.0,0.0,0.0
5.810555,-6.5145693,-0.15272452,0.063595369,-48.360001,-1.0,26.12,39.13,1.0,0.0,0.0,0.0
5.8284063,4.5055056,-0.14598405,0.0,-48.18,-0.94999999,30.47,43.26,1.0,54.0,0.0,0.0
8.3630247,4.4829602,0.60602903,0.063595369,28.309999,3.6500001,32.04,45.05,1.0,48.0,0.0,0.0
8.3777237,4.6430593,0.64784682,0.12719074,28.15,3.9000001,27.47,40.25,1.0,0.0,0.0,0.0
8.4055519,4.6430593,1.1464242,0.12719074,28.91,6.8000002,33.06,45.36,1.0,0.0,0.0,0.0
8.4612532,4.5156751,0.62837547,0.12719074,28.08,3.74,35.34,48.13,1.0,42.0,0.0,0.0
8.5084496,4.9829583,0.4233647,0.12719074,30.35,2.45,27.41,38.87,1.0,0.0,0.0,0.0
8.5228939,4.843514,0.48383299,0.063595369,29.6,2.8199999,39.51,51.81,1.0,45.0,0.0,0.0
8.5524187,4.9441619,0.54887998,-0.063595369,30.030001,3.1800001,37.38,50.16,1.0,53.0,0.0,0.0
8.5572739,4.9262056,0.50203651,0.0,29.92,2.9100001,42.05,54.6,1.0,100.0,0.0,0.0
8.6037216,-5.1975884,-0.48555231,-0.25438148,-31.129999,-2.76,15.41,27.96,1.0,0.0,0.0,0.0
8.6455278,5.0405035,0.3865692,0.063595369,30.24,2.21,42.1,53.86,1.0,74.0,0.0,0.0
8.6640453,5.0626855,0.38375381,-0.12719074,30.290001,2.1900001,25.99,38.54,1.0,0.0,0.0,0.0
8.6701536,5.0500121,0.3795417,0.0,30.209999,2.1600001,46.03,58.33,1.0,100.0,0.0,0.0
8.723259,5.145524,0.63087994,0.12719074,30.530001,3.5599999,22.67,34.43,1.0,0.0,0.0,0.0
8.7778749,5.5881801,0.23691307,0.063595369,32.48,1.3,31.88,44.44,1.0,12.0,0.0,0.0
8.8917904,3.3743591,0.14839424,-0.063595369,20.780001,0.88999999,26.89,39.44,1.0,0.0,0.0,0.0
8.8918581,3.3751392,0.21626978,0.0,20.780001,1.3,32.09,44.88,1.0,36.0,0.0,0.0
8.8949852,3.355583,0.47573966,0.063595369,20.66,2.8599999,32.04,45.05,1.0,48.0,0.0,0.0
8.9745178,6.8228536,0.18367814,0.12719074,37.240002,0.93000001,19.46,32.47,1.0,0.0,0.0,0.0
8.9949179,6.8211713,0.21708541,0.063595369,37.169998,1.1,34.18,47.4,1.0,35.0,0.0,0.0
8.9954624,6.8183208,0.22193305,0.0,37.16,1.12,38.56,51.78,1.0,100.0,0.0,0.0
8.9969492,6.8099418,0.22323743,-0.063595369,37.119999,1.13,34.16,47.38,1.0,39.0,0.0,0.0
9.0102968,3.4007707,0.2443525,0.063595369,20.67,1.45,40.28,53.06,1.0,87.0,0.0,0.0
9.0159607,3.4201407,0.1464901,-0.12719074,20.77,0.87,22.14,34.7,1.0,0.0,0.0,0.0
9.0396233,3.4319491,0.15428059,0.0,20.780001,0.91000003,41.19,53.75,1.0,100.0,0.0,0.0
9.0472069,3.4406767,0.13421696,-0.063595369,20.82,0.79000002,36.24,48.79,1.0,41.0,0.0,0.0
9.0514288,6.9527259,0.25534725,0.12719074,37.52,1.28,20.19,32.97,1.0,0.0,0.0,0.0
9.0600557,6.9159775,0.21093649,0.063595369,37.349998,1.0599999,34.55,47.56,1.0,39.0,0.0,0.0
9.0625982,6.912663,0.20863512,0.0,37.330002,1.04,38.9,51.91,1.0,100.0,0.0,0.0
9.0654316,6.9097805,0.2066253,-0.063595369,37.310001,1.03,34.46,47.47,1.0,56.0,0.0,0.0
9.081604,6.8896403,0.20718138,-0.12719074,37.18,1.04,19.81,32.82,1.0,0.0,0.0,0.0
9.1037025,5.6995583,0.17671141,0.0,32.040001,0.94,37.47,49.24,1.0,100.0,0.0,0.0
9.1050396,5.6999264,0.18036237,0.063595369,32.040001,0.95999998,33.17,44.93,1.0,13.0,0.0,0.0
9.1094894,5.6886611,0.16075374,-0.063595369,31.98,0.85000002,32.88,44.92,1.0,44.0,0.0,0.0
9.2262383,3.5113347,0.050469235,-0.12719074,20.83,0.28999999,22.78,35.57,1.0,0.0,0.0,0.0
9.2434778,3.5075464,0.041441258,0.0,20.77,0.23999999,42.05,54.6,1.0,100.0,0.0,0.0
9.2480459,3.5160246,0.033041757,-0.063595369,20.809999,0.19,37.38,50.16,1.0,53.0,0.0,0.0
9.3457327,6.8963161,0.23537996,0.0,36.419998,1.16,34.26,46.57,1.0,28.0,0.0,0.0
9.5929832,7.2844968,0.076676056,0.12719074,37.209999,0.36000001,16.4,28.7,1.0,0.0,0.0,0.0
9.622117,7.2980881,0.0091508245,0.063595369,37.169998,0.039999999,30.72,43.02,1.0,19.0,0.0,0.0
9.6242571,7.2958384,-0.010610025,0.0,37.16,-0.050000001,35.11,47.41,1.0,68.0,0.0,0.0
9.6255302,5.8985324,0.11656734,0.0,31.5,0.58999997,38.56,51.78,1.0,100.0,0.0,0.0
9.6265621,5.8991647,0.11488989,0.063595369,31.5,0.57999998,34.18,47.4,1.0,35.0,0.0,0.0
9.6268587,7.2874508,-0.015105141,-0.063595369,37.119999,-0.07,30.31,43.09,1.0,1.0,0.0,0.0
9.6473169,5.8559041,0.088981219,-0.063595369,31.25,0.44999999,34.16,47.38,1.0,39.0,0.0,0.0
9.7196741,5.956224,0.10207614,0.0,31.5,0.50999999,38.9,51.91,1.0,100.0,0.0,0.0
9.7196903,5.9562335,0.10357837,0.063595369,31.5,0.51999998,34.55,47.56,1.0,39.0,0.0,0.0
9.7201357,5.9565067,0.093785718,-0.063595369,31.5,0.47,34.46,47.47,1.0,56.0,0.0,0.0
10.416715,-6.592627,-0.33871111,-0.12719074,-32.32,-1.5700001,21.02,33.57,1.0,0.0,0.0,0.0
10.419301,-6.6129398,-0.21548228,0.12719074,-32.400002,-1.0,21.13,33.44,1.0,0.0,0.0,0.0
10.424128,-6.6154122,-0.2880573,0.0,-32.400002,-1.33,41.22,53.26,1.0,74.0,0.0,0.0
10.42492,-6.6150508,-0.27942431,0.063595369,-32.389999,-1.29,36.8,48.85,1.0,62.0,0.0,0.0
10.543855,-6.6155062,-0.16336624,0.0,-32.099998,-0.75,45.77,58.56,1.0,100.0,0.0,0.0
10.544105,-6.61654,-0.16779692,0.063595369,-32.099998,-0.76999998,41.39,54.18,1.0,82.0,0.0,0.0
10.54647,-6.6128821,-0.16140354,-0.063595369,-32.080002,-0.74000001,41.54,54.09,1.0,87.0,0.0,0.0
10.549644,-6.6171432,-0.17651093,0.12719074,-32.09,-0.81,25.92,38.71,1.0,0.0,0.0,0.0
10.570049,-6.5874844,-0.16246955,-0.12719074,-31.93,-0.74000001,26.48,38.78,1.0,0.0,0.0,0.0
10.620066,-6.614089,-0.096099064,0.063595369,-31.91,-0.44,36.92,50.72,1.0,60.0,0.0,0.0
10.621485,-6.6106825,-0.088539824,0.0,-31.889999,-0.40000001,41.09,55.07,1.0,100.0,0.0,0.0
10.62544,-6.6278348,-0.12572831,0.12719074,-31.950001,-0.56999999,21.7,35.68,1.0,0.0,0.0,0.0
10.625803,-6.6057758,-0.086123347,-0.063595369,-31.860001,-0.38999999,37.03,50.64,1.0,70.0,0.0,0.0
10.663482,-6.582932,-0.071654834,-0.12719074,-31.68,-0.31999999,22.68,35.9,1.0,0.0,0.0,0.0
12.150641,-6.1955109,-1.7931619,0.0,-27.01,-7.48,25.54,39.16,1.0,0.0,0.0,0.0
12.167508,-6.193028,-1.7807074,0.063595369,-26.969999,-7.4299998,20.86,34.66,1.0,0.0,0.0,0.0
12.237345,-6.2538114,0.54301912,-0.063595369,-27.059999,2.26,21.62,35.24,1.0,0.0,0.0,0.0
12.251247,-5.925437,0.60512984,0.0,-25.809999,2.54,29.25,41.8,1.0,78.0,0.0,0.0
12.252811,-5.9234509,0.60897326,0.063595369,-25.799999,2.5599999,24.39,37.18,1.0,0.0,0.0,0.0
12.479123,-6.3551474,-0.56694597,-0.063595369,-26.98,-2.3099999,17.49,31.11,1.0,0.0,0.0,0.0
12.492836,-6.3354049,-0.5875684,0.0,-26.889999,-2.4000001,21.66,35.28,1.0,0.0,0.0,0.0
12.532105,-6.321692,-0.60468537,0.063595369,-26.76,-2.46,18.08,31.69,1.0,0.0,0.0,0.0
14.138938,-6.4623804,-0.50078505,0.0,-24.559999,-1.84,21.91,35.52,1.0,0.0,0.0,0.0
14.1588,-6.4557319,-0.42268902,0.063595369,-24.51,-1.55,17.68,31.3,1.0,0.0,0.0,0.0
14.269442,-6.6966081,-0.49082941,-0.063595369,-25.139999,-1.78,17.06,30.86,1.0,0.0,0.0,0.0
14.31637,-6.6278181,-0.45410785,0.0,-24.84,-1.64,21.49,34.91,1.0,0.0,0.0,0.0
14.334031,-6.5995474,-0.42240214,0.063595369,-24.719999,-1.53,18.18,31.19,1.0,0.0,0.0,0.0
14.67183,-6.6362252,-0.5633598,0.063595369,-24.33,-2.0,18.34,31.96,1.0,0.0,0.0,0.0
14.674939,-6.6353626,-0.5725615,0.0,-24.33,-2.03,22.19,35.99,1.0,0.0,0.0,0.0
16.1798,-7.856142,0.020853553,-0.063595369,-25.889999,0.059999999,27.71,40.93,1.0,0.0,0.0,0.0
16.186308,-7.8545589,0.015606052,0.0,-25.879999,0.039999999,31.55,44.97,1.0,21.0,0.0,0.0
16.189682,-7.8512297,0.0036267363,0.063595369,-25.870001,0.0099999998,26.75,40.36,1.0,0.0,0.0,0.0
16.238625,3.1617103,-0.35219446,0.0,11.01,-1.21,32.47,46.62,1.0,76.0,0.0,0.0
16.537498,1.7795696,-0.46609119,0.063595369,6.1399999,-1.6,26.19,40.5,1.0,0.0,0.0,0.0
17.490864,5.000042,0.55478209,-0.12719074,15.95,1.74,17.32,30.11,1.0,0.0,0.0,0.0
17.518375,5.0502381,0.40967309,0.12719074,16.08,1.28,16.85,29.64,1.0,0.0,0.0,0.0
17.520298,5.0450602,0.47844699,-0.063595369,16.059999,1.5,31.93,44.48,1.0,21.0,0.0,0.0
17.524527,5.0545421,0.4612141,0.0,16.08,1.4400001,36.32,48.88,1.0,100.0,0.0,0.0
17.525824,5.0574484,0.45958337,0.063595369,16.09,1.4400001,31.89,44.44,1.0,16.0,0.0,0.0
17.620554,5.1449995,0.31005126,0.063595369,16.27,0.95999998,31.75,45.73,1.0,33.0,0.0,0.0
17.622137,5.1421199,0.30265912,0.0,16.26,0.94,36.0,50.15,1.0,100.0,0.0,0.0
17.624607,5.1314278,0.29632086,-0.063595369,16.23,0.92000002,31.65,45.63,1.0,10.0,0.0,0.0
17.657978,5.0750251,0.23061939,-0.12719074,16.030001,0.70999998,16.67,30.65,1.0,0.0,0.0,0.0
18.264936,4.9391642,-1.7183762,0.0,15.13,-5.1799998,25.58,39.19,1.0,0.0,0.0,0.0
18.268007,4.9295287,-1.738279,0.063595369,15.1,-5.2399998,21.12,34.74,1.0,0.0,0.0,0.0
18.269361,4.9542384,-1.739073,-0.063595369,15.17,-5.2399998,21.74,35.17,1.0,0.0,0.0,0.0
19.488594,-6.5164585,-0.264397,-0.063595369,-18.48,-0.73000002,17.0,31.32,1.0,0.0,0.0,0.0
19.503359,-6.4512577,-0.27846372,0.0,-18.299999,-0.76999998,20.91,35.23,1.0,0.0,0.0,0.0
19.535683,-6.3998632,-0.37519994,0.063595369,-18.129999,-1.04,16.62,30.93,1.0,0.0,0.0,0.0
19.563118,-0.15940297,0.86616409,0.063595369,-0.46000001,2.53,18.61,32.76,1.0,0.0,0.0,0.0
19.575546,-0.13542975,0.42087808,-0.063595369,-0.38999999,1.23,20.21,33.63,1.0,0.0,0.0,0.0
