Point_X (m),Point_Y (m),Point_Z (m),Point_V (m/s),Point_azimuth (deg),Point_elevation (deg),Point_snr (dB),Point_Power (dB),Point_Valid (-),Point_Probability (-),Point_Mstate (-),Point_Class (-)
2.1097388,2.1985495,-0.28848913,0.063595369,46.18,-5.4000001,25.12,36.26,1.0,0.0,0.0,0.0
2.1136653,2.4631329,-0.28562337,0.0,46.240002,-5.3299999,28.67,40.13,1.0,61.0,0.0,0.0
2.3140416,2.4667962,-0.26267669,0.063595369,46.779999,-4.4400001,24.95,35.74,1.0,0.0,0.0,0.0
2.3153274,2.159307,-0.26605704,0.0,46.810001,-4.4899998,28.79,39.93,1.0,31.0,0.0,0.0
2.5987399,2.1598835,-0.2734147,0.063595369,39.720001,-4.6199999,24.95,35.74,1.0,0.0,0.0,0.0
2.6034224,2.3175702,-0.27148953,0.0,39.68,-4.5799999,28.79,39.93,1.0,31.0,0.0,0.0
2.762315,2.3174238,-0.26596835,0.063595369,39.990002,-4.21,27.64,38.43,1.0,0.0,0.0,0.0
2.7661662,2.3143222,-0.26256371,0.0,39.950001,-4.1599998,32.53,42.53,1.0,42.0,0.0,0.0
2.7679026,-6.8911815,-0.25843453,-0.063595369,39.889999,-4.0900002,29.13,39.13,1.0,0.0,0.0,0.0
4.028131,-6.8922925,-0.44549802,0.063595369,-59.689999,-3.1900001,19.73,46.5,1.0,21.0,0.0,0.0
4.0325155,-6.8864369,-0.44199115,0.0,-59.66,-3.1600001,24.06,50.82,1.0,84.0,0.0,0.0
4.0381842,2.0012627,-0.444141,-0.063595369,-59.610001,-3.1800001,18.89,46.16,1.0,18.0,0.0,0.0
4.484417,1.9871491,-0.25743112,-0.063595369,24.040001,-3.0,24.55,34.55,1.0,0.0,0.0,0.0
4.4845462,1.9792155,-0.27843615,0.0,23.889999,-3.24,28.78,38.78,1.0,0.0,0.0,0.0
4.4936771,-6.5596433,-0.2800805,0.063595369,23.77,-3.26,25.5,35.5,1.0,0.0,0.0,0.0
4.6675744,-6.560112,-0.42498314,0.063595369,-54.560001,-3.02,22.04,46.66,1.0,16.0,0.0,0.0
4.6685295,-6.560607,-0.42256179,0.0,-54.560001,-3.0,27.75,51.09,1.0,91.0,0.0,0.0
4.6712623,-6.2510152,-0.42897749,-0.063595369,-54.540001,-3.04,24.17,46.47,1.0,0.0,0.0,0.0
5.3830366,-6.2492008,-0.45888367,0.0,-49.259998,-3.1800001,29.67,46.39,1.0,30.0,0.0,0.0
5.389936,2.6987786,-0.46791849,0.063595369,-49.220001,-3.24,24.98,42.06,1.0,0.0,0.0,0.0
5.7776766,2.7067218,-0.25837898,0.0,25.030001,-2.3199999,28.32,39.78,1.0,53.0,0.0,0.0
5.7901349,-6.0973458,-0.26307711,0.063595369,25.049999,-2.3499999,24.89,36.35,1.0,0.0,0.0,0.0
6.3000059,-6.0946312,-0.11834183,-0.063595369,-44.060001,-0.76999998,25.64,38.43,1.0,0.0,0.0,0.0
6.3000288,-6.0907588,-0.11442227,0.0,-44.049999,-0.74000001,30.31,43.09,1.0,51.0,0.0,0.0
6.3097692,-6.2357063,-0.12102179,0.063595369,-43.98,-0.79000002,26.22,39.01,1.0,0.0,0.0,0.0
6.5159159,-6.2374015,-1.1563343,0.063595369,-43.740002,-7.3000002,25.19,37.74,1.0,0.0,0.0,0.0
6.5237861,-6.2374015,-1.1309338,0.0,-43.709999,-7.1399999,29.15,41.7,1.0,22.0,0.0,0.0
6.5673962,-6.2545981,-1.1258886,-0.063595369,-43.599998,-7.0700002,24.75,37.3,1.0,0.0,0.0,0.0
6.6319199,-2.6691766,0.0065596625,-3.3705547,-21.92,0.050000001,34.13,45.27,1.0,54.0,1.0,0.0
6.6342916,-2.6613784,0.012320983,-3.3069592,-21.85,0.090000004,32.65,43.79,1.0,37.0,1.0,0.0
6.6388879,-2.6656122,-0.016777858,-3.43415,-21.870001,-0.13,28.57,39.71,1.0,0.0,1.0,0.0
6.643158,-2.649225,0.015980175,-3.2433639,-21.74,0.12,24.24,35.37,1.0,0.0,1.0,0.0
6.6891222,-3.4722099,-0.16759822,-3.1797686,-27.43,-1.27,16.78,41.79,1.0,0.0,1.0,0.0
6.7109718,-3.5351753,-0.19235598,-3.116173,-27.77,-1.45,12.56,37.86,1.0,0.0,1.0,0.0
6.7309475,-2.6958909,0.0015379214,-3.3069592,-21.82,0.0099999998,40.89,53.9,1.0,87.0,1.0,0.0
6.7382436,-2.7227826,-0.0035155409,-3.3705547,-22.0,-0.02,43.23,55.54,1.0,100.0,1.0,0.0
6.7710967,-2.7128589,-0.010088034,-3.3069592,-21.83,-0.07,28.28,52.41,1.0,74.0,1.0,0.0
6.7839742,-2.7578292,0.0039096973,-3.3705547,-22.120001,0.029999999,31.32,55.16,1.0,100.0,1.0,0.0
6.8553419,-3.2096345,0.1772178,-3.2433639,-25.08,1.34,16.43,44.66,1.0,25.0,1.0,0.0
6.889853,-3.7994897,0.26853728,-3.0525777,-28.870001,1.95,13.87,41.59,1.0,0.0,1.0,0.0
6.9049492,-2.5071774,-0.15833309,-3.4977453,-19.950001,-1.23,29.12,41.42,1.0,0.0,1.0,0.0
6.9245372,-3.3894727,-0.26627168,-3.1797686,-26.08,-1.97,16.03,44.69,1.0,17.0,1.0,0.0
6.9269972,-3.8071039,0.26567209,-3.116173,-28.790001,1.92,19.52,46.98,1.0,79.0,1.0,0.0
6.9560447,-2.5202026,-0.080640592,-3.43415,-19.91,-0.62,30.34,53.52,1.0,87.0,1.0,0.0
7.0009646,-3.8763659,0.19209392,-3.0525777,-28.969999,1.37,17.23,39.53,1.0,0.0,1.0,0.0
7.0061612,-3.8622439,0.1951596,-3.116173,-28.860001,1.39,23.55,45.01,1.0,51.0,1.0,0.0
7.0139623,-2.5552843,-0.18882497,-3.4977453,-20.01,-1.4400001,23.68,46.49,1.0,62.0,1.0,0.0
7.0208154,-2.5454235,0.013480856,-3.3705547,-19.92,0.1,20.81,49.16,1.0,56.0,1.0,0.0
7.0267906,-3.8648078,0.15120666,-3.1797686,-28.809999,1.08,23.07,43.19,1.0,0.0,1.0,0.0
7.0598164,-3.27584,0.13354476,-3.2433639,-24.889999,0.98000002,18.2,41.82,1.0,0.0,1.0,0.0
7.068264,-3.2369821,0.032829266,-3.3069592,-24.6,0.23999999,16.93,39.96,1.0,0.0,1.0,0.0
7.0774193,-2.4839323,0.27354366,-3.43415,-19.33,2.0799999,22.94,50.7,1.0,87.0,1.0,0.0
7.1183057,-4.0089583,0.20209488,-3.116173,-29.379999,1.41,21.02,37.15,1.0,0.0,1.0,0.0
7.140944,-3.8972845,-0.52387822,-2.9253869,-28.620001,-3.6800001,9.0,33.62,1.0,0.0,1.0,0.0
7.141408,-2.4391308,0.29498208,-3.4977453,-18.85,2.23,18.35,45.72,1.0,67.0,1.0,0.0
7.1443319,-2.3314223,-0.26226544,-3.8157222,-18.07,-1.99,14.57,33.32,1.0,0.0,1.0,0.0
7.147305,-2.3311138,-0.14359869,-3.5613408,-18.059999,-1.09,11.0,32.99,1.0,0.0,1.0,0.0
7.1623249,-2.3333323,-0.17906073,-2.9889824,-18.040001,-1.36,10.28,36.68,1.0,0.0,1.0,0.0
7.183341,-2.3382201,-0.19335893,-3.0525777,-18.030001,-1.46,12.02,37.6,1.0,0.0,1.0,0.0
7.1952238,-2.3389292,-0.28871292,-3.8157222,-18.0,-2.1800001,10.21,33.6,1.0,0.0,1.0,0.0
7.2186208,-2.3263342,-0.37109423,-2.0986471,-17.860001,-2.8,9.38,33.2,1.0,0.0,1.0,0.0
7.2265868,-2.3449976,-0.17794538,-2.9889824,-17.969999,-1.34,9.97,38.07,1.0,0.0,1.0,0.0
7.2318106,-6.1765494,-0.011553698,0.0,-40.5,-0.059999999,30.8,43.81,1.0,45.0,0.0,0.0
7.2330675,-2.338259,-0.46366811,-1.3990982,-17.91,-3.49,19.04,35.06,1.0,0.0,1.0,0.0
7.2332273,-2.5731137,-0.71433127,-3.3705547,-19.58,-5.3099999,17.36,40.42,1.0,0.0,1.0,0.0
7.2437954,-2.3712006,-0.24486478,-2.9253869,-18.120001,-1.84,8.13,35.81,1.0,0.0,1.0,0.0
