Point_X (m),Point_Y (m),Point_Z (m),Point_V (m/s),Point_azimuth (deg),Point_elevation (deg),Point_snr (dB),Point_Power (dB),Point_Valid (-),Point_Probability (-),Point_Mstate (-),Point_Class (-)
2.1268249,2.2281661,-0.28944394,0.0,46.330002,-5.3600001,29.97,39.97,1.0,0.0,0.0,0.0
2.132082,2.4622543,-0.28574228,0.063595369,46.119999,-5.3000002,26.1,36.51,1.0,0.0,0.0,0.0
2.3081644,2.4659069,-0.25899065,0.063595369,46.849998,-4.3800001,25.49,36.63,1.0,0.0,0.0,0.0
2.3115139,2.3185456,-0.27131772,0.0,46.849998,-4.5799999,29.88,40.68,1.0,28.0,0.0,0.0
2.7431107,2.3131382,-0.26769289,0.063595369,40.200001,-4.2600002,27.73,38.53,1.0,0.0,0.0,0.0
2.747406,5.9874067,-0.26791236,0.0,40.09,-4.2600002,31.57,42.36,1.0,35.0,0.0,0.0
3.3886294,-6.8132572,-0.31083456,0.0,60.490002,-2.5799999,22.6,34.64,1.0,0.0,0.0,0.0
4.089541,-6.8580275,-0.44164786,-0.12719074,-59.02,-3.1800001,20.88,33.43,1.0,0.0,0.0,0.0
4.0929227,-6.8523493,-0.46106622,0.0,-59.169998,-3.3,38.71,51.27,1.0,87.0,0.0,0.0
4.0946779,-6.8584952,-0.45526129,-0.063595369,-59.130001,-3.26,34.54,47.09,1.0,19.0,0.0,0.0
4.094986,-6.9158278,-0.46658915,0.063595369,-59.150002,-3.3399999,34.01,46.8,1.0,19.0,0.0,0.0
4.1016788,-6.8345408,-0.46079138,0.0,-59.32,-3.27,38.71,51.5,1.0,95.0,0.0,0.0
4.1040773,-6.9164371,-0.47366324,0.12719074,-59.009998,-3.4000001,19.85,32.64,1.0,0.0,0.0,0.0
4.1050491,-6.9110637,-0.46327242,0.063595369,-59.299999,-3.29,34.36,47.15,1.0,30.0,0.0,0.0
4.1073232,-6.9241581,-0.45497072,-0.063595369,-59.27,-3.23,34.63,47.18,1.0,27.0,0.0,0.0
4.1553121,1.9806678,-0.44306952,0.12719074,-59.029999,-3.1400001,20.38,33.17,1.0,0.0,0.0,0.0
4.498549,1.9636669,-0.28187969,0.0,23.76,-3.28,27.27,38.41,1.0,0.0,0.0,0.0
5.2338219,-6.2575078,-0.49229959,-0.063595369,20.559999,-5.0300002,24.9,36.04,1.0,0.0,0.0,0.0
5.3701224,-6.451067,-0.31712827,0.063595369,-49.360001,-2.2,29.34,41.64,1.0,0.0,0.0,0.0
5.6040888,-6.4551902,-0.18810627,0.0,-49.009998,-1.26,33.42,45.73,1.0,96.0,0.0,0.0
5.6060219,-6.4533114,-0.20160468,-0.063595369,-49.02,-1.35,29.32,41.62,1.0,32.0,0.0,0.0
5.6091475,-6.5314608,-0.15842512,0.063595369,-49.0,-1.0599999,28.89,41.44,1.0,18.0,0.0,0.0
5.8334918,-6.4824929,-0.15834267,-0.063595369,-48.23,-1.03,26.14,38.44,1.0,0.0,0.0,0.0
5.8796897,-6.4642181,-0.13747986,0.0,-47.790001,-0.88999999,29.79,42.35,1.0,73.0,0.0,0.0
5.9073949,4.9093232,-0.12048225,0.063595369,-47.57,-0.77999997,26.08,38.38,1.0,0.0,0.0,0.0
8.5201721,4.9256535,0.7065866,-0.12719074,29.950001,4.0999999,24.49,37.28,1.0,0.0,0.0,0.0
8.534934,4.9256535,0.67820328,-0.063595369,29.98,3.9300001,38.89,51.9,1.0,61.0,0.0,0.0
8.5359945,4.935442,0.68656546,0.063595369,30.030001,3.98,39.18,51.97,1.0,58.0,0.0,0.0
8.5361385,4.9301691,0.67806864,0.0,30.0,3.9300001,43.3,56.31,1.0,100.0,0.0,0.0
8.6494617,5.0373082,0.49035704,-0.12719074,30.209999,2.8,26.11,39.54,1.0,0.0,0.0,0.0
8.6538534,5.0385318,0.44528809,-0.063595369,30.200001,2.54,41.67,54.89,1.0,74.0,0.0,0.0
8.6569767,5.0402007,0.43917316,0.0,30.200001,2.51,46.19,59.41,1.0,100.0,0.0,0.0
8.6607599,4.3180952,0.16718173,0.063595369,26.5,0.98000002,38.06,50.61,1.0,60.0,0.0,0.0
8.6637001,5.0452456,0.4653503,0.063595369,30.209999,2.6500001,42.18,55.19,1.0,74.0,0.0,0.0
8.6861744,5.0767727,0.71349603,0.12719074,30.299999,4.0500002,28.45,41.46,1.0,23.0,0.0,0.0
8.7328997,5.0968871,0.76462096,0.0,30.26,4.3200002,42.47,55.48,1.0,100.0,0.0,0.0
8.7356482,5.1008983,0.75294191,-0.063595369,30.280001,4.25,37.81,50.82,1.0,74.0,0.0,0.0
8.7538815,5.134481,0.73383719,-0.12719074,30.389999,4.1300001,23.11,36.12,1.0,0.0,0.0,0.0
9.0057745,6.7988424,0.18301529,0.0,37.049999,0.92000002,40.6,52.64,1.0,100.0,0.0,0.0
9.0061731,6.7992506,0.17549458,0.063595369,37.049999,0.88999999,36.54,48.3,1.0,60.0,0.0,0.0
9.0062475,6.797277,0.19511545,-0.063595369,37.040001,0.99000001,36.12,48.17,1.0,38.0,0.0,0.0
9.0112534,6.7883601,0.14950715,0.12719074,36.990002,0.75,22.01,33.47,1.0,0.0,0.0,0.0
9.0114136,6.7773199,0.23795734,-0.12719074,36.939999,1.2,21.2,33.5,1.0,0.0,0.0,0.0
9.0309668,3.4078979,0.16167273,-0.12719074,20.67,0.94999999,23.79,36.34,1.0,0.0,0.0,0.0
9.0494204,3.4159734,0.1398972,0.12719074,20.68,0.81999999,23.15,35.7,1.0,0.0,0.0,0.0
9.0520382,3.4156013,0.12551908,-0.063595369,20.67,0.74000001,38.12,50.68,1.0,73.0,0.0,0.0
9.0545673,3.4160407,0.11959437,0.0,20.67,0.69999999,42.45,55.0,1.0,100.0,0.0,0.0
9.0545931,6.9041886,0.21733293,-0.063595369,37.32,1.09,35.48,47.78,1.0,26.0,0.0,0.0
9.0547218,6.9032741,0.20836943,0.0,37.32,1.04,39.68,52.23,1.0,100.0,0.0,0.0
9.0551882,6.905458,0.20113944,0.063595369,37.32,1.01,35.37,47.92,1.0,57.0,0.0,0.0
9.0553055,6.9317913,0.17909035,0.12719074,37.43,0.88999999,20.92,33.48,1.0,0.0,0.0,0.0
9.0553942,3.4159307,0.11788529,0.063595369,20.66,0.69,38.06,50.61,1.0,60.0,0.0,0.0
9.0776157,6.9123635,0.2204888,-0.12719074,37.279999,1.1,21.1,33.41,1.0,0.0,0.0,0.0
9.0959139,5.6554346,0.17458495,-0.063595369,31.870001,0.93000001,31.73,44.96,1.0,23.0,0.0,0.0
9.252037,3.4591951,0.030137029,-0.063595369,20.5,0.17,38.89,51.9,1.0,61.0,0.0,0.0
9.255127,3.4603503,0.024871051,0.0,20.5,0.14,43.3,56.31,1.0,100.0,0.0,0.0
9.621479,7.2893462,0.038607411,0.063595369,37.139999,0.18000001,31.4,43.71,1.0,0.0,0.0,0.0
9.6243162,7.2892666,0.059435919,0.0,37.130001,0.28,35.8,48.1,1.0,68.0,0.0,0.0
9.6247091,7.2837911,0.095358543,-0.063595369,37.110001,0.44999999,31.98,43.74,1.0,0.0,0.0,0.0
9.6797304,5.8021111,0.10027306,0.063595369,30.93,0.5,36.54,48.3,1.0,60.0,0.0,0.0
9.6799021,5.8008513,0.1065257,0.0,30.93,0.54000002,40.6,52.64,1.0,100.0,0.0,0.0
9.6806965,5.7986207,0.11681811,-0.063595369,30.92,0.58999997,36.12,48.17,1.0,38.0,0.0,0.0
9.682147,5.7928228,0.078001194,0.12719074,30.889999,0.38999999,22.01,33.47,1.0,0.0,0.0,0.0
9.7393398,5.9007864,0.11208522,0.0,31.209999,0.56,39.68,52.23,1.0,100.0,0.0,0.0
10.3792,-6.6189976,-0.37010103,-0.12719074,-32.52,-1.72,20.67,32.98,1.0,0.0,0.0,0.0
10.390957,-6.6357808,-0.35284129,0.12719074,-32.560001,-1.63,21.21,33.52,1.0,0.0,0.0,0.0
10.405055,-6.6328588,-0.29424417,-0.063595369,-32.509998,-1.36,36.13,48.68,1.0,56.0,0.0,0.0
10.411129,-6.6290083,-0.26310146,0.0,-32.48,-1.22,40.69,53.25,1.0,74.0,0.0,0.0
10.414315,-6.6260161,-0.26467615,0.063595369,-32.459999,-1.22,36.55,48.86,1.0,53.0,0.0,0.0
10.527162,-6.6371417,-0.17283565,-0.12719074,-32.23,-0.79000002,23.97,37.4,1.0,0.0,0.0,0.0
10.54203,-6.6179185,-0.14384674,-0.063595369,-32.110001,-0.66000003,40.87,53.88,1.0,79.0,0.0,0.0
10.546741,-6.6113958,-0.14634939,0.0,-32.080002,-0.67000002,45.3,58.52,1.0,100.0,0.0,0.0
10.550728,-6.6079497,-0.14873327,0.063595369,-32.049999,-0.68000001,41.2,54.21,1.0,87.0,0.0,0.0
10.620906,-6.6168504,-0.058855303,-0.063595369,-31.92,-0.25999999,37.41,50.42,1.0,63.0,0.0,0.0
10.622369,-6.6118698,-0.063918851,0.0,-31.9,-0.28999999,41.63,55.05,1.0,100.0,0.0,0.0
10.623881,-6.610075,-0.066152737,0.063595369,-31.879999,-0.30000001,37.18,50.8,1.0,71.0,0.0,0.0
10.62975,-6.6248374,-0.043716367,0.12719074,-31.93,-0.19,22.46,35.88,1.0,0.0,0.0,0.0
10.639581,-6.6307392,-0.11634532,-0.12719074,-31.93,-0.52999997,21.64,34.43,1.0,0.0,0.0,0.0
11.458496,-6.1411648,1.5542041,0.0,-28.18,6.8099999,29.33,43.13,1.0,64.0,0.0,0.0
12.163268,-5.9761147,0.5115698,0.063595369,-26.16,2.1600001,22.86,36.29,1.0,0.0,0.0,0.0
12.16638,-5.9724655,0.52310467,0.0,-26.139999,2.21,27.73,40.95,1.0,0.0,0.0,0.0
12.169641,-5.960803,0.52504188,-0.063595369,-26.09,2.21,23.69,36.91,1.0,0.0,0.0,0.0
12.33377,-6.0905452,0.47410339,0.0,-26.280001,1.97,25.0,37.79,1.0,0.0,0.0,0.0
12.339344,-6.0871105,0.45381042,-0.063595369,-26.25,1.88,20.57,33.36,1.0,0.0,0.0,0.0
12.342573,-6.1000791,0.47504199,0.063595369,-26.299999,1.97,20.52,33.53,1.0,0.0,0.0,0.0
12.630873,-6.1551509,-0.48656365,0.0,-25.98,-1.98,22.62,35.41,1.0,0.0,0.0,0.0
12.635714,-6.1658688,-0.61200523,-0.063595369,-26.01,-2.49,18.54,31.76,1.0,0.0,0.0,0.0
12.636269,-6.1599646,-0.47015056,0.063595369,-25.98,-1.91,18.72,31.5,1.0,0.0,0.0,0.0
13.990116,-6.2270312,-0.48786718,0.063595369,-23.99,-1.8200001,16.04,30.19,1.0,0.0,0.0,0.0
14.000527,-6.2255988,-0.50726002,0.0,-23.969999,-1.89,20.88,34.86,1.0,0.0,0.0,0.0
14.198894,-6.1986136,-0.47879595,-0.063595369,-23.58,-1.77,16.79,31.27,1.0,0.0,0.0,0.0
14.203968,-6.1945629,-0.49733731,0.0,-23.559999,-1.83,20.99,35.46,1.0,0.0,0.0,0.0
14.221514,-6.1992826,-0.50834727,0.063595369,-23.549999,-1.87,16.26,30.89,1.0,0.0,0.0,0.0
14.390378,-6.4437208,-0.45483407,0.0,-24.120001,-1.65,18.47,32.94,1.0,0.0,0.0,0.0
16.549994,1.8013999,-0.4442794,0.0,6.21,-1.52,30.65,45.12,1.0,36.0,0.0,0.0
16.553289,1.781534,-0.46063688,-0.063595369,6.1399999,-1.58,26.6,40.75,1.0,0.0,0.0,0.0
17.465252,5.0820904,0.41913027,0.12719074,16.219999,1.3099999,15.16,29.47,1.0,0.0,0.0,0.0
17.492207,5.0720863,0.34156445,-0.12719074,16.17,1.0700001,18.18,31.79,1.0,0.0,0.0,0.0
17.500235,5.0912185,0.40782002,0.063595369,16.219999,1.28,30.46,44.61,1.0,10.0,0.0,0.0
17.502161,5.0927172,0.38964617,-0.063595369,16.219999,1.22,31.26,45.06,1.0,40.0,0.0,0.0
17.502983,5.0929489,0.40312779,0.0,16.219999,1.26,35.21,49.19,1.0,99.0,0.0,0.0
17.607862,5.1661768,0.30959809,-0.063595369,16.35,0.95999998,31.42,45.73,1.0,23.0,0.0,0.0
17.611601,5.1710629,0.30246431,0.0,16.360001,0.94,35.59,49.91,1.0,91.0,0.0,0.0
17.616121,5.1737742,0.29139099,0.063595369,16.360001,0.89999998,31.19,45.34,1.0,0.0,0.0,0.0
17.621387,5.1279178,0.35912904,-0.12719074,16.219999,1.12,18.22,32.37,1.0,0.0,0.0,0.0
17.628,5.1839919,0.21382812,0.12719074,16.379999,0.66000003,15.62,29.77,1.0,0.0,0.0,0.0
18.641405,-7.4936309,-0.32012394,0.0,-21.889999,-0.91000003,22.53,36.85,1.0,0.0,0.0,0.0
19.492388,-6.3169289,-0.46987006,0.0,-17.950001,-1.3099999,20.74,35.36,1.0,0.0,0.0,0.0
19.566259,-0.11343038,0.76116413,-0.063595369,-0.33000001,2.22,20.24,33.86,1.0,0.0,0.0,0.0
19.568079,-0.10541359,0.76145643,0.0,-0.30000001,2.22,24.48,37.9,1.0,0.0,0.0,0.0
19.582508,-0.10549133,-0.12216436,0.0,-0.30000001,-0.34999999,24.48,37.9,1.0,0.0,0.0,0.0
19.73,-0.16110568,-0.88081789,-0.12719074,-0.46000001,-2.55,21.31,35.46,1.0,0.0,0.0,0.0
19.745844,-0.16123505,0.38777152,-0.12719074,-0.46000001,1.12,21.31,35.46,1.0,0.0,0.0,0.0
19.748949,0.10587138,0.73280048,0.12719074,0.30000001,2.1199999,20.79,34.94,1.0,0.0,0.0,0.0
19.749599,-0.26151916,0.58261424,-0.063595369,-0.75,1.6799999,36.64,50.62,1.0,67.0,0.0,0.0
19.750254,-0.26565486,0.58699775,0.0,-0.76999998,1.7,41.11,55.09,1.0,100.0,0.0,0.0
19.750895,-0.26844651,0.59231925,0.063595369,-0.76999998,1.71,36.72,50.7,1.0,68.0,0.0,0.0
19.751129,0.089324042,0.58261424,-0.063595369,0.25,1.6799999,36.64,50.62,1.0,67.0,0.0,0.0
19.751806,0.09579733,0.58699775,0.0,0.27000001,1.7,41.11,55.09,1.0,100.0,0.0,0.0
19.752466,0.099743292,0.59231925,0.063595369,0.28,1.71,36.72,50.7,1.0,68.0,0.0,0.0
19.755541,0.10590672,-0.52593404,0.12719074,0.30000001,-1.52,20.79,34.94,1.0,0.0,0.0,0.0
19.761385,-6.0820508,1.8880248,-0.063595369,-17.1,5.21,16.09,31.01,1.0,0.0,0.0,0.0
19.791847,-0.27504209,-0.47851363,-0.063595369,-0.79000002,-1.38,39.64,54.11,1.0,78.0,0.0,0.0
19.792355,-0.3203375,-0.47928217,0.0,-0.92000002,-1.38,44.32,58.63,1.0,100.0,0.0,0.0
19.793617,0.074745588,-0.47851363,-0.063595369,0.20999999,-1.38,39.64,54.11,1.0,78.0,0.0,0.0
19.794287,-0.3250775,-0.48488969,0.063595369,-0.94,-1.4,39.83,54.3,1.0,87.0,0.0,0.0
19.794937,-0.019302374,-0.47928217,0.0,-0.050000001,-1.38,44.32,58.63,1.0,100.0,0.0,0.0
19.796406,-0.25045928,-0.55252433,-0.12719074,-0.72000003,-1.59,24.5,38.81,1.0,0.0,0.0,0.0
19.796949,-0.015800927,-0.48488969,0.063595369,-0.039999999,-1.4,39.83,54.3,1.0,87.0,0.0,0.0
19.812065,-0.27066582,-0.4739626,0.12719074,-0.77999997,-1.37,24.58,38.89,1.0,0.0,0.0,0.0
19.813679,0.096377082,-0.4739626,0.12719074,0.27000001,-1.37,24.58,38.89,1.0,0.0,0.0,0.0
19.867718,-0.27626157,-0.5797013,-0.063595369,-0.79000002,-1.67,33.19,46.99,1.0,30.0,0.0,0.0
19.86849,-0.27508867,-0.55856651,0.0,-0.79000002,-1.61,37.97,51.59,1.0,74.0,0.0,0.0
19.870434,-0.27580529,-0.55004424,0.063595369,-0.79000002,-1.58,33.46,47.44,1.0,54.0,0.0,0.0
19.885639,-0.29814103,-0.68875289,-0.12719074,-0.85000002,-1.98,19.06,32.68,1.0,0.0,0.0,0.0
19.891386,-0.26994827,-0.53848392,0.12719074,-0.76999998,-1.55,19.44,33.42,1.0,0.0,0.0,0.0
20.030821,-7.7556429,1.7129294,-0.063595369,-21.16,4.5500002,22.55,37.02,1.0,0.0,0.0,0.0
20.052954,-7.7108145,1.6613415,0.0,-21.030001,4.4200001,26.99,41.46,1.0,0.0,0.0,0.0
20.076078,-7.6614208,1.6396034,0.063595369,-20.879999,4.3600001,22.86,37.49,1.0,0.0,0.0,0.0
20.080658,-7.9658418,1.5683538,-0.063595369,-21.629999,4.1500001,21.82,35.62,1.0,0.0,0.0,0.0
20.097702,-7.9100604,1.5443442,0.0,-21.48,4.0799999,26.0,39.98,1.0,20.0,0.0,0.0
20.13446,-7.8333254,1.5366426,0.063595369,-21.25,4.0599999,21.92,36.23,1.0,0.0,0.0,0.0
20.327332,-8.7783222,1.6068099,0.063595369,-23.35,4.1500001,17.56,31.54,1.0,0.0,0.0,0.0
20.332756,-8.7697163,1.6399759,-0.063595369,-23.33,4.23,17.11,31.26,1.0,0.0,0.0,0.0
20.338129,-8.7663088,1.6244311,0.0,-23.309999,4.1900001,21.6,35.58,1.0,0.0,0.0,0.0
20.44301,-6.6216197,1.6346618,0.063595369,-17.940001,4.3499999,22.86,37.49,1.0,0.0,0.0,0.0
20.535505,-8.7967148,1.5017761,0.0,-23.18,3.8399999,19.57,33.88,1.0,0.0,0.0,0.0
22.728922,-11.702991,5.0131869,-0.063595369,-27.24,11.09,13.76,28.08,1.0,0.0,0.0,0.0
23.080362,-5.6422176,3.0195744,-0.063595369,-13.73,7.2399998,16.36,31.28,1.0,0.0,0.0,0.0
23.469265,-7.9295759,0.93739724,-0.063595369,-18.66,2.1600001,26.81,41.58,1.0,0.0,0.0,0.0
23.479315,-7.9190974,0.9312005,0.0,-18.629999,2.1500001,31.02,45.79,1.0,39.0,0.0,0.0
23.484468,-7.9060326,0.93743604,0.063595369,-18.6,2.1600001,26.66,41.28,1.0,0.0,0.0,0.0
