Point_X (m),Point_Y (m),Point_Z (m),Point_V (m/s),Point_azimuth (deg),Point_elevation (deg),Point_snr (dB),Point_Power (dB),Point_Valid (-),Point_Probability (-),Point_Mstate (-),Point_Class (-)
2.1177738,2.2113562,-0.29574972,0.0,46.23,-5.5100002,31.47,41.47,1.0,67.0,0.0,0.0
2.1225367,2.4390721,-0.29874188,0.063595369,46.200001,-5.5599999,27.52,37.52,1.0,0.0,0.0,0.0
2.2961915,2.4367747,-0.29412848,0.0,46.720001,-5.0100002,30.46,40.88,1.0,64.0,0.0,0.0
2.2976136,2.1362629,-0.3057299,0.063595369,46.68,-5.21,26.74,37.16,1.0,0.0,0.0,0.0
2.5803914,2.2886329,-0.29332635,0.0,39.619999,-5.0,30.46,40.88,1.0,64.0,0.0,0.0
2.7306588,2.3003638,-0.27939692,-0.063595369,39.959999,-4.48,27.57,38.36,1.0,14.0,0.0,0.0
2.7468452,2.2957654,-0.27442113,0.0,39.939999,-4.3699999,31.19,42.33,1.0,76.0,0.0,0.0
2.7470798,2.2235096,-0.27089015,0.063595369,39.880001,-4.3200002,27.62,38.41,1.0,0.0,0.0,0.0
3.0587165,2.2264564,-0.28750166,0.063595369,36.009998,-4.3400002,27.07,37.48,1.0,0.0,0.0,0.0
3.0634623,2.3244748,-0.29191372,0.0,36.0,-4.4000001,30.97,41.39,1.0,0.0,0.0,0.0
3.5921257,-6.7423043,-0.26993954,0.0,32.900002,-3.6099999,28.9,40.04,1.0,2.0,0.0,0.0
4.0147352,-6.7521086,-0.45342085,-0.063595369,-59.220001,-3.3,23.85,35.9,1.0,0.0,0.0,0.0
4.0147843,-6.749805,-0.40139502,0.063595369,-59.259998,-2.9200001,22.75,34.79,1.0,0.0,0.0,0.0
4.0164585,-6.8652835,-0.40942872,0.0,-59.240002,-2.98,27.03,39.33,1.0,0.0,0.0,0.0
4.0597897,-6.8699832,-0.43079838,0.12719074,-59.400002,-3.0899999,20.06,32.85,1.0,0.0,0.0,0.0
4.0664144,-6.9303432,-0.47077352,-0.063595369,-59.369999,-3.3699999,34.24,47.66,1.0,32.0,0.0,0.0
4.0692897,-6.8681021,-0.47335339,-0.063595369,-59.57,-3.3699999,34.82,47.83,1.0,46.0,0.0,0.0
4.0750947,-6.8669624,-0.4637523,0.0,-59.310001,-3.3199999,38.81,51.82,1.0,100.0,0.0,0.0
4.0790129,-6.9267554,-0.45947742,0.063595369,-59.279999,-3.29,34.57,47.36,1.0,27.0,0.0,0.0
4.0796676,-6.9261293,-0.46630859,0.0,-59.5,-3.3099999,39.48,52.03,1.0,100.0,0.0,0.0
4.0859127,1.9787767,-0.46133259,0.063595369,-59.459999,-3.28,35.06,47.61,1.0,34.0,0.0,0.0
4.4836211,1.9802858,-0.25285345,0.0,23.809999,-2.95,28.86,38.41,1.0,0.0,0.0,0.0
4.4922132,-6.5589356,-0.25752115,0.063595369,23.780001,-3.0,25.17,34.71,1.0,0.0,0.0,0.0
4.6472769,-6.5587974,-0.44273773,-0.063595369,-54.68,-3.1500001,34.82,47.83,1.0,46.0,0.0,0.0
4.6507654,-6.5563364,-0.44003648,0.0,-54.66,-3.1300001,39.48,52.03,1.0,100.0,0.0,0.0
4.6583962,-6.5552592,-0.43885472,0.063595369,-54.599998,-3.1199999,35.06,47.61,1.0,34.0,0.0,0.0
4.7003236,-6.5552592,-0.41039914,0.12719074,-54.349998,-2.9100001,20.77,33.33,1.0,0.0,0.0,0.0
5.3737059,-6.2456832,-0.38730809,0.0,-49.290001,-2.6900001,34.04,46.34,1.0,0.0,0.0,0.0
5.3775234,-6.2476182,-0.37806073,0.063595369,-49.279999,-2.6199999,30.07,42.11,1.0,0.0,0.0,0.0
5.6018076,-6.465836,-0.10085224,0.12719074,-49.09,-0.67000002,15.92,28.48,1.0,0.0,0.0,0.0
5.6035452,-6.4560823,-0.14774446,-0.063595369,-49.040001,-0.99000001,28.95,41.73,1.0,0.0,0.0,0.0
5.6059437,-6.4570007,-0.14595488,0.0,-49.029999,-0.97000003,33.34,46.12,1.0,40.0,0.0,0.0
5.606607,-6.4578447,-0.15145414,0.063595369,-49.029999,-1.01,29.34,41.89,1.0,0.0,0.0,0.0
5.7770724,-6.5840783,-0.10860543,-0.063595369,-48.73,-0.70999998,26.63,38.67,1.0,0.0,0.0,0.0
5.7789316,-6.5770469,-0.11786877,0.0,-48.689999,-0.76999998,31.09,43.13,1.0,40.0,0.0,0.0
5.7877879,-6.5692019,-0.12729314,0.063595369,-48.610001,-0.82999998,27.52,38.98,1.0,0.0,0.0,0.0
6.2897582,-6.096139,-0.11169343,-0.063595369,-44.099998,-0.73000002,26.63,38.67,1.0,0.0,0.0,0.0
6.5453744,-6.3242369,0.045999039,0.063595369,-44.009998,0.28,24.8,37.1,1.0,0.0,0.0,0.0
