X,Y,Z,Reflectivity
47.618,1.31,6.312,20.0
45.113,1.25,5.727,19.0
45.122,1.258,5.475,17.0
45.48,1.277,5.259,17.0
48.988,1.385,5.392,9.0
50.825,1.446,5.311,9.0
47.613,1.368,6.329,22.0
45.141,1.305,5.747,29.0
45.193,1.315,5.5,29.0
45.318,1.328,5.257,29.0
45.936,1.354,5.072,14.0
50.771,1.506,5.323,5.0
47.653,1.426,6.351,13.0
45.034,1.356,5.748,26.0
45.236,1.37,5.52,20.0
45.29,1.381,5.267,39.0
48.653,1.492,5.386,13.0
48.542,1.498,5.103,19.0
47.652,1.483,6.364,16.0
44.424,1.392,5.683,20.0
45.355,1.429,5.546,21.0
45.351,1.436,5.287,31.0
48.846,1.557,5.42,13.0
51.048,1.637,5.379,6.0
43.979,1.423,5.884,24.0
43.676,1.421,5.597,20.0
45.362,1.484,5.557,21.0
45.322,1.491,5.293,28.0
45.854,1.516,5.098,19.0
48.962,1.628,5.169,17.0
44.186,1.483,5.921,23.0
43.663,1.473,5.604,27.0
45.47,1.542,5.579,28.0
47.637,1.624,5.572,5.0
46.001,1.576,5.122,19.0
55.239,1.903,5.841,11.0
44.034,1.53,5.907,27.0
43.684,1.526,5.612,36.0
45.332,1.591,5.568,19.0
45.641,1.61,5.344,19.0
46.071,1.633,5.135,35.0
48.559,1.73,5.14,16.0
43.909,1.578,5.895,24.0
43.686,1.578,5.617,38.0
45.247,1.643,5.561,29.0
45.693,1.666,5.354,27.0
46.007,1.685,5.131,38.0
48.444,1.783,5.13,22.0
43.727,1.624,5.873,30.0
43.693,1.63,5.62,39.0
45.333,1.699,5.574,33.0
45.666,1.719,5.352,31.0
45.661,1.727,5.094,20.0
48.343,1.837,5.121,20.0
43.674,1.674,5.866,27.0
44.002,1.693,5.66,26.0
45.359,1.753,5.577,30.0
45.75,1.776,5.361,31.0
45.165,1.761,5.037,18.0
48.635,1.904,5.15,22.0
43.539,1.72,5.846,27.0
43.855,1.739,5.639,35.0
45.508,1.813,5.593,36.0
45.604,1.824,5.341,25.0
45.283,1.818,5.048,19.0
49.152,1.982,5.201,23.0
43.478,1.768,5.834,32.0
44.317,1.809,5.694,19.0
45.952,1.883,5.643,27.0
45.764,1.882,5.355,23.0
45.22,1.867,5.035,30.0
49.579,2.056,5.241,7.0
43.598,1.823,5.845,34.0
44.072,1.849,5.657,18.0
45.736,1.927,5.61,20.0
45.617,1.929,5.331,32.0
45.346,1.924,5.042,34.0
56.326,2.399,5.945,7.0
43.659,1.876,5.845,32.0
44.104,1.901,5.653,17.0
45.782,1.981,5.607,20.0
45.588,1.979,5.319,26.0
45.376,1.977,5.037,35.0
56.368,2.465,5.938,7.0
43.791,1.931,5.853,34.0
44.945,1.988,5.75,21.0
45.667,2.027,5.582,24.0
45.561,2.029,5.305,32.0
48.377,2.161,5.358,5.0
51.312,2.3,5.392,25.0
43.799,1.98,5.843,37.0
44.358,2.011,5.663,26.0
45.579,2.073,5.559,19.0
45.543,2.078,5.29,28.0
48.346,2.213,5.34,21.0
51.088,2.346,5.353,25.0
90.636,-0.672,2.981,9.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
32.986,-0.225,0.312,0.0
28.787,-0.192,0.104,9.0
83.064,-0.539,2.572,5.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
37.847,-0.229,0.506,0.0
31.592,-0.187,0.238,1.0
28.244,-0.163,0.048,1.0
82.386,-0.462,2.391,1.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
35.424,-0.184,0.404,0.0
28.905,-0.146,0.161,1.0
26.725,-0.131,-0.006,0.0
79.996,-0.381,2.165,1.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
33.164,-0.144,0.313,1.0
28.767,-0.121,0.103,7.0
25.493,-0.104,-0.056,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
37.257,-0.137,0.499,0.0
31.53,-0.111,0.235,1.0
28.016,-0.095,0.045,1.0
24.38,-0.08,-0.102,0.0
57.6,-0.181,1.329,0.0
0.0,0.0,0.0,0.0
35.515,-0.103,0.404,0.0
28.855,-0.08,0.157,2.0
26.688,-0.071,-0.009,0.0
23.583,-0.059,-0.146,0.0
0.0,0.0,0.0,0.0
39.855,-0.09,0.606,0.0
33.213,-0.071,0.311,0.0
28.753,-0.058,0.098,6.0
25.49,-0.049,-0.06,0.0
22.105,-0.039,-0.182,0.0
0.0,0.0,0.0,0.0
36.882,-0.057,0.486,0.0
31.335,-0.045,0.23,0.0
27.629,-0.037,0.038,0.0
24.275,-0.029,-0.107,0.0
21.149,-0.023,-0.217,3.0
42.282,-0.042,0.718,0.0
0.0,0.0,0.0,0.0
30.121,-0.023,0.159,0.0
26.242,-0.017,-0.016,0.0
23.474,-0.013,-0.152,0.0
20.052,-0.009,-0.246,0.0
0.0,0.0,0.0,0.0
33.107,-0.008,0.301,0.0
28.635,-0.004,0.093,1.0
25.325,-0.001,-0.068,0.0
21.916,0.001,-0.186,0.0
18.977,0.003,-0.272,0.0
0.0,0.0,0.0,0.0
30.902,0.01,0.217,0.0
27.448,0.012,0.033,0.0
24.04,0.013,-0.113,0.0
21.054,0.013,-0.222,3.0
18.179,0.013,-0.298,0.0
34.343,0.028,0.371,0.0
28.796,0.026,0.143,0.0
26.225,0.026,-0.022,0.0
23.316,0.025,-0.158,0.0
19.823,0.023,-0.25,0.0
17.386,0.022,-0.321,0.0
0.0,0.0,0.0,0.0
28.586,0.041,0.083,2.0
25.199,0.038,-0.074,0.0
21.687,0.035,-0.192,2.0
18.738,0.032,-0.276,0.0
16.795,0.03,-0.345,0.0
30.317,0.056,0.201,0.0
27.06,0.052,0.021,0.0
23.927,0.048,-0.12,1.0
20.92,0.044,-0.229,1.0
17.972,0.039,-0.302,0.0
16.359,0.037,-0.371,0.0
28.781,0.067,0.131,1.0
25.809,0.062,-0.033,0.0
23.033,0.057,-0.164,1.0
19.505,0.05,-0.255,0.0
17.225,0.045,-0.326,0.0
15.83,0.043,-0.392,0.0
28.482,0.078,0.069,1.0
24.847,0.07,-0.084,0.0
21.491,0.062,-0.198,4.0
18.594,0.055,-0.282,0.0
16.686,0.05,-0.351,0.0
15.331,0.047,-0.412,0.0
8.164,-0.156,-0.698,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
7.227,-0.142,-0.744,0.0
0.0,0.0,0.0,0.0
6.672,-0.133,-0.765,0.0
8.14,-0.165,-0.705,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
7.182,-0.149,-0.747,0.0
0.0,0.0,0.0,0.0
6.641,-0.14,-0.768,0.0
8.056,-0.172,-0.706,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
7.105,-0.156,-0.746,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
8.028,-0.181,-0.712,0.0
0.0,0.0,0.0,0.0
7.322,-0.168,-0.733,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
8.001,-0.19,-0.717,0.0
0.0,0.0,0.0,0.0
7.287,-0.176,-0.737,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
7.263,-0.184,-0.741,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
7.187,-0.191,-0.74,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
7.173,-0.199,-0.744,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
7.131,-0.206,-0.745,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
7.728,-0.23,-0.725,0.0
0.0,0.0,0.0,0.0
7.093,-0.214,-0.747,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
7.336,-0.229,-0.735,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
7.649,-0.247,-0.728,0.0
7.32,-0.237,-0.738,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
7.267,-0.245,-0.738,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
7.259,-0.254,-0.741,0.0
6.968,-0.245,-0.751,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
7.222,-0.261,-0.741,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
7.223,-0.27,-0.744,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
31.46,-0.219,0.205,1.0
28.201,-0.187,0.031,1.0
24.659,-0.154,-0.107,0.0
21.908,-0.129,-0.214,2.0
19.038,-0.106,-0.288,0.0
0.0,0.0,0.0,0.0
31.688,-0.155,0.224,1.0
28.577,-0.129,0.048,2.0
25.046,-0.104,-0.095,0.0
22.017,-0.084,-0.203,0.0
19.138,-0.066,-0.28,0.0
37.387,-0.118,0.487,0.0
32.106,-0.09,0.244,1.0
28.684,-0.071,0.063,5.0
25.274,-0.053,-0.083,0.0
22.196,-0.039,-0.193,0.0
19.362,-0.027,-0.273,0.0
0.0,0.0,0.0,0.0
