X,Y,Z,Reflectivity
27.421,1.531,0.039,1.0
24.398,1.354,-0.099,0.0
21.594,1.193,-0.207,4.0
18.595,1.021,-0.283,0.0
16.891,0.923,-0.351,0.0
15.632,0.85,-0.411,0.0
27.194,1.464,0.037,1.0
24.525,1.313,-0.101,0.0
21.614,1.151,-0.208,2.0
18.708,0.991,-0.286,0.0
16.895,0.89,-0.351,0.0
15.515,0.812,-0.408,0.0
27.324,1.417,0.037,0.0
24.399,1.258,-0.101,0.0
21.591,1.106,-0.208,2.0
18.683,0.952,-0.285,0.0
16.917,0.857,-0.351,0.0
15.538,0.782,-0.409,0.0
27.259,1.358,0.037,0.0
24.462,1.212,-0.1,0.0
21.63,1.064,-0.208,2.0
18.588,0.909,-0.283,0.0
16.934,0.823,-0.351,0.0
15.613,0.754,-0.41,0.0
27.362,1.309,0.039,1.0
24.558,1.167,-0.099,0.0
21.642,1.021,-0.207,1.0
18.794,0.881,-0.285,0.0
16.976,0.791,-0.351,0.0
15.586,0.721,-0.408,0.0
27.446,1.257,0.042,1.0
24.534,1.116,-0.097,0.0
21.619,0.977,-0.204,1.0
18.885,0.847,-0.284,0.0
16.946,0.755,-0.348,0.0
15.637,0.692,-0.407,0.0
27.521,1.205,0.045,0.0
24.575,1.068,-0.093,1.0
21.645,0.934,-0.201,2.0
18.96,0.812,-0.282,0.0
17.037,0.725,-0.347,0.0
15.666,0.661,-0.405,0.0
27.584,1.152,0.05,0.0
24.54,1.016,-0.089,1.0
21.775,0.895,-0.198,1.0
19.102,0.779,-0.281,0.0
17.037,0.69,-0.344,0.0
15.754,0.633,-0.404,0.0
27.801,1.104,0.056,0.0
24.622,0.97,-0.084,1.0
21.92,0.856,-0.195,1.0
19.223,0.745,-0.278,0.0
17.057,0.656,-0.34,0.0
15.777,0.601,-0.401,0.0
27.976,1.054,0.064,0.0
24.897,0.929,-0.079,1.0
22.079,0.817,-0.19,0.0
19.432,0.713,-0.276,0.0
17.128,0.623,-0.337,0.0
15.81,0.57,-0.397,0.0
28.139,1.001,0.072,1.0
25.028,0.883,-0.071,0.0
22.186,0.775,-0.185,0.0
19.339,0.67,-0.268,0.0
17.232,0.591,-0.333,0.0
15.912,0.541,-0.395,0.0
28.607,0.959,0.083,1.0
25.202,0.837,-0.064,0.0
22.496,0.74,-0.18,0.0
19.561,0.637,-0.265,0.0
