X,Y,Z,Reflectivity
67.468,0.9,4.115,38.0
66.112,0.879,3.645,24.0
69.389,0.92,3.419,3.0
124.377,1.644,5.391,3.0
117.799,1.551,4.417,26.0
125.104,1.642,3.961,20.0
67.411,0.889,3.974,45.0
69.323,0.911,3.681,9.0
110.363,1.446,5.213,5.0
103.943,1.356,4.291,26.0
102.999,1.338,3.65,6.0
125.126,1.62,3.703,24.0
66.779,0.869,3.799,45.0
69.314,0.898,3.538,6.0
110.35,1.423,4.986,19.0
103.946,1.335,4.08,13.0
118.205,1.512,3.948,22.0
20.28,0.258,0.559,13.0
66.08,0.845,3.624,19.0
124.901,1.589,6.12,11.0
126.701,1.605,5.469,5.0
117.829,1.485,4.386,30.0
125.172,1.57,3.928,9.0
20.291,0.253,0.518,25.0
102.098,1.279,5.392,15.0
124.895,1.556,5.866,15.0
103.961,1.288,4.274,12.0
102.967,1.269,3.62,8.0
20.289,0.248,0.594,6.0
20.294,0.247,0.476,24.0
111.691,1.365,5.668,14.0
110.311,1.34,4.954,19.0
103.963,1.256,4.06,33.0
118.066,1.417,3.909,12.0
20.287,0.242,0.553,23.0
20.273,0.24,0.434,26.0
111.524,1.325,5.431,11.0
124.965,1.475,5.357,27.0
103.954,1.219,3.848,13.0
20.279,0.236,0.63,0.0
20.281,0.234,0.511,25.0
20.275,0.233,0.393,26.0
111.695,1.284,5.21,7.0
124.946,1.427,5.098,24.0
133.346,1.512,4.663,19.0
20.255,0.228,0.587,15.0
20.277,0.226,0.47,27.0
20.282,0.225,0.352,33.0
110.335,1.223,4.921,18.0
124.925,1.374,4.841,18.0
117.966,1.288,3.883,25.0
20.255,0.219,0.546,25.0
20.276,0.217,0.428,32.0
20.292,0.216,0.31,28.0
126.606,1.346,5.388,20.0
103.963,1.096,3.817,32.0
20.277,0.211,0.626,8.0
20.273,0.21,0.505,28.0
20.273,0.208,0.387,34.0
20.29,0.206,0.268,26.0
126.674,1.285,5.131,26.0
132.695,1.333,4.6,26.0
20.256,0.201,0.584,17.0
20.269,0.199,0.464,32.0
20.282,0.197,0.346,30.0
20.287,0.196,0.228,27.0
126.654,1.218,4.873,23.0
102.996,0.98,3.362,20.0
20.259,0.19,0.543,29.0
20.267,0.188,0.422,29.0
20.279,0.186,0.304,28.0
20.303,0.184,0.186,27.0
150.347,1.361,5.48,12.0
20.274,0.181,0.62,16.0
20.275,0.179,0.501,29.0
20.261,0.176,0.381,27.0
20.283,0.174,0.263,26.0
20.283,0.172,0.144,24.0
103.761,0.875,3.568,9.0
20.227,0.168,0.577,15.0
20.235,0.166,0.459,24.0
20.178,0.163,0.338,21.0
20.191,0.161,0.221,18.0
