X,Y,Z,Reflectivity
59.696,0.714,3.88,56.0
103.829,1.259,6.202,11.0
66.107,0.812,3.602,32.0
111.668,1.39,5.488,12.0
110.331,1.391,4.843,20.0
103.951,1.328,4.02,25.0
59.737,0.768,3.989,46.0
67.563,0.88,4.156,4.0
67.1,0.885,3.775,42.0
69.33,0.927,3.53,7.0
110.338,1.494,5.039,17.0
103.954,1.425,4.203,35.0
59.704,0.823,4.092,50.0
112.038,1.566,7.091,2.0
67.457,0.954,3.914,15.0
101.994,1.46,5.371,8.0
69.371,1.005,3.288,3.0
103.875,1.523,4.378,19.0
59.586,0.879,4.186,35.0
101.492,1.516,6.597,7.0
67.516,1.02,4.032,29.0
66.19,1.012,3.598,10.0
110.498,1.71,5.426,6.0
103.845,1.625,4.554,25.0
59.383,0.935,4.275,30.0
67.746,1.079,4.518,8.0
67.541,1.088,4.149,39.0
66.203,1.079,3.711,12.0
103.89,1.712,5.277,14.0
103.516,1.726,4.713,26.0
67.711,1.136,4.989,15.0
67.739,1.149,4.633,34.0
67.631,1.159,4.267,25.0
66.204,1.147,3.821,26.0
69.775,1.223,3.66,2.0
103.65,1.836,4.891,28.0
53.323,0.951,4.018,4.0
67.484,1.216,4.727,6.0
67.622,1.231,4.379,10.0
66.217,1.219,3.932,38.0
103.766,1.93,5.613,11.0
103.715,1.949,5.062,13.0
42.667,0.807,3.284,10.0
67.721,1.293,4.854,26.0
67.752,1.307,4.496,9.0
66.232,1.29,4.038,35.0
104.11,2.049,5.797,7.0
69.307,1.378,3.493,4.0
57.877,1.158,4.547,6.0
67.716,1.368,4.961,23.0
66.301,1.353,4.505,15.0
66.219,1.364,4.141,26.0
104.296,2.169,5.97,5.0
103.392,2.171,5.371,6.0
43.564,0.92,3.49,2.0
67.606,1.442,5.057,7.0
66.403,1.43,4.614,24.0
66.142,1.437,4.238,8.0
69.011,1.513,4.055,6.0
110.343,2.443,5.9,3.0
52.212,1.163,4.263,13.0
57.738,1.298,4.407,5.0
68.066,1.544,4.833,19.0
66.066,1.512,4.332,34.0
117.765,2.719,7.097,7.0
110.228,2.568,6.057,6.0
43.011,1.008,3.576,7.0
57.727,1.365,4.492,17.0
