Point_X (m),Point_Y (m),Point_Z (m),Point_V (m/s),Point_azimuth (deg),Point_elevation (deg),Point_snr (dB),Point_Power (dB),Point_Valid (-),Point_Probability (-),Point_Mstate (-),Point_Class (-)
0.97476798,-2.8714442,-0.25358897,0.063595369,-71.239998,-4.7800002,28.65,39.44,1.0,18.0,0.0,0.0
0.97536922,-2.8722732,-0.25067008,0.0,-71.230003,-4.7199998,32.98,43.77,1.0,100.0,0.0,0.0
0.97591704,-2.8142738,-0.24687149,-0.063595369,-71.230003,-4.6500001,28.92,39.33,1.0,12.0,0.0,0.0
1.0555552,-2.8104231,-0.23968622,0.0,-69.440002,-4.5500002,29.64,41.4,1.0,80.0,0.0,0.0
1.0669371,-2.8370805,-0.24319278,0.063595369,-69.209999,-4.6199999,25.57,37.03,1.0,0.0,0.0,0.0
1.3036176,-2.8366163,-0.2771177,0.0,-65.32,-5.0700002,24.02,34.43,1.0,0.0,0.0,0.0
1.3079039,9.2590332,-0.28192002,0.063595369,-65.239998,-5.1500001,19.47,30.26,1.0,0.0,0.0,0.0
3.6092284,9.2650824,0.36847758,0.063595369,68.699997,2.1199999,14.56,27.35,1.0,0.0,0.0,0.0
3.6242824,9.2575197,0.3551867,0.0,68.629997,2.04,18.88,31.67,1.0,0.0,0.0,0.0
3.6295769,9.350914,0.35718563,-0.063595369,68.589996,2.05,14.84,27.63,1.0,0.0,0.0,0.0
3.6795707,9.3561783,0.30723521,0.063595369,68.519997,1.75,17.41,31.02,1.0,0.0,0.0,0.0
3.6817706,9.3555641,0.31456,0.0,68.510002,1.79,22.44,35.67,1.0,0.0,0.0,0.0
3.7027056,9.3588181,0.329467,-0.063595369,68.400002,1.87,18.51,31.73,1.0,0.0,0.0,0.0
3.9304414,9.3392467,0.32799253,-0.063595369,67.209999,1.85,16.99,29.78,1.0,0.0,0.0,0.0
3.9556446,9.2894545,0.30952308,0.0,67.040001,1.74,20.28,33.29,1.0,0.0,0.0,0.0
